,id,uri,events,agent,predicate,patients,text
0,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev45",the+scientists,coat,some+of+caterpillars+%27+eggs,"To test that, the scientists coated some of caterpillars' eggs on two groups of tobacco plants and glued them."
1,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev97",the+latter,get,of+eggs+destroyed+against+8+%25,"The latter got more attention of the attackers, getting 25% of eggs destroyed against 8% for the other group."
2,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev97",the+latter,get,of+eggs+destroyed+against+8+%25,"The latter got more attention of the attackers, getting 25% of eggs destroyed against 8% for the other group."
3,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev52",the+researchers,destroy,the+enzyme,"The latter got more attention of the attackers, getting 25% of eggs destroyed against 8% for the other group."
4,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev55",Southern_Railway_multiple_unit_numbering_and_classification,ratio,of+the+aldehyde,"Allmann supposed that ""The simplest assumption is that the larval oral secretions contain a special enzyme, probably an isomerase, which rearranges the Z:E ratio of the aldehyde in favor of (E)-2-hexenal."""
5,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev52",the+researchers,destroy,the+enzyme,"The researchers heated the oral secretion to destroy the enzyme, and applied it to wounded leaves."
6,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev59",by+a+caterpillar,consume,the+food+consumed+by+a+caterpillar,"The food consumed by a caterpillar typically includes hundreds of microorganisms together with leaf tissue, which are mostly unneeded and killed by the above-mentioned substance quickly."
7,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev63",of+this+substance,role,this+important+role+of+this+substance,"Because of this important role of this substance, the caterpillars can't change their metabolism easily enough to prevent the subsequent events from happening."
8,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev62",the+caterpillars,change,their+metabolism,"Because of this important role of this substance, the caterpillars can't change their metabolism easily enough to prevent the subsequent events from happening."
9,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev129",by+the+plant,note,a+caterpillar+%27s,"To find out what happens after a caterpillar's presence is noted by the plant, Silke Allmann, a graduate student in Baldwin's group, examined the green leafy volatiles (GLVs), the substances responsible for the smell of fresh-cut plant parts."
10,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev32",the+study,release,these+substances,These substances are released into air if a plant is damaged.
11,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev32",the+study,release,these+substances,"As the study released, the tobacco plant GLVs typically have a major share of Z isomers with very small amount of E isomers present."
12,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev103",the+tobacco+plant+glvs,have,a+major+share+of+z+isomers,"As the study released, the tobacco plant GLVs typically have a major share of Z isomers with very small amount of E isomers present."
13,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev32",the+study,release,these+substances,"In response to a chemical in the caterpillars' larvae, the plants release an odorous substance into air to attract another species of insects, called ""big-eyed bugs"" (Geocoris)."
14,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev35",the+multi-step+intricate+approach+involved,attract,the+predators,"In a study with varying amount of different isomers present, E isomers turned out to be the ones attracting the predators to come to the scene and to attack the caterpillars."
15,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev78",caterpillar+saliva,convert,the+z-isomers+of+the+glv+molecules,"What is surprising, Silke Allmann found that the caterpillars are the direct stimulus of this change: caterpillar saliva converts the Z-isomers of the GLV molecules to E-isomers."
16,3000,"http://en.wikinews.org/wiki/Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds","Tobacco_attracts_predators_with_chemicals_in_response_to_caterpillars,_a_study_finds#ev136",IanBaldwin,comment,really+weird,"Prof. Ian Baldwin commented, ""That's where it got really weird."
