char,sent_n,token_i,word
0,1,0,Another
8,1,1,earthquake
19,1,2,hit
23,1,3,Chile
32,1,5,late
37,1,6,Monday
49,1,9,United
56,1,10,States
63,1,11,Geological
74,1,12,Survey
82,1,14,USGS
92,1,17,reported
102,2,19,It
105,2,20,occurred
126,2,23,local
132,2,24,time
147,2,27,UTC
157,3,31,epicenter
171,3,33,located
183,3,35,kilometers
194,3,36,northwest
207,3,38,Temuco
219,3,41,kilometers
230,3,42,southwest
243,3,44,Concepción
259,3,47,kilometers
270,3,48,north
279,3,50,Valdivia
296,3,53,kilometers
307,3,54,southwest
320,3,56,Santiago
335,4,60,USGS
340,4,61,later
346,4,62,determined
366,4,65,earthquake
383,4,68,depth
397,4,71,kilometers
417,4,75,epicenter
431,4,77,located
442,4,79,kilometers
460,4,82,south
469,4,84,Lebu
480,5,88,University
494,5,90,Chile
500,5,91,Geological
511,5,92,Survey
518,5,93,reported
536,5,96,earthquake
547,5,97,took
552,5,98,place
561,5,100,kilometers
579,5,103,west
587,5,105,Tirúa
600,5,108,Bío
604,5,109,Bío
608,5,110,Region
625,5,114,depth
639,5,117,kilometers
652,6,120,Wikinews
662,6,122,Diego
668,6,123,Grez
673,6,124,reported
691,6,127,earthquake
706,6,129,clearly
714,6,130,felt
722,6,132,Pichilemu
744,6,136,kilometers
762,6,139,north
775,6,142,epicenter
786,7,144,ONEMI
792,7,145,reported
804,7,147,casualties
820,8,150,area
834,8,153,monitored
851,8,156,organization
865,9,158,It
877,9,161,reported
896,9,164,telephone
906,9,165,lines
917,9,167,collapsed
937,9,170,earthquake
949,10,172,More
963,10,175,months
980,10,178,major
990,10,180,earthquake
1007,10,183,people
1014,10,184,continue
1026,10,186,live
1034,10,188,tents
1043,10,190,temporary
1053,10,191,huts
