char,sent_n,token_i,word
0,1,0,A
3,1,2,rogue
10,1,4,policeman
25,1,6,Afghanistan
41,1,8,shot
55,1,11,killed
67,1,13,British
75,1,14,soldiers
91,1,17,Helmand
99,1,18,province
111,1,20,South
117,1,21,Afghanistan
129,1,22,today
136,2,24,According
153,2,27,government
169,2,30,attack
176,2,31,happened
192,2,34,Nad
202,2,37,District
214,2,39,Helmand
223,3,41,All
231,3,43,soldiers
240,3,44,died
256,3,47,wounds
268,4,50,officer
276,4,51,opened
283,4,52,fire
292,4,54,injured
314,4,57,troops
329,4,60,fleeing
341,4,62,scene
348,5,64,At
375,5,69,injured
386,6,73,One
390,6,74,individual
401,6,75,Afghan
408,6,76,National
417,6,77,Policeman
428,6,79,possibly
440,6,81,conjunction
466,6,85,went
471,6,86,rogue
478,7,88,His
482,7,89,motives
494,7,91,whereabouts
510,7,93,unknown
526,7,96,time
533,7,99,said
540,7,101,spokesperson
561,7,104,UK
564,7,105,armed
570,7,106,forces
578,8,108,Authorities
600,8,111,searching
616,8,114,suspect
626,9,117,Three
639,9,120,soldiers
662,9,124,Grenadier
672,9,125,Guards
713,9,133,Royal
719,9,134,Military
728,9,135,Police
736,10,137,They
750,10,140,living
766,10,143,police
778,10,146,compound
789,11,149,This
794,11,150,raised
805,11,152,death
811,11,153,toll
819,11,155,British
827,11,156,troops
834,11,157,killed
844,11,159,Afghanistan
868,11,163,year
878,11,166,highest
893,11,169,year
913,11,173,Falklands
923,11,174,War
928,12,176,Lt
932,12,178,Col
937,12,180,David
943,12,181,Wakefield
953,12,182,expressed
967,12,184,deepest
975,12,185,sadness
990,12,188,deaths
999,14,191,Five
1004,14,192,British
1012,14,193,soldiers
1039,14,200,shot
1056,14,204,course
1072,14,207,duty
1078,15,209,They
1095,15,213,forgotten
1110,15,217,said
1118,16,220,British
1126,16,221,Prime
1132,16,222,Minister
1142,16,224,Gordon
1149,16,225,Brown
1165,16,227,death
1179,16,230,brave
1185,16,231,soldiers
1199,16,234,single
1206,16,235,incident
1220,16,238,terrible
1229,16,239,loss
1235,17,241,My
1238,17,242,thoughts
1248,17,244,condolences
1264,17,246,sympathies
1287,17,250,families
1297,17,252,loved
1303,17,253,ones
1312,17,255,colleagues
1324,18,257,I
1326,18,258,know
1346,18,262,country
1363,18,265,mourn
1375,18,267,loss
