char,sent_n,token_i,word
0,1,0,An
3,1,1,Al
6,1,2,Jazeera
14,1,3,cameraman
24,1,4,working
35,1,6,Libya
45,1,8,killed
58,1,11,alleged
66,1,12,ambush
76,1,14,Saturday
95,1,18,returning
114,1,21,team
126,1,24,rebel
132,1,26,held
137,1,27,city
145,1,29,Benghazi
155,2,31,Al
158,2,32,Jazeera
173,2,36,official
182,2,37,statement
193,2,39,called
204,2,41,act
211,2,44,cowardly
220,2,45,crime
244,2,52,Libyan
251,2,53,regime
260,2,55,malicious
270,2,56,campaign
279,2,57,targeting
289,2,58,Al
292,2,59,Jazeera
308,2,62,staff
317,3,66,Ali
321,3,67,Hassan
328,3,68,al
331,3,70,Jaber
353,3,75,colleagues
369,3,78,returning
386,3,81,reporting
396,3,82,assignment
413,3,85,opposition
424,3,86,protest
437,3,89,nearby
444,3,90,town
455,3,93,unidentified
468,3,94,gunmen
475,3,95,opened
482,3,96,fire
494,3,99,car
511,3,103,group
521,3,105,traveling
532,4,107,Al
535,4,108,Jaber
545,4,110,rushed
557,4,113,hospital
572,4,116,bullet
583,4,118,apparently
594,4,119,penetrated
609,4,121,heart
622,4,124,died
628,5,126,One
639,5,129,colleagues
654,5,131,wounded
668,6,135,director
677,6,136,general
688,6,138,Al
691,6,139,Jazeera
699,6,140,Wadah
705,6,141,Khanfar
713,6,142,paid
718,6,143,tribute
729,6,145,Jaber
742,6,148,network
752,6,150,media
758,6,151,forum
765,7,153,He
768,7,154,said
775,7,157,He
795,7,162,people
806,7,164,lived
816,7,166,eventually
827,7,167,died
839,7,170,pursuit
850,7,172,truth
857,8,174,We
864,8,176,determined
878,8,178,carry
887,8,180,regardless
899,9,182,We
909,9,185,sacrifice
923,9,187,lives
940,9,190,noble
946,9,191,causes
954,10,193,There
966,10,196,nobler
973,10,197,cause
988,10,200,pursuit
999,10,202,truth
1008,11,206,Al
1011,11,207,Jaber
1020,11,210,Qatari
1027,11,211,national
1050,11,216,journalist
1061,11,217,reported
1083,11,221,killed
1097,11,224,Libyan
1104,11,225,conflict
1114,12,227,Reporters
1133,12,230,previously
1144,12,231,welcomed
1156,12,233,opponents
1169,12,235,Libyan
1176,12,236,leader
1183,12,237,Muammar
1191,12,238,Gaddafi
1203,12,240,feel
1208,12,241,threatened
1222,12,243,Gaddafi
1230,12,244,supporters
1248,12,247,forces
1255,12,248,near
1260,12,249,Benghazi
1270,13,251,There
1280,13,253,signs
1291,13,255,Gaddafi
1299,13,256,intends
1310,13,258,drive
1320,13,260,foreign
1328,13,261,press
1341,13,264,Libya
1348,14,266,He
1363,14,269,announced
1378,14,271,foreign
1386,14,272,reporters
1396,14,273,working
1411,14,276,east
1423,14,279,country
1435,14,281,working
1448,14,284,Al
1451,14,286,Qaeda
1459,15,289,Many
1464,15,290,journalists
1484,15,293,planning
1496,15,295,leave
1506,15,297,city
1517,16,301,director
1529,16,303,Al
1532,16,304,Jazeera
1541,16,306,Wadah
1547,16,307,Khanfar
1556,16,309,said
1570,16,312,killing
1585,16,315,cameraman
1595,16,316,followed
1608,16,319,unprecedented
1622,16,320,campaign
1644,16,324,news
1649,16,325,organization
1665,16,327,Gaddafi
1674,17,329,He
1677,17,330,said
1684,17,333,Al
1687,17,334,Jazeera
1695,17,335,reiterates
1710,17,337,assault
1725,17,340,dent
1734,17,342,resolve
1745,17,344,continue
1758,17,346,mission
1767,17,348,professionally
1782,17,349,enlightening
1799,17,351,public
1813,17,354,unfolding
1823,17,355,events
1833,17,357,Libya
1855,18,362,He
1858,18,363,described
1872,18,365,people
1882,18,367,Benghazi
1895,18,369,expressed
1905,18,370,support
1920,18,373,station
1933,18,375,news
1945,18,378,ambush
1956,18,380,reported
