char,sent_n,token_i,word
0,1,0,A
2,1,1,hacker
17,1,4,claimed
31,1,7,loosely
39,1,8,associated
55,1,10,internet
64,1,11,group
70,1,12,Anonymous
80,1,13,managed
91,1,15,hack
105,1,18,email
111,1,19,account
122,1,21,Alaskan
130,1,22,Governor
143,1,24,Republican
154,1,25,vice
159,1,27,presidential
172,1,28,nominee
180,1,29,Sarah
186,1,30,Palin
199,1,33,early
205,1,34,morning
213,1,35,hours
222,1,37,Wednesday
233,1,39,September
249,2,43,Partial
257,2,44,contents
273,2,47,email
279,2,48,account
289,2,50,including
303,2,52,family
310,2,53,photos
318,2,55,email
324,2,56,messages
337,2,58,contact
345,2,59,lists
358,2,62,subsequently
371,2,63,hosted
378,2,64,online
405,2,69,website
418,2,71,anonymously
430,2,72,hosts
436,2,73,leaked
443,2,74,government
458,2,76,corporate
468,2,77,documents
479,3,79,Anonymous
499,3,83,responsible
515,3,85,attacks
526,3,87,Scientology
545,3,90,past
556,3,93,claimed
564,3,94,credit
579,3,97,intrusion
594,4,100,email
600,4,101,account
625,4,106,Palin
635,4,108,conducting
646,4,109,government
657,4,110,business
670,4,112,communication
685,4,114,circumventing
699,4,115,transparency
712,4,116,laws
724,5,120,hacker
731,5,121,gained
738,5,122,access
748,5,124,Palin
756,5,126,account
767,5,128,answering
777,5,129,Yahoo
786,5,132,security
795,5,133,questions
806,5,135,finding
818,5,137,answers
829,5,139,websites
838,5,140,like
862,6,144,hacker
873,6,146,apparently
884,6,147,careless
897,6,149,frightened
913,6,152,posted
924,6,154,new
928,6,155,password
967,6,163,hasty
973,6,164,screenshots
986,7,166,In
993,7,168,screenshots
1010,7,170,proxy
1016,7,171,data
1040,7,175,owner
1046,7,176,Gabriel
1054,7,177,Ramuglia
1063,7,178,plans
1072,7,180,use
1079,7,182,help
1089,7,184,FBI
1093,7,185,investigations
1114,8,189,White
1120,8,190,hat
1125,8,192,hackers
1148,8,197,discovered
1168,8,200,hacker
1177,8,202,online
1184,8,203,identity
1197,8,205,linked
1211,8,208,email
1217,8,209,address
1228,8,211,David
1234,8,212,Kernell
1247,8,215,son
1254,8,217,Democratic
1265,8,218,Tennessee
1275,8,219,state
1281,8,220,representative
1296,8,221,Mike
1301,8,222,Kernell
1310,9,224,When
1315,9,225,confronted
1327,9,227,Kernell
1343,9,230,confirmation
1365,10,234,While
1381,10,237,deleted
1393,10,239,images
1407,10,242,email
1413,10,243,account
1426,10,246,screenshots
1443,10,248,quickly
1451,10,249,spread
1461,10,251,blogs
1471,10,253,news
1476,10,254,websites
1485,10,255,online
