char,sent_n,token_i,word
0,1,0,Survivors
18,1,3,weekend
28,1,5,airplane
37,1,6,crash
46,1,8,Alaska
54,1,10,United
61,1,11,States
77,1,14,saw
85,1,16,forward
93,1,17,cargo
99,1,18,door
113,1,21,Piper
119,1,22,Piper
131,1,24,Navajo
138,1,25,Chieftain
148,1,26,swing
154,1,27,open
159,1,28,shortly
173,1,30,takeoff
186,2,33,plane
192,2,34,crashed
205,2,36,frigid
212,2,37,waters
221,2,39,short
227,2,40,distance
245,2,43,runway
253,2,45,killing
279,2,51,board
286,2,53,including
300,2,55,pilot
311,2,58,leaving
334,2,62,hospitalized
353,3,66,US
356,3,67,National
365,3,68,Transportation
380,3,69,Safety
387,3,70,Board
394,3,72,NTSB
403,3,75,investigating
421,3,77,accident
435,3,80,NTSB
440,3,81,investigator
453,3,82,Clint
459,3,83,Johnson
467,3,84,said
473,3,86,There
494,3,90,incidents
508,3,92,accidents
527,3,95,result
543,3,98,door
548,3,99,coming
555,3,100,open
561,4,102,We
570,4,105,know
592,4,110,similarities
607,5,113,He
610,5,114,refused
621,5,116,speculate
634,5,118,accident
643,5,119,cause
650,5,121,pointing
675,5,126,investigation
705,5,130,time
713,5,132,complete
728,6,136,remains
743,6,139,fuselage
762,6,142,laid
776,6,146,maintenance
788,6,147,hangar
795,6,148,close
808,6,151,Kodiak
815,6,152,Island
822,6,153,accident
831,6,154,site
843,6,157,scheduled
857,6,159,examination
869,6,160,tomorrow
878,6,161,pending
886,6,162,arrival
900,6,165,accident
909,6,166,investigation
923,6,167,representative
943,6,169,Piper
959,6,173,provide
967,6,174,detailed
976,6,175,technical
986,6,176,assistance
1007,7,181,passenger
1017,7,182,complement
1032,7,184,chartered
1046,7,186,Servant
1054,7,187,Air
1058,7,188,plane
1067,7,190,fly
1074,7,192,Homer
1085,7,195,represented
1097,7,196,maximum
1105,7,197,capacity
1122,7,200,twin
1127,7,202,engined
1135,7,203,plane
1143,8,206,It
1146,8,207,appears
1163,8,210,survivors
1178,8,212,seated
1192,8,215,rear
1204,8,218,plane
1215,9,221,deceased
1229,9,223,identified
1243,9,225,pilot
1249,9,226,Robin
1255,9,227,Starrett
1272,9,232,Kodiak
1288,9,235,Homer
1294,9,236,residents
1306,9,238,Stefan
1316,9,240,Basargin
1330,9,244,Pavel
1339,9,246,Basargin
1353,9,250,Zahary
1363,9,252,Martushev
1378,9,256,Iosif
1387,9,258,Martushev
1406,9,263,Andrian
1414,9,264,Reutov
1430,10,269,survivor
1441,10,271,names
1466,10,276,released
1485,10,280,Karnely
1493,10,281,Ivanov
1508,10,286,Anchor
1515,10,287,Point
1522,10,289,Feodot
1529,10,290,Basargin
1546,10,295,Anchorage
1557,10,297,Anton
1563,10,298,Rijkoff
1579,10,303,Anchorage
1594,10,306,Andrean
1602,10,307,Basargin
1619,10,312,Homer
1627,11,315,There
1647,11,319,previous
1656,11,320,cases
1665,11,322,Alaskan
1673,11,323,Piper
1679,11,324,Navajo
1686,11,325,crashes
1694,11,326,confirmed
1717,11,330,caused
1727,11,332,open
1732,11,333,forward
1740,11,334,cargo
1746,11,335,hatches
1755,12,337,In
1758,12,338,April
1771,12,341,compartment
1783,12,342,opened
1797,12,344,takeoff
1810,12,346,Deadnight
1826,12,349,caused
1833,12,350,separation
1850,12,353,engine
1857,12,354,cover
1869,12,356,proceeded
1882,12,358,strike
1893,12,360,damage
1904,12,362,horizontal
1915,12,363,stabilizer
1927,13,365,No
1938,13,369,injured
1948,14,372,It
1955,14,374,discovered
1973,14,377,vital
1979,14,378,spring
1986,14,379,designed
1998,14,381,exert
2004,14,382,pressure
2031,14,387,door
2036,14,388,shut
2045,14,390,missing
2058,14,393,operator
2071,14,395,improvised
2090,14,398,device
2100,14,400,shut
2109,14,402,door
2122,14,404,correctly
2132,14,405,locking
2149,15,410,second
2156,15,411,crash
2162,15,412,occurred
2174,15,414,May
2184,16,417,A
2186,17,418,Cape
2191,17,419,Smythe
2198,17,420,Air
2202,17,421,Services
2211,17,422,owned
2221,17,426,operated
2230,17,427,aircraft
2239,17,428,attempting
2250,17,429,takeoff
2261,17,431,Point
2267,17,432,Hope
2280,17,435,forward
2288,17,436,door
2293,17,437,unexpectedly
2306,17,438,open
2318,17,441,nose
2323,17,442,lifted
2335,18,445,Cargo
2341,18,446,went
2358,18,449,left
2363,18,450,propeller
2374,18,452,forcing
2385,18,454,emergency
2395,18,455,crash
2401,18,456,landing
2416,18,459,ice
2420,18,460,severely
2429,18,461,injuring
2442,18,463,people
2456,19,467,pilot
2466,19,469,loaded
2477,19,471,hold
2491,19,474,visually
2500,19,475,inspected
2514,19,477,door
2520,20,479,Under
2530,20,481,false
2536,20,482,impression
2564,20,487,secured
2572,20,488,properly
2584,20,490,proceeded
2597,20,492,takeoff
2606,21,494,He
2613,21,496,originally
2624,21,497,attempted
2637,21,499,turn
2646,21,501,aircraft
2666,21,504,told
2675,21,506,NTSB
2687,21,509,thought
2704,21,512,aircraft
2730,21,516,able
2738,21,518,fly
2742,21,519,despite
2754,21,521,open
2759,21,522,door
2777,21,526,appreciated
2789,21,527,aircraft
2798,21,528,documentation
2820,21,531,specifically
2833,21,532,mention
2846,21,534,conditions
2859,22,537,Small
2866,22,539,local
2872,22,541,based
2878,22,542,Servant
2886,22,543,Air
2899,22,546,operating
2918,22,549,aircraft
2950,22,554,difficulties
2964,23,556,As
2982,23,560,carriers
2996,23,563,pilot
3005,23,565,responsible
3021,23,567,loading
3033,23,569,checking
3046,23,571,door
3056,24,574,door
3064,24,576,approximately
3084,24,579,feet
3089,24,580,wide
3104,24,584,feet
3109,24,585,high
