char,sent_n,token_i,word
4,1,1,Albuquerque
16,1,2,Academy
24,1,3,eighth
31,1,4,grade
37,1,5,basketball
48,1,6,team
58,1,8,tough
64,1,9,defense
75,1,11,close
99,1,17,season
113,1,20,win
129,1,26,Los
133,1,27,Lunas
145,2,31,Chargers
154,2,32,spread
161,2,33,things
168,2,34,evenly
188,2,38,quarter
202,2,41,players
210,2,42,scored
225,2,45,team
237,2,48,period
245,3,50,Both
250,3,51,forward
258,3,52,Jon
262,3,53,Cabarrus
275,3,55,guard
281,3,56,Dylan
287,3,57,Gordon
294,3,58,followed
313,3,61,shots
323,3,63,scored
333,3,65,putbacks
343,4,67,Forwards
352,4,68,Xavier
359,4,69,Moya
368,4,71,Chris
374,4,72,Thompson
383,4,73,provided
392,4,74,tough
398,4,75,inside
405,4,76,defense
420,4,79,possession
432,5,81,While
438,5,82,Los
442,5,83,Lunas
448,5,84,managed
464,5,86,rebounds
484,5,90,unable
502,5,94,baskets
519,5,97,outstretched
532,5,98,arms
540,5,100,Moya
549,5,102,Thompson
560,6,105,Cabarrus
569,6,106,scored
587,6,109,putback
603,6,112,fourth
610,6,113,points
624,6,116,game
629,6,117,late
641,6,120,quarter
650,6,122,helping
658,6,123,Academy
687,6,129,lead
699,6,132,end
722,7,139,second
729,7,140,period
742,7,143,low
746,7,144,scoring
767,7,148,teams
778,8,151,Chargers
787,8,152,scored
804,8,155,points
821,8,159,held
826,8,160,Los
830,8,161,Lunas
851,9,166,Both
856,9,167,offenses
870,9,169,struggling
886,9,171,guard
892,9,172,Andrew
899,9,173,Matthew
907,9,174,stole
917,9,176,ball
933,9,180,pass
941,9,182,Gordan
953,9,185,threw
967,9,187,pass
975,9,189,fellow
982,9,190,guard
988,9,191,Jordan
995,9,192,Fleisher
1009,9,195,took
1018,9,197,ball
1027,9,199,scored
1039,9,202,layup
1047,10,205,With
1054,10,207,minute
1068,10,210,half
1074,10,212,reserve
1082,10,213,Matt
1087,10,214,Brown
1093,10,215,took
1100,10,217,pass
1109,10,219,drove
1119,10,221,length
1133,10,224,court
1145,10,227,layup
1152,11,229,Academy
1160,11,230,ended
1170,11,232,second
1177,11,233,half
1210,11,241,lead
1217,12,244,Academy
1231,12,246,spread
1242,12,248,ball
1261,12,252,second
1268,12,253,half
1285,12,257,Charger
1293,12,258,players
1301,12,259,scoring
1310,13,261,Leading
1322,13,263,way
1333,13,266,second
1340,13,267,half
1349,13,269,Patrick
1357,13,270,Zacharias
1372,13,273,scored
1379,13,274,seven
1385,13,275,points
1399,13,278,half
1406,14,281,Gordon
1413,14,282,connected
1428,14,284,Thompson
1442,14,287,play
1452,14,289,gave
1457,14,290,Thompson
1468,14,292,layup
1475,15,294,Gordon
1482,15,295,stole
1492,15,297,ball
1497,15,298,away
1507,15,300,Los
1511,15,301,Lunas
1528,15,305,pass
1536,15,307,Thompson
1551,15,309,sandwiched
1574,15,312,Los
1578,15,313,Lunas
1584,15,314,defenders
1595,16,316,Thompson
1604,16,317,received
1617,16,319,pass
1632,16,322,basket
1643,16,324,scored
1655,16,327,layup
1663,17,330,Los
1667,17,331,Lunas
1673,17,332,came
1696,17,337,pointer
1720,17,343,layups
1736,17,346,players
1749,18,349,quarter
1757,18,350,ended
1768,18,352,Academy
1782,18,354,holding
1794,18,356,lead
1808,19,363,AA
1821,19,366,playing
1829,19,367,tough
1835,19,368,defense
1843,19,369,midway
1862,19,372,fourth
1869,19,373,quarter
1887,19,377,hit
1899,19,380,pointer
1908,19,382,sparking
1919,19,384,small
1925,19,385,Los
1929,19,386,Lunas
1935,19,387,rally
1967,19,395,overcome
1980,19,397,offense
1992,19,399,defense
2007,19,402,Chargers
2019,20,405,Zacharias
2029,20,406,scored
2041,20,409,tip
2053,20,413,Gordon
2060,20,414,shot
2070,20,416,hung
2082,20,419,rim
2090,20,421,fell
2100,21,424,Zacharias
2119,21,427,fouled
2133,21,430,shot
2151,21,434,free
2156,21,435,throw
2165,21,437,complete
2184,21,440,point
2190,21,441,play
2196,22,443,Team
2201,22,444,manager
2209,22,445,Lincoln
2217,22,446,Stanfield
2232,22,448,saw
2236,22,449,action
2250,22,452,game
2265,22,456,scored
2282,22,459,points
2296,22,462,season
2310,22,465,end
2321,22,468,fourth
2328,22,469,quarter
2337,23,471,With
2360,23,475,seconds
2368,23,476,left
2374,23,478,Stanfield
2384,23,479,received
2395,23,481,pass
2400,23,482,underneath
2415,23,484,basket
2423,24,486,His
2427,24,487,shot
2439,24,490,fall
2456,24,495,fouled
2468,24,497,seven
2474,24,498,seconds
2482,24,499,left
2488,25,501,Stanfield
2506,25,504,free
2511,25,505,throw
2517,25,506,bounced
2534,25,509,hitting
2546,25,511,rim
2561,25,515,fall
2575,26,518,His
2579,26,519,second
2586,26,520,shot
2591,26,521,bounced
2599,26,522,high
2611,26,525,air
2619,26,527,times
2632,26,529,falling
2652,26,532,hoop
2658,27,534,Stanfield
2668,27,535,threw
2678,27,537,arms
2689,27,540,celebration
2715,27,544,shot
2721,27,546,putting
2732,27,548,end
2739,27,550,Academy
2754,27,555,season
