char,sent_n,token_i,word
0,1,0,All
8,1,2,store
14,1,3,locations
27,1,5,Jessops
35,1,6,camera
42,1,7,retailer
55,1,9,closing
70,1,12,United
77,1,13,Kingdom
85,1,14,today
96,2,17,business
112,2,20,went
122,2,22,administration
137,2,23,earlier
150,2,25,week
162,2,29,leave
172,2,31,workforce
185,2,33,approximately
204,2,35,jobless
213,3,37,While
219,3,38,staff
232,3,41,business
246,3,44,office
256,3,46,Leicester
270,3,49,central
278,3,50,England
306,3,56,redundant
321,3,58,immediate
331,3,59,effect
364,3,67,weeks
373,3,69,lose
384,3,71,positions
396,4,74,PricewaterhouseCoopers
420,4,76,PwC
430,5,80,firm
435,5,81,declared
444,5,82,administrator
461,5,84,Jessops
473,5,86,days
478,5,87,ago
487,5,90,said
495,5,92,examination
514,5,95,company
522,5,96,indicated
542,5,100,longer
549,5,101,capable
560,5,103,operating
570,5,104,successfully
585,6,107,It
591,6,109,apparent
615,6,114,continue
627,6,116,trade
635,6,119,said
640,6,120,joint
646,6,121,administrator
660,6,122,Rob
664,6,123,Hunt
672,6,125,PwC
687,6,131,result
718,6,138,difficult
728,6,139,decision
740,7,143,PwC
751,7,146,Jessops
759,7,147,branches
773,7,149,open
778,7,150,tomorrow
791,7,152,people
807,7,155,bought
814,7,156,items
831,7,159,businesses
854,7,163,able
862,7,165,return
875,8,168,However
884,8,170,stock
899,8,174,returned
911,8,176,suppliers
933,8,180,entitled
950,8,185,according
963,8,187,Hunt
970,9,190,Hunt
975,9,191,said
980,9,192,PwC
990,9,195,continue
1002,9,197,ensure
1014,9,199,employees
1028,9,201,paid
1041,9,204,assist
1062,9,208,closure
1074,9,211,Jessops
1083,10,213,In
1088,10,215,comment
1103,10,218,BBC
1108,10,220,Hunt
1113,10,221,described
1127,10,223,situation
1140,10,225,Jessops
1154,10,229,horrible
1163,10,230,end
1177,10,234,intensive
1187,10,235,couple
1197,10,237,days
