char,sent_n,token_i,word
0,1,0,Anant
6,1,1,Gupta
20,1,4,kidnapped
39,1,7,elite
45,1,8,locality
57,1,10,Sector
68,1,13,Noida
75,1,15,India
85,1,17,returned
94,1,18,home
100,2,20,He
107,2,22,kidnapped
120,2,24,November
142,2,29,released
158,2,32,abductors
168,2,33,yesterday
178,2,34,morning
191,3,37,police
211,3,41,arrest
225,3,44,city
233,3,46,New
237,3,47,Delhi
258,4,52,accused
270,4,54,absconding
286,5,57,boy
290,5,58,claimed
310,5,62,kept
320,5,65,jungle
335,5,68,treated
343,5,69,nicely
363,5,73,men
370,6,76,At
375,6,78,press
381,6,79,conference
396,6,81,police
403,6,82,claimed
425,6,86,identified
440,6,88,kidnappers
461,6,91,hours
474,6,94,kidnapping
486,7,96,Police
493,7,97,said
513,7,101,year
518,7,102,old
522,7,103,Anant
532,7,105,kept
542,7,108,house
551,7,110,New
555,7,111,Delhi
565,7,113,later
571,7,114,shifted
582,7,116,Mathura
595,8,119,kidnappers
610,8,121,threatened
625,8,123,family
637,8,125,dire
642,8,126,consequences
664,8,129,demands
681,8,132,met
688,9,135,A
690,9,136,day
700,9,138,insisting
718,9,141,ransom
729,9,143,paid
738,9,145,police
745,9,146,finally
753,9,147,admitted
769,9,150,sum
776,9,152,Rs
782,10,155,million
794,10,157,paid
806,10,160,criminals
821,11,163,ransom
839,11,166,later
845,11,167,recovered
864,11,170,home
876,11,173,accused
887,12,176,In
892,12,178,fresh
898,12,179,twist
911,12,182,story
922,12,185,grandfather
941,12,188,boy
945,12,189,told
954,12,191,media
975,12,196,autorickshaw
988,12,197,driver
999,12,199,brought
1011,12,201,grandson
1020,12,202,home
1037,12,206,police
1049,13,209,Uttar
1055,13,210,Pradesh
1063,13,211,police
1074,13,213,claimed
1091,13,216,boy
1099,13,218,rescued
1110,13,220,Friday
1124,13,223,Special
1132,13,224,Task
1137,13,225,Force
1143,13,226,near
1152,13,228,state
1158,13,229,border
1167,14,232,There
1186,14,235,raids
1192,14,236,conducted
1209,14,239,western
1217,14,240,regions
1232,14,243,state
1250,14,246,people
1262,14,248,detained
1275,14,250,questioning
1315,14,257,loose
1321,14,258,ends
1331,14,260,need
1342,14,263,bridged
1353,15,266,This
1379,15,272,instances
1392,15,274,kidnapping
1403,15,275,cases
1409,15,276,involving
1422,15,278,executive
1435,15,280,high
1440,15,282,profile
1448,15,283,software
1457,15,284,company
1472,15,287,recent
1479,15,288,times
1486,16,290,Stories
1497,16,292,abduction
1511,16,294,common
1525,16,297,states
1535,16,299,Uttar
1541,16,300,Pradesh
1553,16,302,Bihar
