char,sent_n,token_i,word
0,1,0,Marburg
8,1,1,virus
23,1,4,spreading
36,1,6,Angola
60,1,12,dead
66,1,14,according
79,1,16,recent
86,1,17,information
107,1,20,World
113,1,21,Health
120,1,22,Organisation
134,1,24,WHO
144,2,28,disease
155,2,30,similar
170,2,33,Ebola
176,2,34,Haemorrhagic
189,2,35,Fever
196,2,37,EHF
201,2,39,virus
214,2,42,symptoms
236,2,46,deadly
247,2,48,slower
257,2,50,spread
278,2,55,lead
291,2,58,deaths
298,2,59,overall
307,3,61,Because
315,3,62,Marburg
323,3,63,kills
334,3,65,slowly
344,3,68,victim
360,3,71,time
373,3,74,contact
386,3,76,potential
396,3,77,hosts
408,4,81,incurable
437,4,86,fatal
444,4,88,disease
455,4,90,passed
468,4,93,contact
481,4,95,bodily
488,4,96,fluids
496,4,98,including
506,4,99,spit
515,4,101,blood
522,5,103,Victims
530,5,104,bleed
539,5,106,death
547,6,109,As
553,6,111,yesterday
568,6,114,cases
583,6,117,identified
613,6,123,fatalities
629,7,126,disease
644,7,129,present
655,7,131,seven
664,7,133,Angola
673,7,135,provinces
688,7,138,latest
695,7,139,outbreak
704,7,140,occurring
717,7,142,Zaire
723,7,143,province
741,7,146,cases
752,8,149,proportion
766,8,151,deaths
781,8,154,outbreak
794,8,156,unusually
804,8,157,high
812,9,160,According
829,9,163,WHO
839,9,167,dramatic
848,9,168,symptoms
860,9,170,Marburg
868,9,171,haemorrhagic
881,9,172,fever
895,9,175,frequent
904,9,176,fatality
917,9,178,resulting
932,9,181,high
937,9,182,level
946,9,184,fear
969,9,189,aggravated
985,9,192,lack
993,9,194,public
1000,9,195,understanding
1021,9,198,disease
1032,10,202,Mobile
1039,10,203,surveillance
1052,10,204,teams
1061,10,206,Uige
1077,10,210,majority
1089,10,212,cases
1105,10,215,located
1120,10,218,unable
1130,10,220,investigate
1150,10,222,reported
1159,10,223,deaths
1173,10,227,ensure
1190,10,231,contagious
1201,10,232,bodies
1213,10,234,appropriately
1227,10,235,dealt
1245,10,239,transportation
1260,10,240,vehicles
1274,10,242,attacked
1287,10,244,damaged
1298,10,246,local
1304,10,247,residents
1316,11,250,Said
1325,11,252,WHO
1339,11,255,press
1345,11,256,release
1355,11,259,Because
1367,11,261,disease
1382,11,264,cure
1388,11,266,hospitalization
1411,11,269,associated
1429,11,272,favourable
1440,11,273,outcome
1453,11,276,confidence
1471,11,279,medical
1479,11,280,care
1484,11,281,system
1500,11,284,eroded
1510,12,288,WHO
1517,12,290,familiar
1536,12,293,reactions
1563,12,298,seen
1575,12,300,previous
1584,12,301,outbreaks
1601,12,304,closely
1609,12,305,related
1617,12,306,Ebola
1623,12,307,haemorrhagic
1636,12,308,fever
1643,13,310,Two
1647,13,311,medical
1655,13,312,anthropologists
1686,13,316,Uige
1703,13,320,joined
1710,13,321,shortly
1721,13,323,experts
1732,13,325,social
1739,13,326,mobilization
1757,13,328,Angola
1769,13,331,Democratic
1780,13,332,Republic
1792,13,334,Congo
1803,13,337,Mozambique
1815,14,339,Public
1822,14,340,compliance
1838,14,342,control
1846,14,343,measures
1862,14,346,expected
1874,14,348,improve
1889,14,351,absence
1900,14,353,intense
1908,14,354,campaigns
1921,14,356,educate
1933,14,358,public
1950,14,361,disease
1961,16,365,Provincial
1972,16,366,authorities
1995,16,369,engaged
2009,16,372,attempt
2020,16,374,urgently
2029,16,375,find
2034,16,376,solutions
2046,17,379,WHO
2054,17,381,appealing
2073,17,385,United
2080,17,386,Nations
2089,17,388,UN
2098,17,392,funding
2111,18,395,UN
2114,18,396,health
2121,18,397,body
2126,18,398,currently
2136,18,399,needs
2149,18,402,million
2160,18,404,support
2172,18,406,Ministry
2184,18,408,Health
2192,18,410,Angola
2201,19,413,Some
2209,19,415,international
2223,19,416,experts
2236,19,418,deployed
2248,19,420,Angola
2258,19,423,country
2275,19,426,years
2284,19,428,civil
2290,19,429,war
2298,19,431,left
2303,19,432,health
2310,19,433,systems
2322,19,435,staff
2328,19,436,unable
2338,19,438,cope
2350,19,441,major
2356,19,442,epidemic
2366,19,444,according
2379,19,446,Mike
2384,19,447,Ryan
2390,19,449,director
2402,19,451,WHO
2408,19,453,alert
2418,19,455,response
2427,19,456,operations
2445,20,461,situation
2455,20,462,right
2468,20,465,Angola
2488,20,469,control
2502,21,472,This
2518,21,476,health
2525,21,477,crisis
2539,21,480,national
2548,21,481,level
2558,21,483,requires
2569,21,485,profound
2578,21,486,commitment
2599,21,489,national
2608,21,490,authorities
2628,21,493,international
2642,21,494,community
2655,21,496,order
2664,21,498,contain
2677,21,500,disease
2690,21,504,said
2697,22,507,Two
2701,22,508,deaths
2717,22,511,confirmed
2730,22,513,Luanda
2738,22,515,Angola
2747,22,517,capital
2760,22,520,million
2782,22,525,cases
2799,22,528,investigated
