char,sent_n,token_i,word
0,1,0,Native
7,1,1,Americans
21,1,3,petitioning
33,1,4,Congress
45,1,6,investigate
61,1,8,elite
67,1,9,Skull
77,1,11,Bones
83,1,12,group
93,1,14,return
110,1,17,believe
126,1,20,remains
137,1,22,Apache
144,1,23,warrior
152,1,24,Geronimo
165,1,26,reburial
181,2,30,petition
190,2,31,alleges
203,2,33,Geronimo
214,2,35,grave
224,2,37,robbed
242,2,41,members
257,2,44,society
266,2,46,including
276,2,47,Prescott
285,2,48,Bush
291,2,50,President
301,2,51,George
311,2,53,Bush
318,2,55,grandfather
335,3,58,alleged
343,3,59,graverobbers
356,3,60,stole
362,3,61,Geronimo
373,3,63,head
386,3,66,prized
393,3,67,silver
400,3,68,bridle
423,3,73,buried
446,4,78,allegations
476,4,83,book
484,4,85,Yale
489,4,86,graduate
499,4,88,Alexandra
509,4,89,Robbins
518,4,91,titled
527,4,94,Secrets
542,4,97,Tomb
549,5,100,Robbins
557,5,101,suggests
575,5,104,reason
588,5,106,men
592,5,107,robbed
599,5,108,graves
611,5,112,Bones
622,5,115,society
633,5,117,preoccupied
650,5,119,death
657,5,121,skulls
665,5,123,skeletons
680,5,126,artwork
688,5,127,depicting
698,5,128,death
708,5,130,prevalent
725,5,133,tomb
731,6,135,When
736,6,136,Bonesmen
745,6,137,steal
751,6,138,things
763,6,140,use
771,6,142,euphemism
795,6,146,taking
803,6,148,gifts
816,6,151,goddess
835,6,155,honor
852,6,158,tomb
861,7,162,Robbins
874,7,164,said
881,7,167,I
883,7,168,think
894,7,171,ridiculous
910,7,173,Bonesmen
921,7,175,sense
930,7,177,entitlement
945,7,179,broad
961,7,182,include
969,7,183,items
980,7,185,allegedly
996,7,188,belong
1016,8,193,items
1027,8,195,supposedly
1038,8,196,steal
1049,8,199,prank
1058,8,201,competition
1077,8,204,valuable
1090,8,206,meaningful
1108,8,209,actual
1115,8,210,owners
1123,9,212,It
1128,9,214,appalling
1143,9,216,proper
1150,9,217,authorities
1171,9,220,forced
1184,9,222,way
1197,9,225,tomb
1205,9,227,retrieve
1218,9,229,items
1235,9,233,belong
1254,10,239,An
1257,10,240,economics
1267,10,241,professor
1280,10,243,Clark
1286,10,244,College
1295,10,246,James
1301,10,247,Craven
1309,10,249,suggests
1325,10,253,In
1332,10,255,near
1337,10,256,future
1356,10,260,finally
1367,10,262,large
1373,10,263,groups
1383,10,265,Natives
1391,10,266,showing
1419,10,273,tomb
1428,10,276,protest
1441,10,278,ugly
1446,10,279,racism
1457,10,281,grave
1463,10,282,robbing
1478,10,285,Bones
1506,10,292,leaving
1525,10,295,skull
1545,10,299,Native
1552,10,300,artifacts
1572,10,303,returned
1588,11,306,theft
1600,11,310,metaphor
1628,11,314,bigger
1644,11,317,uglier
1652,12,319,It
1662,12,322,ugly
1667,12,323,racism
1678,12,325,hubris
1695,12,330,bred
1700,12,331,power
1706,12,332,elites
1717,12,334,seek
1725,12,336,infiltrate
1736,12,337,positions
1749,12,339,power
1758,13,343,In
1765,13,345,book
1771,13,347,Robbins
1784,13,349,reports
1797,13,351,Apaches
1805,13,352,met
1814,13,354,Skull
1824,13,356,Bones
1830,13,357,representatives
1846,13,358,following
1862,13,360,admission
1875,13,362,letter
1899,13,367,fact
1911,13,370,skull
1922,13,372,called
1930,13,374,Geronimo
1945,14,378,Apaches
1958,14,380,offered
1971,14,382,bones
1982,14,385,refused
1993,14,387,accept
2013,14,391,time
2027,14,394,according
2044,14,397,petition
2055,14,400,It
2062,14,402,obviously
2080,14,405,skull
2086,14,406,seen
2098,14,409,smuggled
2107,14,410,photograph
2121,16,414,Endicott
2130,16,415,Davison
2142,16,418,attorney
2155,16,420,Skull
2165,16,422,Bones
2172,16,424,denied
2184,16,426,Geronimo
2195,16,428,skull
2211,16,432,possession
2229,16,435,group
