char,sent_n,token_i,word
0,1,0,Apple
6,1,1,Computer
15,1,2,updated
27,1,4,professional
40,1,5,desktop
48,1,6,line
58,1,9,PowerMac
78,1,13,week
84,2,15,This
89,2,16,week
99,2,18,follow
114,2,21,update
128,2,24,consumer
137,2,25,line
147,2,28,iMac
159,3,32,new
163,3,33,iMacs
169,3,34,include
181,3,36,latest
188,3,37,version
203,3,40,Mac
207,3,41,OS
215,3,44,Mac
219,3,45,OS
222,3,46,X
224,3,47,Tiger
244,3,51,released
258,3,53,week
270,4,57,newest
277,4,58,machines
286,4,59,include
296,4,61,choice
333,4,70,processor
344,5,72,A
349,5,74,GB
352,5,75,hard
357,5,76,drive
366,5,78,standard
382,5,81,lower
392,5,83,models
408,5,87,GB
411,5,88,drive
428,5,93,end
432,5,94,model
439,6,96,All
449,6,98,models
469,6,102,MB
475,6,104,RAM
483,6,106,feature
494,6,108,ATI
498,6,109,Radeon
505,6,110,graphics
514,6,111,chip
527,6,114,MB
533,6,116,video
539,6,117,memory
551,7,120,new
555,7,121,iMacs
561,7,122,start
595,7,129,LCD
610,7,133,CPU
618,7,136,MB
624,7,138,DDR
628,7,139,RAM
642,7,144,GB
645,7,145,Serial
652,7,146,ATA
656,7,147,hard
661,7,148,drive
669,8,151,Apple
680,8,153,updated
692,8,155,eMac
697,8,156,line
705,8,158,computers
715,8,159,targeted
731,8,162,education
741,8,163,market
757,9,167,new
761,9,168,systems
789,9,173,PowerPC
804,9,176,start
823,10,182,From
828,10,183,Apple
836,10,185,PR
839,10,186,site
847,10,190,Apple
853,10,191,ignited
865,10,193,personal
874,10,194,computer
883,10,195,revolution
916,10,201,Apple
922,10,202,II
929,10,204,reinvented
944,10,206,personal
953,10,207,computer
984,10,213,Macintosh
995,11,215,Today
1002,11,217,Apple
1008,11,218,continues
1021,11,220,lead
1030,11,222,industry
1042,11,224,innovation
1062,11,227,award
1068,11,229,winning
1076,11,230,desktop
1088,11,232,notebook
1097,11,233,computers
1108,11,235,OS
1111,11,236,X
1113,11,237,operating
1123,11,238,system
1135,11,241,iLife
1145,11,243,professional
1158,11,244,applications
1172,12,246,Apple
1186,12,249,spearheading
1203,12,251,digital
1211,12,252,music
1217,12,253,revolution
1237,12,256,iPod
1242,12,257,portable
1251,12,258,music
1257,12,259,players
1269,12,261,iTunes
1276,12,262,online
1283,12,263,music
1289,12,264,store
1297,13,267,Shares
1307,13,269,Apple
1313,13,270,Computer
1323,13,272,AAPL
1329,13,274,closed
1346,13,278,Wednesday
