char,sent_n,token_i,word
0,1,0,At
9,1,2,GMT
16,1,4,Thursday
29,1,7,Ariane
41,1,9,rocket
48,1,10,lifted
71,2,15,Launch
78,2,16,Area
93,2,21,Guiana
100,2,22,Space
106,2,23,Centre
116,2,25,French
123,2,26,Guiana
131,2,28,carrying
144,2,30,Superbird
167,2,34,satellites
186,2,37,Space
192,2,38,Communications
207,2,39,Corporation
220,2,41,SCC
228,2,44,Japan
238,2,46,SES
242,2,47,Americom
251,2,48,respectively
265,3,50,Just
276,3,52,thirty
283,3,53,minutes
291,3,54,later
305,3,57,separated
324,3,60,upper
330,3,61,stage
343,3,64,carrier
351,3,65,rocket
365,3,68,geostationary
379,3,69,transfer
388,3,70,orbit
395,3,72,marking
407,3,74,successful
418,3,75,completion
436,3,78,launch
445,4,81,Superbird
461,4,84,constructed
476,4,86,Mitsubishi
497,4,90,provide
505,4,91,multimedia
516,4,92,broadcasting
532,4,94,Japan
549,4,98,parts
558,4,100,Asia
564,5,102,It
580,5,106,commercial
591,5,107,satellite
607,5,110,built
631,5,114,bus
659,5,119,satellites
688,5,123,launched
705,5,126,Japanese
714,5,127,Government
726,6,129,It
737,6,132,placed
749,6,135,geostationary
763,6,136,orbit
774,6,139,longitude
792,6,143,East
798,7,145,It
813,7,149,satellite
829,7,152,launched
842,7,154,SCC
847,7,156,prior
860,7,159,planned
868,7,160,merger
884,7,163,SKY
888,7,164,Perfect
896,7,165,JSAT
901,7,166,Group
932,7,173,television
943,7,174,broadcasting
959,7,176,North
965,7,177,America
974,8,179,It
985,8,182,placed
999,8,185,geosynchronous
1014,8,186,orbit
1029,8,189,degrees
1040,8,191,inclination
1058,8,195,longitude
1076,8,199,West
1093,9,203,constructed
1108,9,205,Thales
1115,9,206,Alenia
1122,9,207,Space
1129,9,209,based
1147,9,213,bus
1151,9,214,produced
1163,9,216,Orbital
1171,9,217,Sciences
1180,9,218,Corporation
1193,10,220,It
1204,10,223,operated
1216,10,225,SES
1220,10,226,Americom
1232,10,229,United
1239,10,230,States
1246,10,231,based
1252,10,232,subsidiary
1266,10,234,Luxembourgian
1280,10,235,company
1288,10,236,SES
1298,11,239,It
1314,11,243,SES
1318,11,244,satellite
1334,11,247,launched
1360,11,251,satellite
1374,11,253,lost
1384,11,256,launch
1391,11,257,failure
1404,11,260,Proton
1411,11,261,rocket
1418,11,262,earlier
1449,12,268,sold
1461,12,271,US
1464,12,272,Government
1479,12,274,technology
1490,12,275,development
1502,12,276,experiments
1514,12,277,including
1524,12,278,radar
1530,12,279,targeting
1546,13,283,satellites
1562,13,285,enclosed
1576,13,288,long
1581,13,289,payload
1589,13,290,fairing
1604,13,293,separated
1614,13,294,shortly
1632,13,297,rocket
1639,13,298,reached
1647,13,299,space
1667,13,303,minutes
1683,13,306,seconds
1697,13,308,launch
1705,14,310,A
1715,14,312,dual
1720,14,313,payload
1728,14,314,adapter
1751,14,319,Superbird
1763,14,321,located
1778,14,324,upper
1784,14,325,position
1805,14,329,underneath
1821,15,332,launch
1832,15,334,conducted
1845,15,336,Arianespace
1860,15,339,French
1867,15,340,Launch
1874,15,341,Service
1882,15,342,Provider
1892,15,344,Speaking
1911,15,347,launch
1919,15,349,Jean
1924,15,351,Yves
1929,15,352,Le
1932,15,353,Gall
1942,15,356,CEO
1949,15,358,Arianespace
1961,15,359,said
1984,15,365,happy
1993,15,367,share
2004,15,369,new
2008,15,370,success
2018,16,373,Yukata
2025,16,374,Nagal
2036,16,377,Chief
2042,16,378,Executive
2055,16,380,SCC
2060,16,382,said
2083,16,388,glad
2098,16,392,launch
2109,16,394,successful
2121,17,396,Rick
2126,17,397,Starkovs
2147,17,402,Vice
2152,17,403,Presidents
2166,17,405,SES
2170,17,406,said
2183,17,409,felt
2188,17,410,felt
2199,17,413,good
2205,17,415,watching
2218,17,417,successful
2229,17,418,launch
2238,18,421,This
2256,18,425,launch
2266,18,427,orbit
2275,18,429,far
2284,18,431,year
2306,18,437,reach
2312,18,438,orbit
2319,19,440,It
2329,19,443,fifth
2338,19,445,seven
2344,19,446,planned
2352,19,447,Ariane
2361,19,449,launches
2375,19,451,year
2394,19,456,Ariane
2403,19,458,launch
2410,19,459,overall
2428,20,463,Ariane
2440,20,466,scheduled
2453,20,468,launch
2463,20,470,October
2481,20,474,Hot
2485,20,475,Bird
2504,20,481,Spirale
2512,20,482,satellites
