char,sent_n,token_i,word
0,1,0,An
3,1,1,Asiana
10,1,2,Airlines
19,1,3,Boeing
30,1,5,airplane
39,1,6,crashed
52,1,8,landing
63,1,10,San
67,1,11,Francisco
77,1,12,International
91,1,13,Airport
112,1,16,AM
115,1,17,local
121,1,18,time
126,1,19,today
133,2,21,Flight
146,2,25,coming
158,2,27,Seoul
165,2,29,carrying
178,2,31,passengers
191,2,33,including
205,2,35,infant
220,2,39,crew
225,2,40,members
235,2,42,crashed
246,2,44,runway
258,2,46,Two
262,2,47,deaths
273,2,49,reported
289,2,52,passengers
305,2,54,taken
314,2,56,San
318,2,57,Francisco
328,2,58,General
336,2,59,Hospital
345,2,60,critically
356,2,61,injured
365,3,63,In
368,3,64,total
375,3,66,officials
385,3,67,report
396,3,69,people
408,3,71,hospitalized
429,3,74,person
436,3,75,remains
444,3,76,unaccounted
463,4,80,It
469,4,82,reported
492,4,86,airplane
501,4,87,took
515,4,90,Seoul
522,4,92,smoke
532,4,94,coming
548,4,97,airplane
562,5,100,weather
574,5,102,good
586,5,105,plane
596,5,107,landing
607,5,109,San
611,5,110,Francisco
622,6,112,According
635,6,114,David
641,6,115,Eun
648,6,118,passenger
665,6,121,airplane
682,6,124,executive
692,6,125,vice
697,6,126,president
710,6,128,Samsung
723,6,131,tail
728,6,132,came
744,6,136,plane
755,6,138,landing
764,7,140,A
766,7,141,non
770,7,143,passenger
780,7,144,witness
789,7,146,Anthony
797,7,147,Castorani
812,7,150,reported
828,7,153,fireball
837,7,154,formed
853,7,157,plane
859,7,158,landing
880,7,162,plane
886,7,163,flipped
900,8,166,A
902,8,167,large
908,8,168,portion
923,8,171,passenger
933,8,172,area
945,8,175,plane
958,8,178,fire
971,8,181,burned
983,9,184,Most
995,9,187,plane
1003,9,189,tail
1011,9,191,gone
1017,10,193,Passengers
1033,10,195,seen
1044,10,197,emergency
1054,10,198,slides
1064,10,200,escape
1075,10,202,wreckage
1091,11,206,cause
1104,11,209,crash
1116,11,212,unknown
1125,12,214,There
1144,12,218,reports
1152,12,219,stating
1169,12,222,airplane
1178,12,223,pilot
1189,12,225,distress
1198,12,226,calls
1215,12,229,accident
1225,13,231,Law
1229,13,232,enforcement
1250,13,235,believe
1262,13,237,accident
1279,13,240,result
1289,13,242,terrorism
1302,13,244,criminal
1311,13,245,activity
1325,14,248,National
1334,14,249,Transportation
1349,14,250,Safety
1356,14,251,Board
1370,14,254,investigating
1388,14,256,crash
1395,15,258,Deborah
1403,15,259,Hersman
1416,15,261,lead
1425,15,263,investigation
1445,16,267,airport
1457,16,269,closed
1471,16,272,incoming
1484,16,274,outgoing
1493,16,275,air
1501,16,277,vehicle
1509,16,278,traffic
1528,16,281,PM
1531,16,282,local
1537,16,283,time
1551,16,287,opened
1560,16,289,runways
1569,17,291,Over
1578,17,293,flights
1591,17,295,canceled
1607,17,298,airport
1616,18,300,More
1629,18,303,flights
1637,18,304,headed
1647,18,306,San
1651,18,307,Francisco
1670,18,310,allowed
1681,18,312,land
1693,18,315,airport
1710,18,318,sent
1724,18,321,cities
1732,19,323,Some
1737,19,324,flights
1755,19,327,diverted
1767,19,329,Sacramento
1778,19,330,International
1792,19,331,Airport
1804,19,333,Delta
1810,19,334,Air
1814,19,335,Lines
1824,19,337,canceled
1836,19,339,flights
1856,19,343,San
1860,19,344,Francisco
1871,20,346,United
1878,20,347,Airlines
1891,20,349,Virgin
1898,20,350,America
1906,20,351,offered
1914,20,352,passengers
1929,20,354,opportunity
1944,20,356,change
1955,20,358,flights
1969,20,361,extra
1975,20,362,cost
1986,20,364,Monday
1996,21,367,Sheryl
2003,21,368,Sandberg
2013,21,370,Facebook
2022,21,371,Chief
2028,21,372,Operating
2038,21,373,Officer
2051,21,376,supposed
2063,21,378,travel
2077,21,381,Asiana
2084,21,382,flight
2092,22,384,She
2096,22,385,rescheduled
2120,22,389,colleagues
2136,22,392,flight
2146,22,394,fly
2153,22,396,United
2160,22,397,Airlines
2169,22,398,instead
2178,23,400,Her
2182,23,401,flight
2189,23,402,landed
2199,23,404,minutes
2218,23,407,Asiana
2225,23,408,crash
2233,24,411,A
2235,24,412,Boeing
2250,24,415,hold
2270,24,420,passengers
2282,25,422,Asiana
2296,25,425,second
2303,25,426,largest
2311,25,427,airline
2322,25,429,South
2328,25,430,Korea
