char,sent_n,token_i,word
0,1,0,On
3,1,1,January
24,1,7,asteroid
63,1,14,feet
71,1,16,diameter
90,1,21,m
98,1,24,pass
114,1,27,lunar
120,1,28,distances
139,1,31,miles
156,1,34,km
163,1,37,Earth
169,1,38,according
182,1,40,NASA
189,1,42,Near
194,1,43,Earth
200,1,44,Object
207,1,45,program
216,1,47,NEO
222,2,50,For
228,2,52,brief
234,2,53,time
243,2,55,asteroid
260,2,58,observable
274,2,60,dark
283,2,62,clear
289,2,63,skies
300,2,65,amateur
308,2,66,telescopes
324,2,69,inch
329,2,70,apertures
342,2,72,larger
351,3,75,Asteroid
371,3,79,discovered
389,3,82,Catalina
398,3,83,Sky
402,3,84,Survey
412,3,86,October
432,3,91,expected
444,3,93,reach
452,3,95,brightness
463,3,96,magnitude
502,3,105,quickly
519,3,107,fainter
533,3,110,moves
552,3,113,Earth
559,4,115,To
562,4,116,compare
574,4,118,asteroid
585,4,120,distance
599,4,122,Earth
610,4,125,Moon
631,4,129,miles
637,4,130,away
651,4,133,planet
660,5,136,It
666,5,138,estimated
681,5,140,nearly
694,5,142,asteroids
712,5,145,size
723,5,148,discovered
738,5,150,undiscovered
755,5,152,flying
769,5,154,space
784,5,157,reasonable
795,5,158,distance
807,5,160,Earth
814,6,162,An
817,6,163,asteroid
831,6,165,big
835,6,166,usually
843,6,167,passes
850,6,168,Earth
873,6,172,years
890,7,177,average
898,7,178,interval
915,7,180,actual
922,7,181,Earth
928,7,182,impacts
943,7,185,object
958,7,188,size
985,7,193,years
994,8,197,If
1010,8,203,hit
1021,8,206,ocean
1042,8,211,likely
1061,8,214,thirds
1075,8,217,Earth
1084,8,219,ocean
1100,8,223,create
1109,8,225,tsunami
1133,8,230,devastating
1153,8,233,coastlines
1169,8,235,happen
1182,8,238,nearby
1190,9,240,It
1204,9,244,huge
1209,9,245,local
1215,9,246,problem
1231,9,249,tsunami
1248,9,252,extraordinary
1268,9,255,hit
1279,9,258,ocean
1287,9,261,said
1292,9,262,NEO
1296,9,263,manager
1304,9,264,Don
1308,9,265,Yeomans
1340,10,273,closest
1348,10,274,currently
1358,10,275,known
1364,10,276,approach
1378,10,279,potentially
1390,10,280,hazardous
1400,10,281,asteroid
1417,10,284,size
1425,10,286,larger
1444,11,290,Plans
1473,11,296,Goldstone
1483,11,297,planetary
1493,11,298,radar
1502,11,300,observe
1515,11,302,object
1522,11,303,Jan
1544,11,310,Arecibo
1552,11,311,Observatory
1567,11,313,observe
1578,11,315,Jan
1597,11,321,Feb
1606,12,326,High
1611,12,327,resolution
1622,12,328,radar
1628,12,329,imaging
1639,12,331,expected
1659,12,335,permit
1666,12,336,later
1676,12,338,shape
1682,12,339,reconstruction
