char,sent_n,token_i,word
0,1,0,Astronomers
17,1,2,discovered
30,1,4,planetary
40,1,5,system
58,1,8,contain
83,1,12,seven
89,1,13,planets
98,1,15,located
121,1,19,Earth
129,2,22,Only
142,2,24,planetary
152,2,25,systems
164,2,27,known
173,2,29,contain
197,2,33,planets
210,3,36,newly
216,3,37,discovered
227,3,38,system
237,3,40,centered
253,3,42,star
258,3,43,HD
274,3,47,properties
292,3,50,similar
320,3,56,Sun
329,4,59,researchers
354,4,63,discovery
377,4,67,system
387,4,69,arranged
406,4,73,compact
414,4,74,way
438,4,81,believed
456,4,84,year
475,4,89,inner
481,4,90,planets
498,4,93,equal
510,4,96,little
534,4,101,Earth
540,4,102,day
546,5,105,It
552,5,107,believed
572,5,111,seven
578,5,112,planets
593,5,115,present
609,5,118,system
635,5,125,subject
646,5,127,ambiguity
657,6,129,One
673,6,133,believed
692,6,137,mass
709,6,141,relatively
720,6,142,close
729,6,144,Earth
738,7,147,This
743,7,148,planet
754,7,151,confirmed
769,7,154,prove
785,7,158,smallest
794,7,159,world
804,7,161,discovered
815,7,162,outside
827,7,164,solar
833,7,165,system
842,8,168,This
847,8,169,system
887,8,179,discovered
898,8,180,outside
910,8,182,solar
916,8,183,system
924,9,185,Astronomers
946,9,188,spotting
961,9,190,systems
981,9,193,years
988,10,195,Christophe
999,10,196,Lovis
1006,10,198,lead
1011,10,199,researcher
1029,10,202,project
1038,10,204,shares
1049,10,206,thoughts
1068,10,209,discovery
1080,10,212,This
1090,10,214,highlights
1105,10,216,fact
1126,10,221,entering
1137,10,223,new
1141,10,224,era
1148,10,226,exoplanet
1158,10,227,research
1173,10,230,study
1182,10,232,complex
1190,10,233,planetary
1200,10,234,systems
1224,10,239,individual
1235,10,240,planets
1246,11,244,Martin
1253,11,245,Dominik
1265,11,248,astronomer
1285,11,251,University
1303,11,254,Andrews
1312,11,256,warns
1326,11,258,describing
1341,11,260,system
1356,11,264,richest
1368,11,266,discovered
1390,11,272,unclear
1412,11,275,systems
1430,11,278,planets
1448,11,281,discovered
1466,11,284,past
1472,12,286,Dominik
1480,12,287,elaborates
1493,12,290,Like
1503,12,292,discoveries
1518,12,294,science
1531,12,297,findings
1540,12,298,come
1555,12,301,questions
1570,12,303,answers
1589,12,308,opinion
1618,12,314,advances
1629,12,316,field
