char,sent_n,token_i,word
0,1,0,At
16,1,3,people
27,1,5,dead
54,1,10,missing
68,1,12,Cyclone
76,1,13,Nargis
83,1,14,hit
91,1,16,country
102,1,18,Myanmar
111,1,20,according
124,1,22,Foreign
132,1,23,Minister
141,1,24,Nyan
146,1,25,Win
155,1,28,spoke
164,1,30,state
170,1,31,television
182,2,33,Just
187,2,34,hours
193,2,35,later
199,2,36,Xinhua
206,2,37,News
211,2,38,Agency
218,2,39,reported
232,2,41,government
243,2,42,officials
257,2,44,told
284,2,49,dead
295,3,53,United
302,3,54,Nations
311,3,56,UN
315,3,58,calls
325,3,60,report
333,3,62,alarming
344,4,65,Paul
349,4,66,Risley
359,4,69,spokesperson
380,4,72,World
386,4,73,Food
391,4,74,Programme
401,4,75,said
412,4,79,UN
420,4,81,begin
426,4,82,preparing
436,4,83,assistance
457,4,87,delivered
471,4,89,transported
486,4,91,Myanmar
497,4,93,quickly
508,4,95,possible
525,5,101,UN
555,5,108,provide
563,5,109,urgent
570,5,110,humanitarian
583,5,111,assistance
595,6,113,Because
610,6,116,lack
618,6,118,communications
651,6,124,sure
673,6,129,total
679,6,130,extent
689,6,132,damages
701,6,134,casualties
713,7,136,I
728,7,140,alarmed
739,7,142,incoming
748,7,143,views
759,7,145,casualties
775,7,147,risen
802,7,153,according
815,7,155,Myanmar
825,7,157,foreign
833,7,158,ministry
844,7,161,said
853,7,163,Secretary
863,7,165,General
878,7,168,UN
882,7,170,Ban
886,7,171,Ki
889,7,173,moon
900,8,177,death
906,8,178,toll
915,8,180,risen
926,8,182,Sunday
935,8,184,count
953,8,188,deaths
962,9,191,Food
971,9,193,water
988,9,196,scarce
999,9,198,hundreds
1011,9,200,thousands
1024,9,202,people
1035,9,204,homeless
1057,9,207,towns
1069,9,209,completely
1080,9,210,destroyed
1091,10,212,In
1098,10,214,city
1106,10,216,Yangon
1126,10,221,power
1148,10,226,drinking
1157,10,227,water
1172,10,230,contaminated
1188,11,234,What
1196,11,236,clear
1217,11,241,dealing
1232,11,244,major
1238,11,245,emergency
1248,11,246,situation
1267,11,250,priority
1276,11,251,needs
1290,11,254,shelter
1302,11,256,clean
1308,11,257,drinking
1317,11,258,water
1325,11,261,said
1330,11,262,United
1337,11,263,Nations
1345,11,264,disaster
1354,11,265,response
1363,11,266,spokesman
1374,11,268,Richard
1382,11,269,Horsey
1391,12,272,There
1406,12,275,million
1414,12,276,people
1421,12,277,living
1431,12,279,Myanmar
1451,12,283,million
1462,12,285,Yangon
