char,sent_n,token_i,word
0,1,0,At
13,1,3,people
25,1,5,died
61,1,13,injured
79,1,16,semi
84,1,17,trucks
91,1,18,collided
105,1,21,truck
111,1,22,tunnel
121,1,24,Interstate
135,1,27,Newhall
143,1,28,Pass
157,1,31,Los
161,1,32,Angeles
173,1,34,Santa
179,1,35,Clarita
187,1,36,California
199,1,38,United
206,1,39,States
214,1,41,causing
226,1,43,tunnel
239,1,46,completely
250,1,47,shut
268,1,51,north
278,1,53,southbound
289,1,54,lanes
297,2,57,At
300,2,58,approximately
326,2,62,pacific
334,2,63,time
345,2,67,semi
350,2,68,trucks
357,2,69,collided
388,2,75,trucks
395,2,76,smashed
412,2,79,wreckage
421,2,80,causing
431,2,82,massive
439,2,83,fire
445,3,85,Firefighters
468,3,88,foam
476,3,90,control
488,3,92,flames
521,3,98,hours
540,4,104,Officials
563,4,108,debris
583,4,112,day
598,4,116,remove
621,4,121,inspection
660,4,129,tunnel
703,4,137,officials
726,4,141,structure
743,4,144,tunnel
759,4,147,compromised
774,5,151,It
781,5,153,impacted
794,5,155,structural
805,5,156,stability
822,5,159,tunnel
831,5,162,said
836,5,163,John
841,5,164,Tripp
851,5,166,Fire
856,5,167,Chief
866,5,169,Los
870,5,170,Angeles
878,5,171,County
894,5,174,said
922,5,180,people
929,5,181,trapped
944,5,184,wreckage
956,6,188,We
962,6,190,going
989,6,197,methodical
1000,6,198,search
1008,7,200,There
1023,7,203,unfortunately
1042,7,205,people
1063,7,209,able
1071,7,211,escape
1080,7,214,added
1086,7,215,Tripp
1098,8,219,tunnel
1112,8,222,feet
1117,8,223,long
