char,sent_n,token_i,word
6,1,2,London
14,1,4,England
26,3,7,Yesterday
44,3,11,final
50,3,12,day
57,3,14,competition
70,3,16,athletics
80,3,17,concluded
97,3,20,London
104,3,21,Paralympics
125,3,24,running
137,3,26,wheeling
153,3,29,marathon
170,3,32,men
202,3,42,women
215,4,46,Spain
225,4,48,Great
231,4,49,Britain
250,4,53,gold
261,4,56,silver
268,4,57,medal
275,4,59,Brazil
290,4,62,United
297,4,63,States
310,4,66,gold
321,4,69,Switzerland
339,4,72,silver
352,4,75,bronze
359,4,76,medal
366,4,78,Colombia
381,4,81,silver
388,4,82,medal
399,4,85,Tunisia
408,4,87,Australia
422,4,89,Belarus
441,4,93,bronze
448,4,94,medal
456,5,97,Alberto
464,5,98,Suarez
471,5,99,Laso
479,5,101,Spain
485,5,102,set
491,5,104,world
501,5,106,European
510,5,107,record
528,5,111,marathon
544,5,114,time
561,6,118,In
573,6,121,event
580,6,123,Tunisian
589,6,124,Abderrahim
600,6,125,Zhiou
606,6,126,set
613,6,128,African
621,6,129,record
635,6,132,time
655,6,136,Colomobian
666,6,137,Elkin
672,6,138,Alonso
679,6,139,Serna
685,6,140,Moreno
692,6,141,set
699,6,143,Americas
708,6,144,record
722,6,147,time
739,7,151,Despite
747,7,152,failing
764,7,156,medal
771,7,158,Japanese
780,7,159,Masahiro
789,7,160,Okamura
797,7,161,set
804,7,163,Asian
810,7,164,record
824,7,167,time
841,8,171,In
848,8,173,women
860,8,176,event
867,8,178,Australian
878,8,179,Christie
887,8,180,Dawes
893,8,181,set
900,8,183,Oceania
908,8,184,record
922,8,187,time
940,9,192,Great
946,9,193,Britain
956,9,195,gold
961,9,196,medal
971,9,198,earned
981,9,200,David
987,9,201,Weir
1001,9,205,Weir
1008,9,207,fourth
1015,9,208,gold
1020,9,209,medal
1026,9,210,earned
1040,9,213,London
1048,10,215,This
1057,10,217,Weir
1080,10,223,individual
1091,10,224,gold
1096,10,225,medal
1102,10,226,count
1112,10,228,London
1119,10,229,alongside
1129,10,230,Raymond
1137,10,231,Martin
1151,10,234,United
1158,10,235,States
1166,11,237,Tatyana
1174,11,238,McFadden
1190,11,241,United
1197,11,242,States
1210,11,245,chance
1225,11,248,gold
1230,11,249,medals
1240,11,251,London
1256,11,255,unable
1266,11,257,seriously
1276,11,258,compete
1292,11,261,pair
1300,11,263,tire
1305,11,264,punctures
1315,11,265,mid
1319,11,267,race
1329,11,269,seriously
1339,11,270,slowed
1356,12,274,McFadden
1365,12,275,conveyed
1378,12,277,experiences
1397,12,280,race
1409,12,283,media
1416,12,285,saying
1425,12,288,At
1437,12,292,miles
1446,12,294,went
1479,12,301,happen
1495,12,305,London
1503,13,307,Luckily
1512,13,309,I
1520,13,312,spare
1530,14,314,I
1536,14,316,bombed
1548,15,319,I
1555,15,321,wanted
1565,15,323,sit
1573,15,325,cry
1581,16,327,I
1588,16,329,wanted
1598,16,331,finish
1631,16,338,miles
1647,17,342,I
1653,17,344,determined
1664,17,345,I
1673,17,348,going
1694,17,352,flat
1699,17,353,tyre
1712,18,359,Finishing
1734,18,363,important
1744,18,364,thing
1761,18,369,makes
1773,18,372,better
1780,18,373,person
1788,19,375,I
1795,19,377,wanted
1805,19,379,compete
1817,19,381,stay
1822,19,382,strong
1832,20,386,Swiss
1838,20,387,racer
1844,20,388,Edith
1850,20,389,Wolf
1855,20,390,quit
1864,20,392,women
1872,20,394,marathon
1881,20,395,mid
1885,20,397,race
1896,20,399,running
1911,20,402,hole
1923,20,405,course
1935,20,407,left
1952,20,410,feeling
1967,20,413,left
1972,20,414,arm
1980,20,416,neck
1990,20,419,required
2009,20,423,hospitalized
2023,21,425,Following
2037,21,427,race
2043,21,429,Wolf
2050,21,431,husband
2062,21,433,coach
2068,21,434,told
2077,21,436,media
2085,21,439,She
2100,21,442,looking
2108,21,443,forward
2123,21,446,marathon
2133,22,448,She
2148,22,451,prepared
2161,22,454,I
2163,22,455,think
2182,22,459,disappointed
2196,23,461,I
2198,23,462,think
2204,23,463,tomorrow
2222,23,466,wake
2247,23,472,medals
2275,24,478,happy
2283,25,481,When
2288,25,482,questioned
2309,25,485,media
2329,25,490,disappeared
2348,25,493,conclusion
2366,25,496,men
2372,25,498,race
2382,25,501,specifically
2399,25,503,media
2410,25,505,Wolf
2417,25,507,home
2422,25,508,country
2434,25,511,said
2441,25,514,There
2463,25,519,media
2484,25,524,disappointing
2499,26,526,But
2517,26,530,recognised
2545,26,535,great
2551,26,536,Games
2558,27,538,This
2570,27,541,second
2577,27,542,biggest
2585,27,543,sports
2592,27,544,event
2605,27,547,world
2648,27,558,loss
2659,27,561,missed
2668,27,563,big
2672,27,564,chance
2682,28,568,Colombia
2693,28,570,German
2700,28,571,Naranjo
2708,28,572,Jaramillo
2718,28,573,served
2728,28,575,Elkin
2734,28,576,Alonso
2741,28,577,Serena
2748,28,578,Morena
2757,28,580,guide
2771,28,583,length
2785,28,586,marathon
2795,29,588,Because
2812,29,592,Jaramillo
2827,29,594,earned
2836,29,596,silver
2843,29,597,medal
2850,30,599,Gold
2855,30,600,medalist
2864,30,601,Laso
2872,30,603,Spain
2882,30,605,bronze
2889,30,606,medalist
2898,30,607,Zhiou
2907,30,609,Tunisia
2915,30,610,utilized
2924,30,611,multiple
2933,30,612,guides
2949,30,616,guides
2965,30,619,eligible
2978,30,621,medals
2986,31,623,Other
2992,31,624,runners
3007,31,627,men
3017,31,630,marathon
3043,31,635,guide
3059,31,638,race
3064,31,639,included
3073,31,640,ninth
3079,31,641,place
3085,32,642,Ildar
3091,32,643,Pomykalov
3104,32,645,Russia
3119,32,648,guided
3129,32,650,Aleksei
3137,32,651,Lashmanov
3152,32,654,Henry
3158,32,655,Wanyoike
3170,32,657,Kenya
3188,32,661,finish
3203,32,664,guided
3213,32,666,Joseph
3220,32,667,Gachuhi
