char,sent_n,token_i,word
4,1,1,Australian
15,1,2,Bureau
25,1,4,Statistics
41,1,6,hold
55,1,9,census
69,1,11,Australia
79,1,12,tonight
88,2,14,For
102,2,17,time
112,2,20,bureau
131,2,24,website
139,2,25,set
149,2,28,allow
155,2,29,people
165,2,31,complete
180,2,33,census
187,2,34,online
205,3,39,census
216,3,41,held
230,4,45,Under
236,4,46,federal
244,4,47,law
248,4,48,censuses
261,4,50,held
277,4,53,years
285,5,56,All
289,5,57,people
307,5,61,Australia
324,5,64,territories
339,5,66,census
346,5,67,night
356,5,69,required
371,5,72,included
387,5,75,census
399,6,78,census
406,6,79,includes
415,6,80,visitors
431,6,83,country
442,6,85,addition
454,6,87,permanent
464,6,88,residents
484,7,92,exceptions
499,7,94,foreign
507,7,95,diplomats
527,7,98,families
538,8,101,Australia
550,8,103,head
555,8,104,statistician
569,8,106,Dennis
576,8,107,Trewin
583,8,108,said
593,8,110,young
599,8,111,people
606,8,112,need
614,8,114,ensure
636,8,118,included
652,8,121,count
660,9,124,Young
666,9,125,people
681,9,128,realise
698,9,131,mere
703,9,132,fact
717,9,135,counted
732,9,138,Census
750,9,142,difference
770,9,145,lives
778,9,148,Mr
781,9,149,Trewin
788,9,150,said
796,10,154,By
799,10,155,making
806,10,156,sure
824,10,160,counted
835,10,162,Census
842,10,163,night
849,10,165,planners
863,10,167,know
877,10,170,young
883,10,171,people
928,10,181,able
936,10,183,plan
941,10,184,services
950,10,185,accordingly
963,11,187,This
968,11,188,includes
977,11,189,services
994,11,192,public
1001,11,193,transport
1012,11,195,education
1023,11,197,sporting
1032,11,198,facilities
1047,11,200,bike
1052,11,201,paths
1065,12,206,ABS
1081,12,210,assuring
1090,12,211,participants
1114,12,214,information
1129,12,216,protected
1140,13,218,In
1145,13,220,statement
1164,13,223,website
1176,13,225,ABS
1180,13,226,stated
1192,13,229,security
1209,13,232,personal
1218,13,233,information
1233,13,235,protected
1246,13,237,law
1251,14,239,Census
1258,14,240,information
1281,14,244,produce
1289,14,245,statistics
1308,14,249,ways
1322,14,252,identify
1335,14,254,individual
1347,15,256,No
1356,15,258,organisation
1370,15,260,public
1380,15,262,private
1399,15,266,access
1413,15,269,personal
1422,15,270,information
1434,15,271,provided
1450,15,274,Census
