char,sent_n,token_i,word
4,1,1,New
8,1,2,South
14,1,3,Wales
20,1,4,Fire
25,1,5,Brigades
35,1,7,NSWFB
45,1,10,Australia
59,1,12,come
70,1,14,scrutiny
84,1,17,report
91,1,18,highlights
106,1,20,latest
118,1,23,string
128,1,25,sexual
135,1,26,abuse
145,1,28,harassment
156,1,29,cases
167,2,32,report
179,2,34,describes
193,2,36,humilation
207,2,38,new
211,2,39,recruits
224,2,42,bizarre
233,2,44,initiation
244,2,45,rituals
258,3,49,independent
270,3,50,investigation
284,3,51,led
291,3,53,KPMG
299,3,56,Swiss
305,3,57,audit
312,3,59,taxation
325,3,61,advisory
334,3,62,firm
340,3,64,found
377,3,73,claimed
393,3,76,suffered
412,3,79,abuse
423,3,81,said
434,3,84,satisfied
451,3,87,action
458,3,88,taken
471,3,91,NSWFB
484,4,95,investigation
498,4,96,states
527,4,102,instances
540,4,104,bullying
553,4,106,harassment
591,4,113,adequately
602,4,114,addressed
614,5,116,Some
619,5,117,degree
629,5,119,physical
638,5,120,bullying
651,5,122,intimidation
667,5,124,present
686,5,127,areas
699,5,130,organization
713,5,132,including
727,5,134,administration
742,5,135,directorates
758,6,139,Physical
767,6,140,abuse
780,6,143,NSWFB
799,6,147,critical
808,6,148,issue
825,6,152,cases
831,6,153,manifesting
850,6,156,initation
863,6,158,new
867,6,159,recruits
883,7,162,initiations
895,7,163,require
911,7,166,remove
924,7,168,clothing
940,7,171,subject
951,7,173,physical
960,7,174,torment
972,7,176,irritation
995,7,179,watched
1012,7,182,members
1027,7,185,brigade
1036,8,187,It
1042,8,189,estimated
1071,8,194,firefighters
1089,8,196,witnessed
1107,8,199,experienced
1119,8,200,physical
1128,8,201,bullying
1144,8,204,past
1153,8,206,years
1180,8,212,exclusive
1193,8,214,recruits
1212,8,218,includes
1223,8,220,number
1233,8,222,superintendents
1253,8,224,captains
1265,9,227,Abuse
1271,9,228,hot
1275,9,229,spots
1296,9,233,identified
1317,9,237,brigade
1327,9,239,Special
1335,9,240,Operations
1346,9,241,Unit
1351,9,242,having
1362,9,244,highest
1370,9,245,percentage
1389,9,248,claims
1398,10,251,Despite
1406,10,252,statements
1429,10,256,New
1433,10,257,South
1439,10,258,Wales
1445,10,259,Emergency
1455,10,260,Services
1464,10,261,Minister
1474,10,263,Steve
1480,10,264,Whan
1494,10,268,firm
1499,10,269,action
1518,10,272,involved
1531,10,276,Boy
1537,10,278,Club
1543,10,280,mentality
1553,10,281,continues
1566,10,283,pervade
1578,10,285,organization
1592,10,287,leading
1608,10,290,abuses
1623,10,293,stripping
1636,10,295,female
1643,10,296,firefighters
1659,10,298,adequate
1668,10,299,support
1689,10,305,female
1696,10,306,firefights
1707,10,307,admit
1716,10,309,experiencing
1729,10,310,sexual
1736,10,311,harassment
1767,10,317,subject
1778,10,319,verbal
1785,10,320,assaults
1795,10,322,obscene
1803,10,323,gestures
1816,10,325,jokes
1824,11,328,It
1836,11,331,revealed
1857,11,335,light
1866,11,337,KMPG
1873,11,339,investigation
1896,11,342,Independent
1908,11,343,Commission
1919,11,344,Against
1927,11,345,Corruption
1943,11,347,launch
1958,11,350,investigation
1977,11,352,physical
1990,11,354,sexual
1997,11,355,abuses
2011,11,358,NSWFB
2023,12,362,KPMG
2028,12,363,report
2035,12,364,puts
2040,12,365,forward
2051,12,367,recommendations
2083,12,372,utilised
2099,12,375,Emergency
2109,12,376,Services
2118,12,377,Ministry
2134,12,380,hope
2142,12,382,reforming
2156,12,384,culture
2175,12,387,NSWFB
