char,sent_n,token_i,word
4,1,1,Australia
14,1,2,First
20,1,3,Party
29,1,5,writing
44,1,8,supporters
55,1,9,requesting
83,1,13,members
94,1,15,order
106,1,19,register
120,1,22,political
130,1,23,party
139,1,25,Australia
150,2,27,Australia
160,2,28,First
169,2,30,seen
179,2,33,far
183,2,35,right
189,2,36,wing
194,2,37,party
205,2,39,nationalist
217,2,40,ideals
230,3,44,party
240,3,46,founded
259,3,50,Graeme
266,3,51,Campbell
277,3,53,Member
291,3,56,House
300,3,58,Representatives
324,3,61,Australian
335,3,62,Labor
341,3,63,Party
348,4,65,In
357,4,68,Graeme
364,4,69,Campbell
374,4,71,One
378,4,72,Nation
385,4,73,offered
396,4,75,endorse
413,4,79,senate
420,4,80,candidate
433,4,82,Western
441,4,83,Australia
452,5,85,He
455,5,86,failed
468,5,89,elected
483,5,92,October
496,5,94,election
513,5,97,remained
533,5,100,One
537,5,101,Nation
544,5,102,Party
557,6,106,party
567,6,108,de
570,6,110,registered
588,6,113,Australian
599,6,114,Electoral
609,6,115,Commission
636,6,120,nominating
649,6,122,single
656,6,123,federal
664,6,124,election
673,6,125,candidate
692,6,128,years
700,7,131,Recently
721,7,135,alleged
738,7,138,Australia
748,7,139,First
754,7,140,Party
768,7,143,offspring
782,7,145,Patriotic
792,7,146,Youth
798,7,147,League
814,7,150,involved
826,7,152,organising
841,7,154,racial
848,7,155,violence
860,7,157,Sydney
870,7,159,December
884,7,161,year
894,8,164,party
900,8,165,denies
912,8,167,claiming
922,8,169,There
934,8,172,way
940,8,174,small
946,8,175,group
955,8,177,young
961,8,178,nationalists
980,8,180,organise
996,8,182,people
1006,8,184,gather
1016,8,186,Cronulla
1025,8,187,Beach
1033,9,190,However
1045,9,192,party
1053,9,194,website
1066,9,196,claim
1078,9,199,Australian
1089,9,200,Youth
1095,9,201,And
1099,9,202,Families
1108,9,203,Should
1115,9,204,Support
1127,9,206,Cronulla
1136,9,207,Mass
1141,9,208,Mobilisation
1154,9,209,On
1157,9,210,December
1172,10,215,Once
1181,10,217,party
1199,10,222,registered
1219,10,225,Australian
1230,10,226,Electoral
1240,10,227,Commission
1254,10,229,intends
1265,10,231,contest
1273,10,232,local
1279,10,233,government
1290,10,234,elections
1307,10,237,Sutherland
1318,10,238,Shire
1325,10,240,Marrickville
1339,10,242,Coffs
1345,10,243,Harbour
1357,10,245,Newcastle
1374,10,247,running
1386,10,249,federal
1394,10,250,parliament
1419,11,256,party
1427,11,258,NSW
1431,11,259,Secretary
1442,11,261,Jim
1446,11,262,Saleam
1453,11,263,said
1459,11,265,What
1480,11,270,Australia
1499,11,274,situation
1519,11,277,European
1528,11,278,identity
1546,11,281,deprecated
1573,11,286,point
1585,11,288,Europeans
1600,11,290,disappear
1615,11,292,century
1627,12,297,Under
1633,12,298,certain
1641,12,299,circumstances
1669,12,303,called
1678,12,305,genocide
1707,12,314,called
1714,12,315,progress
1726,13,319,Mr
1729,13,320,Saleam
1740,13,322,jailed
1763,13,330,half
1768,13,331,years
1786,13,335,possessing
1799,13,337,firearm
1811,13,339,organising
1824,13,341,shotgun
1832,13,342,attack
1846,13,345,home
1858,13,348,African
1866,13,349,National
1875,13,350,Congress
1884,13,351,Australian
1895,13,352,representative
1911,13,354,Eddie
1917,13,355,Funde
1929,14,359,party
1935,14,360,needs
1945,14,362,correctly
1955,14,363,completed
1965,14,364,membership
1976,14,365,applications
1992,14,367,apply
2005,14,370,AEC
2016,14,374,registration
2034,15,377,registration
2047,15,378,process
2079,15,385,weeks
