char,sent_n,token_i,word
0,1,0,Homebush
9,1,1,Bay
14,1,3,New
18,1,4,South
24,1,5,Wales
33,2,8,Earlier
41,2,9,today
54,2,12,Sport
60,2,13,Centre
74,2,16,Sydney
81,2,17,Olympic
89,2,18,Park
99,2,21,Australian
110,2,22,Gliders
118,2,23,beat
127,2,25,Germany
135,2,26,women
143,2,28,national
152,2,29,wheelchair
163,2,30,basketball
174,2,31,team
187,3,35,Germany
195,3,36,took
203,3,38,early
209,3,39,lead
221,3,42,game
232,3,44,winning
244,3,46,opening
252,3,47,tip
261,4,51,They
266,4,52,pulled
273,4,53,ahead
290,4,56,Australia
304,4,58,able
312,4,60,answer
335,4,65,point
341,4,66,shot
351,4,69,point
357,4,70,player
364,4,71,Sarah
370,4,72,Stewart
379,5,74,Australia
389,5,75,went
408,5,79,unanswered
419,5,80,scoring
427,5,81,run
432,5,83,beating
440,5,84,Germany
463,5,88,left
492,5,94,Germans
505,5,96,able
513,5,98,score
525,5,101,basketball
539,5,103,Gesche
546,5,104,Schünemann
560,5,106,bring
566,5,107,Germany
583,6,111,Germany
591,6,112,attempted
604,6,114,battle
625,6,119,let
629,6,120,Australia
639,6,121,gain
646,6,123,lead
667,6,128,end
684,6,132,half
690,7,134,Germany
698,7,135,narrowed
736,7,142,end
753,7,146,period
761,8,148,Australia
771,8,149,held
782,8,152,finish
793,8,154,game
810,9,159,Gliders
825,9,162,play
834,9,164,Chinese
842,9,165,team
847,9,166,tomorrow
856,9,167,morning
875,9,170,Sydney
882,9,171,time
