char,sent_n,token_i,word
4,1,1,Labor
10,1,2,Party
19,1,4,Australia
33,1,6,today
39,1,7,launched
49,1,9,Our
53,1,10,Drowning
62,1,11,Neighbours
77,1,15,Pacific
85,1,16,Climate
93,1,17,Change
100,1,18,strategy
114,2,21,strategy
127,2,23,announced
145,2,27,today
155,2,30,Parliament
166,2,31,House
173,2,33,Canberra
186,2,36,Bob
190,2,37,Sercombe
199,2,38,MP
203,2,40,Shadow
210,2,41,Minister
223,2,43,Pacific
231,2,44,Island
238,2,45,Affairs
250,2,47,Overseas
259,2,48,Aid
268,2,51,Anthony
276,2,52,Albanese
285,2,53,MP
289,2,55,Shadow
296,2,56,Minister
313,2,59,Environment
326,2,61,Heritage
339,2,63,Water
348,3,67,Senator
356,3,68,Bob
360,3,69,Brown
373,3,72,Australian
384,3,73,Greens
391,3,74,party
397,3,75,welcomed
406,3,76,aspects
421,3,79,statement
435,3,81,suggested
454,3,84,policy
464,3,86,stated
475,3,88,weak
484,3,90,pointed
501,3,93,Labor
511,3,95,voted
525,3,97,Greens
532,3,98,Senator
540,3,99,Christine
550,3,100,Milne
558,3,102,motion
565,3,103,calling
577,3,105,recognition
592,3,107,Pacific
600,3,108,climate
608,3,109,change
615,3,110,refugees
633,3,113,months
640,3,114,previously
