char,sent_n,token_i,word
4,1,1,US
7,1,2,car
11,1,3,manufacturer
24,1,4,General
32,1,5,Motors
39,1,6,said
58,1,10,axe
69,1,12,jobs
81,1,15,European
90,1,16,division
100,1,18,Opel
106,2,20,According
123,2,23,company
133,2,25,vice
138,2,26,president
148,2,27,John
153,2,28,Smith
164,2,31,firm
169,2,32,wanted
179,2,34,reduce
186,2,35,costs
195,2,37,Opel
209,3,43,Smith
215,3,44,announced
229,3,46,company
247,3,50,Wednesday
258,4,52,He
282,4,58,cuts
292,4,60,going
306,4,63,place
317,4,66,wanted
327,4,68,present
335,4,69,details
350,4,72,plan
358,4,74,European
367,4,75,governments
385,4,78,soon
393,5,82,A
395,5,83,day
410,5,86,announcement
424,5,88,GM
427,5,89,said
439,5,92,cancelling
452,5,94,deal
460,5,96,sell
465,5,97,Opel
473,5,99,Magna
482,5,102,Canadian
491,5,103,automobile
502,5,104,parts
508,5,105,company
518,6,108,Politicians
533,6,110,Germany
541,6,111,expressed
551,6,112,disappointment
569,6,114,GM
574,6,116,cancellation
594,6,119,Magna
600,6,120,deal
616,6,124,country
626,6,126,government
641,6,128,favoured
653,7,132,GM
659,7,135,behaviour
677,7,137,Germany
688,7,139,completely
699,7,140,unacceptable
714,7,143,said
719,7,144,German
726,7,145,economy
734,7,146,minister
743,7,147,Rainer
750,7,148,Bruederle
766,8,152,premier
781,8,155,German
788,8,156,state
797,8,158,North
803,8,159,Rhine
809,8,161,Westphalia
820,8,162,remarked
835,8,165,General
843,8,166,Motors
851,8,168,behaviour
861,8,169,shows
871,8,171,ugly
876,8,172,face
884,8,174,turbo
890,8,176,capitalism
902,9,178,That
910,9,180,completely
921,9,181,unacceptable
941,10,186,UK
944,10,187,government
965,10,191,welcomed
978,10,193,firm
985,10,195,decision
996,11,198,It
1006,11,201,best
1011,11,202,decision
1024,11,204,Britain
1040,11,207,plants
1049,11,210,said
1058,11,212,general
1066,11,213,secretary
1083,11,216,British
1091,11,217,union
1097,11,218,Unite
1104,11,220,Tony
1109,11,221,Woodley
1119,12,224,I
1124,12,226,absolutely
1135,12,227,delighted
1150,12,229,General
1158,12,230,Motors
1170,12,232,finally
1187,12,235,right
1193,12,236,thing
1224,12,245,told
1233,12,247,BBC
1239,13,250,About
1252,13,252,people
1263,13,254,employed
1275,13,256,Opel
1305,13,263,Germany
