char,sent_n,token_i,word
4,1,1,city
12,1,3,Bathurst
22,1,5,home
34,1,8,Mount
40,1,9,Panorama
49,1,10,race
54,1,11,circuit
65,1,13,Central
73,1,14,Western
81,1,15,New
85,1,16,South
91,1,17,Wales
102,1,19,host
110,1,22,fitting
118,1,23,tribute
130,1,26,motor
136,1,27,sport
142,1,28,legend
149,1,29,Peter
155,1,30,Brock
162,1,32,according
175,1,34,Bathurst
184,1,35,Mayor
190,1,36,Norm
195,1,37,Mann
202,2,40,Brock
209,2,42,aged
218,2,45,died
231,2,48,crashed
243,2,50,car
258,2,53,Targa
264,2,54,West
269,2,55,rally
278,2,57,Western
286,2,58,Australia
298,3,61,Long
303,3,62,regarded
316,3,65,king
328,3,68,mountain
341,3,71,recognition
356,3,73,winning
366,3,75,record
378,3,77,events
397,3,81,Bathurst
414,3,84,Mount
420,3,85,Panorama
430,3,87,Brock
440,3,89,regarded
455,3,92,icon
472,3,95,Bathurst
481,3,96,community
493,4,99,Bathurst
502,4,100,mayor
509,4,102,Norm
514,4,103,Mann
519,4,104,said
524,4,105,despite
532,4,106,Brock
538,4,107,having
551,4,109,lived
560,4,111,Bathurst
580,4,116,honorary
589,4,117,citizen
599,5,120,Although
620,5,125,local
626,5,126,resident
649,5,130,lived
661,5,133,Peter
667,5,134,Brock
690,5,139,honorary
699,5,140,citizen
710,5,142,Bathurst
736,5,147,career
749,5,150,significant
761,5,151,impact
775,5,154,lives
789,5,157,people
804,5,160,community
822,7,164,local
828,7,165,radio
834,7,166,station
842,7,167,B
844,7,169,Rock
849,7,170,FM
860,7,173,named
878,7,178,said
887,7,180,mayor
895,8,183,Mr
898,8,184,Mann
908,8,186,said
918,8,188,preparations
942,8,191,carried
961,8,195,National
970,8,196,Motor
976,8,197,Racing
983,8,198,Museum
997,8,201,foot
1005,8,203,Mount
1011,8,204,Panorama
1026,8,207,display
1034,8,208,honouring
1048,8,210,racing
1055,8,211,legend
1064,8,213,life
1074,9,216,museum
1091,9,219,accept
1098,9,220,tributes
1113,9,223,passed
1129,9,226,Brock
1135,9,227,family
1142,9,228,according
1159,9,231,Mayor
1171,10,235,mayor
1177,10,236,promised
1195,10,239,council
1209,10,241,host
1216,10,243,fitting
1224,10,244,tribute
1235,10,246,Mr
1238,10,247,Brock
1246,11,250,Council
1264,11,253,plans
1276,11,256,fitting
1284,11,257,tribute
1295,11,259,honour
1305,11,261,Peter
1313,11,263,life
1322,11,265,career
1332,11,267,coming
1339,11,268,days
1347,12,272,Mr
1350,12,273,Mann
1357,12,275,sentiment
1376,12,278,echoed
1386,12,280,chairman
1401,12,283,Supercars
1411,12,284,Australia
1421,12,285,Tony
1426,12,286,Cochrane
1436,13,288,Mr
1439,13,289,Cochrane
1448,13,290,said
1453,13,291,Bathurst
1480,13,296,appropriate
1492,13,297,place
1504,13,300,tribute
1519,13,303,motor
1525,13,304,racing
1532,13,305,icon
1538,14,307,In
1543,14,309,statement
1554,14,311,Mr
1557,14,312,Cochrane
1566,14,313,said
1581,14,317,befitting
1591,14,318,place
1603,14,321,tribute
1614,14,323,Bathurst
1624,15,325,He
1627,15,326,forged
1646,15,330,motor
1652,15,331,sport
1666,15,334,mountain
1676,16,336,I
1678,16,337,think
1688,16,339,fans
1698,16,341,come
1706,16,343,expect
1723,16,345,special
1743,16,349,provide
1757,17,352,We
1765,17,354,obviously
1780,17,356,special
1788,17,357,thought
1810,17,362,going
1849,18,371,account
1861,18,373,families
1871,18,375,wishes
