char,sent_n,token_i,word
0,1,0,Human
6,1,1,Rights
13,1,2,groups
25,1,4,welcomed
38,1,6,indictment
52,1,8,Belgium
63,1,10,Hissène
71,1,11,Habré
85,1,14,dictator
97,1,16,Chad
103,2,18,Habré
110,2,20,described
127,2,23,organisation
140,2,24,Human
146,2,25,Rights
153,2,26,Watch
167,2,30,African
175,2,31,Pinochet
186,2,34,ruled
192,2,35,Chad
216,3,41,He
223,3,43,stands
230,3,44,accused
242,3,47,crimes
257,3,49,humanity
274,3,53,series
284,3,55,abuses
291,3,56,allegedly
301,3,57,committed
322,3,60,tenure
332,4,63,A
340,4,66,Truth
346,4,67,Commission
361,4,70,Chad
366,4,71,heard
372,4,72,evidence
384,4,74,systematic
395,4,75,torture
406,4,77,Habré
414,4,79,government
430,4,82,accused
442,4,84,regime
469,4,89,killings
479,5,91,But
487,5,93,government
501,5,95,Chad
524,5,100,recently
534,5,102,according
547,5,104,Human
553,5,105,Rights
560,5,106,Watch
567,5,108,included
584,5,111,Habré
599,5,114,associates
630,5,120,attempt
641,5,122,prosecute
658,6,126,Habré
669,6,129,currently
679,6,130,lives
688,6,132,Senegal
701,6,135,arrested
717,6,138,authorities
744,6,143,charged
757,6,145,torture
769,6,147,crimes
784,6,149,humanity
794,7,151,But
802,7,153,following
812,7,154,year
821,7,156,Senegalese
832,7,157,high
837,7,158,court
843,7,159,ruled
854,7,161,Habré
873,7,165,prosecuted
888,7,167,crimes
895,7,168,committed
916,7,171,country
927,8,174,Every
933,8,175,state
947,8,178,right
959,8,180,international
973,8,181,law
981,8,184,prosecute
995,8,186,alleged
1003,8,187,perpetrators
1019,8,189,war
1023,8,190,crimes
1031,8,192,genocide
1044,8,194,crimes
1059,8,196,humanity
1084,8,200,crimes
1096,8,202,committed
1109,9,205,In
1112,9,206,practice
1122,9,208,Belgium
1148,9,214,countries
1165,9,217,world
1179,9,220,enacted
1187,9,221,legislation
1199,9,222,enabling
1214,9,224,domestic
1223,9,225,courts
1233,9,227,exercise
1247,9,229,right
1256,10,232,In
1259,10,233,June
1275,10,237,Rwandans
1289,10,239,convicted
1304,10,242,Belgian
1312,10,243,court
1329,10,247,country
1340,10,250,universal
1350,10,251,jurisdiction
1364,10,253,law
1372,10,256,participating
1398,10,260,genocide
1408,10,262,recently
1417,10,263,portrayed
1434,10,266,film
1440,10,268,Hotel
1446,10,269,Rwanda
1458,11,274,Belgium
1466,11,275,recently
1475,11,276,amended
1487,11,278,law
1494,11,280,reduce
1505,11,282,scope
1520,11,286,series
1530,11,288,highly
1537,11,290,controversial
1551,11,291,attempts
1563,11,293,bring
1569,11,294,cases
1583,11,296,serving
1591,11,297,world
1597,11,298,leaders
1606,11,300,including
1620,11,302,Israeli
1628,11,303,Prime
1634,11,304,Minister
1643,11,305,Ariel
1649,11,306,Sharon
1657,12,308,But
1663,12,310,number
1673,12,312,cases
1696,12,316,begun
1707,12,318,allowed
1718,12,320,continue
1728,12,322,including
1742,12,324,case
1755,12,326,Habré
1768,13,330,government
1782,13,332,Senegal
1790,13,333,recently
1799,13,334,detained
1808,13,335,Habré
1817,13,337,prevent
1834,13,340,fleeing
1843,13,342,following
1853,13,343,pressure
1871,13,346,United
1878,13,347,Nations
1887,14,349,Belgium
1903,14,352,issued
1913,14,354,extradition
1925,14,355,request
