char,sent_n,token_i,word
4,1,1,Los
8,1,2,Angeles
16,1,3,Clippers
25,1,4,professional
38,1,5,basketball
49,1,6,team
54,1,7,selected
63,1,8,power
69,1,9,forward
77,1,10,Blake
83,1,11,Griffin
104,1,15,overall
112,1,16,pick
129,1,20,NBA
133,1,21,Draft
142,1,23,Thursday
151,1,24,night
160,1,26,Madison
168,1,27,Square
175,1,28,Garden
185,1,30,New
189,1,31,York
194,1,32,City
201,2,35,Griffin
214,2,38,won
222,2,40,different
232,2,41,player
246,2,44,year
251,2,45,awards
276,2,49,season
288,2,52,widely
295,2,53,considered
309,2,55,analysts
328,2,59,draft
340,2,62,pick
346,3,64,In
353,3,66,sophomore
363,3,67,season
377,3,70,University
391,3,72,Oklahoma
401,3,74,Griffin
409,3,75,averaged
423,3,77,points
436,3,80,rebounds
452,3,83,shooting
466,3,85,percent
483,3,88,field
491,4,91,Griffin
499,4,92,said
516,4,96,relieved
531,4,98,NBA
535,4,99,commissioner
548,4,100,David
554,4,101,Stern
560,4,102,called
589,4,108,draft
595,4,109,pick
603,5,113,It
608,5,115,great
617,5,117,know
622,5,118,exactly
636,5,120,I
640,5,122,going
658,5,126,set
665,5,128,stone
673,5,131,Griffin
681,5,132,told
690,5,134,University
704,5,136,Oklahoma
713,5,137,web
717,5,138,site
742,6,143,He
745,6,144,added
766,6,149,worried
784,6,152,past
789,6,153,failures
805,6,156,Clippers
815,6,158,saying
834,6,162,looking
842,6,163,forward
857,6,166,future
873,6,169,organization
889,7,173,We
899,7,176,going
905,7,177,think
924,7,181,happened
936,7,183,seasons
944,7,184,past
951,7,187,Griffin
959,7,188,said
966,8,191,We
977,8,194,excited
995,8,197,opportunity
1011,8,199,going
1029,8,203,best
1050,8,207,situation
1076,9,215,With
1085,9,217,second
1092,9,218,overall
1100,9,219,pick
1110,9,222,Memphis
1118,9,223,Grizzlies
1128,9,224,chose
1134,9,225,University
1148,9,227,Connecticut
1160,9,228,junior
1167,9,229,Hasheem
1175,9,230,Thabeet
1188,10,233,Oklahoma
1197,10,234,City
1202,10,235,Thunder
1210,10,236,chose
1216,10,237,Arizona
1224,10,238,State
1230,10,239,sophomore
1240,10,240,James
1246,10,241,Harden
1266,10,245,overall
1274,10,246,pick
1280,11,248,Fourth
1292,11,251,Sacramento
1303,11,252,Kings
1309,11,253,chose
1315,11,254,Tyreke
1322,11,255,Evans
1331,11,258,freshman
1349,11,261,University
1363,11,263,Memphis
1373,12,266,With
1396,12,271,picks
1415,12,275,round
1428,12,278,draft
1439,12,281,Minnesota
1449,12,282,Timberwolves
1462,12,283,chose
1476,12,286,old
1480,12,287,Ricky
1486,12,288,Rubio
1495,12,291,guard
1510,12,294,Spanish
1518,12,295,professional
1531,12,296,team
1536,12,297,Joventut
1545,12,298,Badalona
1562,12,301,selecting
1572,12,302,Jonny
1578,12,303,Flynn
1589,12,305,Syracuse
1598,12,306,University
1616,12,309,sixth
1622,12,310,overall
1630,12,311,pick
1636,13,313,Later
1647,13,316,Timberwolves
1660,13,317,chose
1670,13,319,players
1687,13,322,University
1701,13,324,North
1707,13,325,Carolina
1717,13,327,guards
1724,13,328,Ty
1727,13,329,Lawson
1738,13,331,Wayne
1744,13,332,Ellington
1775,13,338,picks
1781,13,339,respectively
1799,14,342,Timberwolves
1812,14,343,later
1818,14,344,traded
1825,14,345,Lawson
1839,14,348,Denver
1846,14,349,Nuggets
1860,14,352,future
1873,14,355,round
1879,14,356,pick
1886,15,359,Also
1894,15,361,NBA
1898,15,362,news
1903,15,363,Thursday
1917,15,366,Cleveland
1927,15,367,Cavaliers
1937,15,368,aquired
1945,15,369,veteran
1953,15,370,center
1960,15,371,Shaquille
1982,15,375,trade
1997,15,378,Phoenix
2005,15,379,Suns
2023,16,383,join
2036,16,386,old
2040,16,387,LeBron
2047,16,388,James
2060,16,391,Cavaliers
2078,16,394,Associated
2089,16,395,Press
2095,16,396,predicts
2120,16,400,James
2132,16,402,equal
2150,16,406,greatest
2159,16,407,duos
2167,16,409,NBA
2171,16,410,history
2181,16,413,Michael
2189,16,414,Jordan
2200,16,416,Scottie
2208,16,417,Pippen
2216,16,419,Magic
2222,16,420,Johnson
2234,16,422,Kareem
2241,16,423,Abdul
2247,16,425,Jabbar
2255,16,427,Bob
2259,16,428,Cousy
2269,16,430,Bill
2274,16,431,Russell
2283,16,433,Shaq
2300,16,436,Kobe
2305,16,437,Bryant
