char,sent_n,token_i,word
0,1,0,At
14,1,3,people
24,1,5,Peru
34,1,7,contracted
45,1,8,HIV
54,1,11,virus
65,1,13,causes
72,1,14,AIDS
83,1,16,receiving
93,1,17,blood
99,1,18,transfusions
122,1,21,infected
140,1,24,deadly
147,1,25,virus
155,2,28,As
160,2,30,result
175,2,34,Peru
186,2,37,blood
192,2,38,banks
208,2,41,closed
215,2,42,pending
231,2,44,investigation
252,2,47,emergency
271,2,50,declared
287,2,53,government
301,3,57,This
306,3,58,situation
323,3,61,continue
333,4,63,All
340,4,65,Peru
347,4,67,blood
353,4,68,banks
369,4,71,reviewed
379,5,73,We
389,5,76,want
394,5,77,people
404,5,79,panic
441,5,89,careful
450,5,91,strengthen
465,5,93,care
472,5,96,said
477,5,97,Carlos
484,5,98,Vallejos
498,5,101,Health
505,5,102,Minister
517,5,104,Peru
528,6,108,country
538,6,110,government
558,6,113,decision
572,6,115,Judith
579,6,116,Rivera
594,6,120,mother
609,6,123,children
619,6,125,went
624,6,126,public
636,6,128,claims
658,6,132,operation
677,6,136,infected
691,6,138,HIV
700,6,140,doctors
708,6,141,gave
719,6,144,transfusion
734,7,147,Soon
749,7,150,government
760,7,151,admitted
795,7,157,individuals
821,7,162,infant
828,7,163,child
842,7,166,months
849,7,167,old
867,7,172,year
872,7,174,old
876,7,175,boy
881,7,177,contracted
896,7,179,virus
910,7,181,blood
916,7,182,transfusions
937,7,185,received
946,7,186,care
965,7,190,hospitals
977,8,193,Vallejos
991,8,195,stated
1014,8,200,individuals
1026,8,201,infected
1040,8,203,receive
1057,8,205,care
1065,8,207,necessary
1078,8,209,treat
1090,8,211,conditions
