char,sent_n,token_i,word
0,1,0,British
8,1,1,Prime
14,1,2,Minister
23,1,3,Gordon
30,1,4,Brown
40,1,6,called
55,1,9,immediate
65,1,10,release
78,1,13,British
86,1,14,hostages
95,1,15,abducted
107,1,17,Baghdad
116,1,19,Iraq
133,2,23,For
147,2,26,time
164,2,30,Britons
177,2,32,abducted
189,2,34,May
203,2,38,Finance
211,2,39,Ministry
220,2,40,compound
232,2,42,gunmen
239,2,43,posing
249,2,45,police
256,2,46,officers
268,2,49,video
274,2,50,released
283,2,51,Tuesday
296,2,54,group
302,2,55,called
313,2,57,Islamic
321,2,58,Shia
326,2,59,Resistance
340,2,61,Iraq
345,2,62,showed
363,2,66,men
373,2,68,held
379,3,70,It
396,3,74,public
403,3,75,evidence
421,3,78,men
440,3,82,alive
449,4,86,My
460,4,89,Jason
470,4,91,today
491,4,96,November
502,4,99,said
518,4,103,hostages
529,5,106,In
537,5,108,video
548,5,111,captors
570,5,115,start
579,5,117,kill
588,5,119,hostages
602,5,122,include
615,5,124,security
624,5,125,guards
639,5,128,computer
648,5,129,expert
659,5,132,Britain
676,5,135,withdraw
696,5,139,remaining
706,5,140,troops
718,5,142,Iraq
723,5,143,soon
730,6,146,Over
739,6,148,months
747,6,150,little
775,6,155,disclosed
796,6,158,Britain
816,6,162,gain
825,6,164,release
842,6,167,held
848,7,169,Today
855,7,171,Brown
861,7,172,underlined
888,7,176,scenes
896,7,178,things
926,8,186,taking
936,8,188,hostages
948,8,190,completely
959,8,191,unjustified
972,8,193,wholly
979,8,194,unacceptable
1003,8,198,making
1013,8,200,clear
1033,8,204,change
1044,8,206,policy
1058,8,209,way
1064,8,212,Brown
1070,8,213,said
1077,9,216,We
1106,9,222,power
1115,9,224,secure
1126,9,226,objective
1150,9,231,immediate
1160,9,232,release
1175,9,235,hostages
1186,10,238,He
1197,10,240,stressed
1211,10,242,Britain
1231,10,246,making
1242,10,248,kind
1250,10,250,deal
1258,10,252,gain
1267,10,254,release
1289,11,260,Speaking
1301,11,262,Sky
1305,11,263,News
1311,11,265,British
1319,11,266,Foreign
1327,11,267,Secretary
1337,11,268,David
1343,11,269,Miliband
1352,11,270,spoke
1365,11,273,stress
1376,11,275,families
1400,11,279,held
1418,12,285,It
1424,12,287,important
1439,12,289,publicity
1458,12,292,confused
1472,12,294,activity
1486,12,297,especially
1502,12,300,case
1507,12,301,like
1535,12,309,important
1553,12,312,follow
1567,12,315,careful
1575,12,316,strategy
1586,12,319,said
1591,12,320,Miliband
1606,13,324,stress
1620,13,327,families
1632,13,329,going
1644,13,332,huge
1650,14,334,It
1656,14,336,bad
1679,14,341,hostage
1687,14,343,taking
1695,15,345,To
1712,15,349,video
1718,15,350,coming
1734,15,353,week
1747,15,356,going
1756,15,358,add
1765,15,361,added
1772,15,363,hugely
1786,15,366,distress
1796,16,368,But
1817,16,373,British
1825,16,374,government
1839,16,376,working
1858,16,380,actively
1882,17,387,family
1893,17,389,friends
1908,17,392,hostages
1922,17,394,appealed
1939,17,397,release
1954,17,401,emotional
1964,17,402,appeal
1977,17,404,took
1982,17,405,place
1991,17,407,Wednesday
2002,18,410,Brown
2013,18,412,praised
2021,18,413,Iraqi
2027,18,414,Prime
2033,18,415,Minister
2042,18,416,Maliki
2057,18,419,government
2078,18,422,efforts
2089,18,424,free
2098,18,426,men
