char,sent_n,token_i,word
4,1,1,US
7,1,2,Secret
14,1,3,Service
26,1,5,released
45,1,8,photos
52,1,9,Wednesday
69,1,12,new
73,1,13,presidential
86,1,14,limousine
106,1,17,transport
116,1,18,Barack
123,1,19,Obama
134,1,21,Pennsylvania
147,1,22,Avenue
159,1,24,Tuesday
187,1,30,Presidential
200,1,31,inaugural
210,1,32,parade
229,1,36,sworn
245,1,40,Capitol
258,2,43,First
264,2,44,Limo
280,2,48,Cadillac
289,2,49,Presidential
302,2,50,Limousine
319,2,53,replace
327,2,54,President
337,2,55,Bush
344,2,57,Cadillac
353,2,58,DTS
357,2,59,Presidential
370,2,60,Limousine
385,2,62,rolled
406,3,68,Nicknamed
421,3,71,Beast
433,3,75,hulking
441,3,76,machine
454,3,79,new
458,3,80,model
464,3,81,year
475,3,84,modified
484,3,85,limousine
495,4,87,According
508,4,89,General
516,4,90,Motors
528,4,93,new
538,4,96,Cadillac
547,4,97,Presidential
560,4,98,Limousine
591,4,105,carry
599,4,107,specific
608,4,108,model
624,5,112,Obama
630,5,113,Mobile
641,5,115,introduced
655,5,117,January
671,5,120,noticeably
682,5,121,different
692,5,122,styling
700,5,123,borrowed
718,5,126,Cadillac
727,5,127,Escalade
740,5,129,STS
755,5,133,suspension
774,5,136,likely
781,5,137,related
796,5,140,Chevrolet
806,5,141,Kodiak
813,5,142,medium
820,5,144,duty
825,5,145,truck
838,6,149,David
844,6,150,Caldwell
856,6,152,General
864,6,153,Motors
875,6,155,revealed
893,6,158,sleek
899,6,159,black
905,6,160,car
915,6,162,include
925,6,164,hand
930,6,166,crafted
938,6,167,interior
952,6,170,state
965,6,173,art
969,6,174,electronics
987,7,178,car
993,7,180,high
998,7,182,tech
1003,7,183,security
1012,7,184,features
1021,7,185,include
1034,7,188,inch
1039,7,190,thick
1062,7,194,thick
1069,7,196,bombproof
1079,7,197,glass
1086,7,199,tough
1095,7,203,nails
1101,7,204,tires
1114,7,208,sealed
1121,7,209,interior
1137,7,212,invulnerable
1153,7,214,chemical
1162,7,215,attack
1174,8,218,armoured
1183,8,219,limousine
1202,8,222,heavily
1210,8,223,modified
1222,8,225,withstand
1232,8,226,potential
1242,8,227,attacks
1253,8,229,weapons
1264,8,231,bombs
1275,9,234,San
1279,9,235,Francisco
1289,9,236,Chronicle
1299,9,237,puts
1312,9,241,proper
1319,9,242,perspective
1331,9,243,noting
1342,9,247,half
1347,9,249,inch
1355,9,251,transparent
1367,9,252,armor
1386,9,256,stop
1397,9,259,Magnum
1404,9,260,round
1413,9,262,point
1419,9,264,blank
1425,9,265,range
1437,9,269,thickness
1465,9,276,inches
1482,9,280,material
1495,9,282,withstand
1505,9,283,higher
1512,9,285,velocity
1521,9,286,bullets
1529,9,287,fired
1540,9,289,military
1549,9,290,assault
1557,9,291,rifles
1567,11,295,According
1580,11,297,spy
1584,11,298,photographer
1598,11,300,Brenda
1605,11,301,Priddy
1617,11,304,General
1625,11,305,Motors
1637,11,308,limousine
1662,11,313,intricate
1673,11,315,dual
1678,11,317,textured
1687,11,318,grille
1703,11,322,equipped
1717,11,324,standard
1726,11,325,Goodyear
1735,11,326,Regional
1744,11,327,RHS
1748,11,328,truck
1754,11,329,tires
1777,11,333,size
1796,11,337,wheels
1808,12,340,rims
1820,12,343,run
1824,12,345,flat
1829,12,346,device
1837,12,348,manufactured
1853,12,350,Hutchinson
1864,12,351,Industries
1877,13,354,Xenon
1883,13,355,headlights
1903,13,358,Escalade
1916,13,360,installed
1950,13,367,rear
1964,13,370,STS
1978,14,374,doors
2000,14,379,centimeters
2015,14,382,inches
2023,14,384,thick
2030,15,386,It
2033,15,387,carries
2045,15,389,US
2048,15,390,flag
2066,15,394,fenders
2081,15,397,embroidered
2093,15,398,Seal
2105,15,401,President
2122,15,404,United
2129,15,405,States
2139,15,407,affixed
2158,15,410,panels
2180,16,416,According
2197,16,419,US
2200,16,420,Secret
2207,16,421,Service
2220,16,424,vehicle
2240,16,429,valuable
2249,16,430,asset
2259,16,433,providing
2273,16,435,President
2292,16,438,highest
2300,16,439,level
2309,16,441,protection
2322,17,444,Although
2343,17,448,vehicle
2353,17,450,security
2362,17,451,enhancements
2385,17,455,discussed
2402,17,459,safe
2424,17,464,car
2430,17,466,security
2443,17,468,coded
2449,17,469,communications
2464,17,470,systems
2489,17,475,technologically
2505,17,476,advanced
2514,17,477,protection
2525,17,478,vehicle
2540,17,481,world
2548,17,484,Nicholas
2557,17,485,Trotta
2565,17,487,Assistant
2575,17,488,Director
2592,17,491,Office
2602,17,493,Protective
2613,17,494,Operations
2624,17,495,said
2634,17,498,statement
2649,18,501,new
2653,18,502,limousine
2670,18,505,responsibility
2688,18,507,White
2694,18,508,House
2700,18,509,Transportation
2715,18,510,Agency
2729,19,514,Presidential
2742,19,515,State
2748,19,516,Car
2759,19,519,official
2768,19,520,state
2774,19,521,car
2790,19,525,President
2807,19,528,United
2814,19,529,States
2822,20,531,It
2828,20,533,informally
2839,20,534,known
2849,20,537,Cadillac
2858,20,538,One
2868,21,542,current
2876,21,543,Presidential
2889,21,544,State
2895,21,545,Car
2909,21,549,hand
2914,21,551,crafted
2923,21,553,armored
2936,21,556,stretched
2946,21,557,DTS
2951,21,559,DeVille
2959,21,560,Touring
2967,21,561,Sedan
2974,21,563,built
2985,21,566,GM
2993,21,569,wheel
2999,21,570,drive
3005,21,571,platform
3015,22,573,It
3040,22,579,second
3047,22,580,inauguration
3060,22,581,parade
3070,22,583,George
3080,22,585,Bush
3094,23,589,But
3102,23,591,version
3124,23,596,President
3134,23,597,Obama
3140,23,598,uses
3147,23,600,GMC
3151,23,601,Topkick
3159,23,602,chassis
3174,23,605,maintaining
3190,23,607,Cadillac
3199,23,608,exterior
3214,24,612,President
3231,24,615,United
3238,24,616,States
3245,24,617,travels
3267,24,622,armoured
3276,24,623,Cadillac
3285,24,624,limousines
3296,24,625,based
3311,24,628,normal
3318,24,629,sedan
3329,24,632,Cadillac
3338,24,633,DTS
3348,24,636,heavy
3354,24,637,customisation
3369,25,639,Lincoln
3377,25,640,cars
3409,25,647,past
3420,25,650,notably
3431,25,652,President
3441,25,653,John
3446,25,654,F
3448,25,655,Kennedy
3461,26,658,current
3469,26,659,limousines
3485,26,661,custom
3492,26,663,built
3509,26,667,Hess
3518,26,669,Eisenhart
3529,26,671,founded
3540,26,673,Fairfield
3551,26,675,Ohio
3565,27,679,It
3568,27,680,specializes
3583,27,682,armouring
3593,27,683,limousines
3608,27,685,presidents
3623,27,687,heads
3632,27,689,state
3640,28,692,President
3650,28,693,William
3658,28,694,McKinley
3681,28,698,US
3684,28,699,president
3697,28,701,ride
3708,28,704,automobile
3720,29,706,However
3736,29,710,President
3746,29,711,Theodore
3755,29,712,Roosevelt
3769,29,714,rode
3787,29,718,government
3798,29,720,owned
3804,29,721,car
3811,29,724,white
3817,29,725,Stanley
3825,29,726,Steamer
3834,30,728,Roosevelt
3846,30,730,successor
3857,30,732,William
3865,30,733,Howard
3872,30,734,Taft
3892,30,739,president
3905,30,741,use
3911,30,743,presidential
3924,30,744,state
3930,30,745,car
3943,30,748,permanently
3955,30,749,stored
3969,30,752,White
3975,30,753,House
3981,30,754,garage
3990,31,757,Meanwhile
4001,31,759,Obama
4014,31,762,Chrysler
4028,31,764,Hemi
4037,31,766,auctioned
4050,31,768,eBay
4062,31,771,starting
4071,31,772,bid
4093,31,778,buy
4104,31,783,price
4125,32,788,It
4149,32,793,miles
4171,32,799,like
4176,32,801,new
4180,32,802,condition
4191,33,804,He
4194,33,805,leased
4205,33,807,car
4221,33,811,traded
4237,33,815,Ford
4242,33,816,Escape
4249,33,817,Hybrid
4269,34,822,car
4277,34,824,sold
4285,34,826,Tim
