char,sent_n,token_i,word
0,1,0,In
16,1,5,vote
28,1,8,House
37,1,10,Commons
45,1,11,held
50,1,12,Tuesday
58,1,13,night
65,1,15,Canadian
74,1,16,MPs
83,1,18,approved
96,1,20,legalization
117,1,24,sex
121,1,25,weddings
133,1,27,Canada
141,2,29,Assuming
154,2,31,Senate
161,2,32,passes
168,2,33,Bill
186,2,37,Governor
195,2,38,General
203,2,39,gives
209,2,40,royal
215,2,41,assent
223,2,43,Canada
246,2,47,fourth
253,2,48,country
268,2,51,world
277,2,53,legalize
291,2,56,sex
295,2,57,weddings
314,2,60,Netherlands
327,2,62,Belgium
340,2,65,Spain
351,3,68,bill
356,3,69,presented
373,3,72,House
382,3,74,Commons
397,3,77,Liberal
405,3,78,government
419,3,80,Prime
425,3,81,Minister
434,3,82,Paul
439,3,83,Martin
450,3,85,passed
457,3,86,mainly
475,3,89,support
490,3,92,left
495,3,94,wing
500,3,95,New
504,3,96,Democratic
515,3,97,Party
524,3,99,Jack
529,3,100,Layton
544,3,103,support
559,3,106,separatist
570,3,107,Bloc
575,3,108,Québécois
592,3,111,enabled
606,3,114,overcome
619,3,116,staunch
627,3,117,opposition
645,3,120,Conservative
658,3,121,Party
668,4,124,While
679,4,126,vote
687,4,128,historic
697,4,130,gay
701,4,131,weddings
727,4,135,legalized
744,4,138,Supreme
752,4,139,Courts
767,4,142,Canadian
776,4,143,provinces
796,5,147,bill
805,5,149,extends
819,5,151,rulings
834,5,154,rest
842,5,156,Canada
864,5,161,provinces
877,5,163,Alberta
886,5,165,Prince
893,5,166,Edward
900,5,167,Island
916,5,171,territory
929,5,173,Nunavut
945,5,176,Northwest
955,5,177,Territories
973,6,181,adoption
990,6,184,bill
995,6,185,ends
1002,6,187,longstanding
1015,6,188,political
1029,6,190,judicial
1038,6,191,debate
1048,6,193,Canada
1065,6,197,House
1074,6,199,Commons
1082,6,200,referring
1096,6,202,issue
1109,6,205,Supreme
1117,6,206,Court
1126,6,208,Canada
1138,6,210,year
1160,6,216,handed
1187,6,222,judges
1195,7,224,If
1202,7,226,debate
1223,7,230,closed
1235,7,233,political
1245,7,234,sense
1252,7,236,gay
1256,7,237,rights
1263,7,238,continue
1275,7,240,create
1282,7,241,tensions
1299,7,243,Canadians
1316,7,246,support
1328,7,248,gay
1332,7,249,weddings
1341,7,250,comes
1347,7,251,mainly
1359,7,253,Quebec
1370,7,255,Ontario
1382,7,257,parts
1391,7,259,British
1399,7,260,Columbia
1418,7,263,Maritimes
1432,7,265,Prairie
1440,7,266,provinces
1476,8,273,Those
1482,8,274,tensions
1506,8,278,felt
1518,8,281,House
1527,8,283,Commons
1548,8,287,Conservative
1561,8,288,Party
1567,8,289,leader
1574,8,290,Stephen
1582,8,291,Harper
1589,8,292,said
1597,8,294,Monday
1605,8,296,anticipating
1632,8,300,bill
1646,8,303,adopted
1664,8,307,vote
1676,8,310,lack
1684,8,312,legitimacy
1706,8,316,bill
1717,8,318,pass
1736,8,322,unnatural
1746,8,323,alliance
1767,8,326,federalist
1778,8,327,Liberals
1795,8,330,separatist
1806,8,331,Bloc
1811,8,332,Québécois
1822,9,334,This
1827,9,335,partisan
1836,9,336,view
1844,9,338,gay
1848,9,339,rights
1864,9,342,strongly
1873,9,343,condemned
1884,9,345,especially
1898,9,347,Bloc
1903,9,348,Québécois
1913,9,349,leader
1920,9,350,Gilles
1927,9,351,Duceppe
1939,9,353,said
1949,9,355,MPs
1962,9,358,party
1973,9,360,democratically
1988,9,361,elected
2003,9,364,legitimate
2024,9,368,parliament
2036,10,370,Others
2043,10,371,called
2050,10,372,Harper
2059,10,374,hypocrite
2070,10,376,pouncing
2086,10,379,fact
2105,10,383,raised
2121,10,386,objections
2132,10,387,allying
2149,10,390,Bloc
2161,10,393,previous
2170,10,394,month
2178,10,396,confidence
2189,10,397,votes
2196,11,399,Prior
2209,11,402,vote
2215,11,404,Joe
2219,11,405,Comuzzi
2227,11,406,announced
2241,11,408,resignation
2262,11,411,Liberal
2270,11,412,cabinet
2293,11,416,opposition
2307,11,418,gay
2311,11,419,weddings
2328,11,422,fact
2338,11,424,Liberal
2346,11,425,cabinet
2354,11,426,members
2367,11,428,required
2379,11,430,vote
2388,11,432,party
2394,11,433,line
2407,11,436,case
