char,sent_n,token_i,word
0,1,0,Thailand
11,1,2,National
20,1,3,Film
25,1,4,Archive
36,1,6,Salaya
44,1,8,Nakhon
51,1,9,Pathom
58,1,10,unveiled
69,1,12,new
73,1,13,museum
84,1,15,cinema
94,1,17,Thursday
103,1,18,night
123,1,22,anniversary
135,1,23,celebration
154,1,26,birth
163,1,28,Rattana
171,1,29,Pestjoni
183,1,32,filmmaker
200,1,35,considered
216,1,38,father
226,1,40,contemporary
239,1,41,Thai
244,1,42,cinema
255,2,46,With
260,2,47,Pestonji
271,2,49,family
279,2,51,movie
285,2,52,stars
292,2,54,filmmakers
304,2,56,government
315,2,57,officials
329,2,59,fans
337,2,61,hand
347,2,64,National
356,2,65,Film
361,2,66,Archive
371,2,68,museum
382,2,70,opened
393,2,72,tours
408,2,76,facility
428,2,79,cinema
435,2,80,hosted
446,2,82,screening
461,2,85,documentary
473,2,86,film
479,2,88,Signature
494,3,91,Life
503,3,93,Work
516,3,96,Pestonji
527,4,99,Pestonji
540,4,101,born
548,4,103,Bangkok
559,4,105,May
578,4,112,Parsi
584,4,114,Indian
592,4,116,ethnic
599,4,117,Persian
608,4,119,family
616,5,121,For
630,5,124,short
636,5,125,film
642,5,127,Tang
660,5,133,received
672,5,135,award
683,5,137,Alfred
690,5,138,Hitchcock
705,5,141,film
710,5,142,festival
722,5,144,Scotland
732,6,146,Pestonji
741,6,147,directed
760,6,150,feature
768,6,151,film
774,6,153,Dear
779,6,154,Dolly
795,7,159,He
802,7,161,known
816,7,164,skills
828,7,167,cinematographer
852,7,171,shot
867,7,174,Thai
872,7,175,feature
880,7,176,film
891,7,179,submitted
907,7,182,overseas
916,7,183,film
921,7,184,festival
931,8,186,Pestonji
945,8,188,pushed
956,8,190,innovations
975,8,193,Thai
980,8,194,film
985,8,195,industry
1011,8,201,mm
1014,8,202,film
1024,8,205,raising
1036,8,207,level
1045,8,209,cinematography
1066,8,212,artistic
1075,8,213,element
1090,8,216,films
1097,8,218,said
1102,8,219,film
1107,8,220,historian
1117,8,221,Dome
1122,8,222,Sukwong
1131,8,224,director
1147,8,227,National
1156,8,228,Film
1161,8,229,Archive
1179,9,235,lost
1184,9,236,Santi
1190,9,238,Weena
1200,9,240,submitted
1217,9,243,Asia
1222,9,245,Pacific
1230,9,246,Film
1235,9,247,Festival
1255,9,251,Tokyo
1262,10,253,Pestonji
1271,10,254,served
1281,10,256,cinematographer
1314,10,262,Forever
1322,10,263,Yours
1338,11,268,He
1346,11,270,directed
1360,11,272,features
1370,11,274,Country
1378,11,275,Hotel
1393,11,279,Dark
1398,11,280,Heaven
1414,11,284,Black
1420,11,285,Silk
1438,11,290,Sugar
1444,11,291,Is
1447,11,292,Not
1451,11,293,Sweet
1466,12,297,His
1470,12,298,films
1487,12,301,box
1491,12,303,office
1498,12,304,successes
1515,12,307,led
1522,12,309,Pestonji
1531,12,310,retiring
1545,12,312,feature
1553,12,314,film
1558,12,315,work
1571,12,318,television
1582,12,319,commercials
1595,12,321,Sukwong
1603,12,322,said
1610,13,325,Pestonji
1619,13,326,died
1629,13,329,heart
1635,13,330,attack
1645,13,332,August
1668,13,338,Montien
1676,13,339,Hotel
1682,13,340,Bangkok
1697,13,343,giving
1706,13,345,speech
1716,13,347,government
1727,13,348,officials
1741,13,350,film
1746,13,351,industry
1755,13,352,executives
1776,13,355,prevalence
1790,13,357,Hollywood
1800,13,358,films
1809,13,360,Thailand
1820,13,362,cinemas
