char,sent_n,token_i,word
0,1,0,Chelsea
8,1,1,Clinton
26,1,5,daughter
45,1,8,US
48,1,9,president
58,1,10,William
66,1,11,Jefferson
77,1,13,Bill
83,1,15,Clinton
95,1,17,current
103,1,18,US
106,1,19,Secretary
119,1,21,State
125,1,22,Hillary
133,1,23,Rodham
140,1,24,Clinton
151,2,27,d
153,2,28,long
158,2,30,time
163,2,31,boyfriend
177,2,33,investment
188,2,34,banker
195,2,35,Marc
200,2,36,Mezvinsky
213,2,38,Saturday
222,2,39,evening
235,3,42,ceremony
244,3,43,occurred
256,3,45,Rhinebeck
267,3,47,New
271,3,48,York
276,3,49,amidst
285,3,51,flurry
295,3,53,secrecy
307,3,55,speculation
319,3,56,surrounding
335,3,58,event
343,4,61,Not
356,4,64,known
372,4,67,wedding
391,4,71,involved
407,4,74,event
441,4,81,media
448,5,83,An
451,5,84,estimated
465,5,86,guests
484,5,90,ceremony
500,5,93,took
505,5,94,place
514,5,96,Astor
520,5,97,Courts
530,5,100,large
536,5,101,Beaux
542,5,102,Arts
547,5,103,estate
554,5,104,built
564,5,106,John
569,5,107,Jacob
575,5,108,Astor
581,5,109,IV
593,5,112,years
599,5,113,ago
608,6,116,secluded
617,6,117,mansion
628,6,119,situated
643,6,122,acres
655,6,125,hectares
668,6,128,land
680,6,131,small
686,6,132,town
694,6,134,Rhinebeck
705,7,136,A
710,7,139,fly
714,7,140,zone
723,7,142,established
744,7,145,estate
757,8,149,guest
763,8,150,list
776,8,153,subject
792,8,156,speculation
809,8,159,notable
817,8,160,figures
825,8,161,Oprah
831,8,162,Winfrey
840,8,164,Steven
847,8,165,Spielberg
862,8,168,John
867,8,169,Major
873,8,170,reportedly
892,8,173,attend
903,8,175,festivities
916,9,177,Madeleine
926,9,178,Albright
936,9,180,Steve
942,9,181,Bing
948,9,183,Warren
955,9,184,Buffet
967,9,187,Kobe
972,9,188,Bryant
984,9,190,rumored
1005,9,194,seen
1017,9,197,wedding
1031,10,201,marriage
1040,10,202,ceremony
1053,10,204,led
1060,10,206,Rabbi
1066,10,207,James
1072,10,208,Ponet
1086,10,211,Reverend
1095,10,212,William
1103,10,213,Shillady
1113,11,215,Mezvinsky
1131,11,219,Jewish
1139,11,221,wore
1146,11,223,tallit
1154,11,225,prayer
1161,11,226,shawl
1174,11,230,yarmulke
1184,12,232,Clinton
1197,12,235,Methodist
1208,13,237,A
1210,13,238,Clinton
1218,13,239,family
1225,13,240,friend
1232,13,241,read
1241,13,243,poem
1251,13,246,Life
1256,13,247,That
1261,13,248,I
1263,13,249,Have
1273,13,253,Leo
1277,13,254,Marks
1284,14,256,Chelsea
1292,14,257,Clinton
1300,14,258,wore
1307,14,260,strapless
1317,14,261,dress
1323,14,262,designed
1335,14,264,Vera
1340,14,265,Wang
1346,15,267,She
1359,15,270,spotted
1370,15,272,Women
1378,15,274,Wear
1383,15,275,Daily
1392,15,277,Wang
1399,15,279,New
1403,15,280,York
1408,15,281,showroom
1417,15,282,earlier
1430,15,284,week
1440,15,287,Wang
1449,15,289,reportedly
1460,15,290,seen
1468,15,292,Rhinebeck
1492,16,298,town
1500,16,300,Rhinebeck
1518,16,303,subject
1534,16,306,public
1541,16,307,interest
1553,16,309,Saturday
1563,17,311,Photographers
1578,17,313,journalists
1595,17,316,ordinary
1604,17,317,citizens
1613,17,318,lined
1623,17,320,streets
1640,17,324,peek
1652,17,327,celebrities
1664,17,328,attending
1678,17,330,wedding
1687,18,332,Many
1692,18,333,stores
1703,18,335,signs
1709,18,336,saying
1726,18,338,similar
1738,18,341,Congratulations
1754,18,342,Marc
1760,18,344,amp
1765,18,346,Chelsea
1775,19,349,Residents
1785,19,350,temporarily
1797,19,351,displaced
1814,19,354,wedding
1832,19,357,given
1838,19,358,bottles
1849,19,360,wine
1862,19,363,inconvenience
1886,20,368,old
1890,20,369,Chelsea
1898,20,370,Clinton
1918,20,374,old
1922,20,375,Marc
1927,20,376,Mezvinsky
1943,20,378,met
1950,20,380,Washington
1973,20,384,teenagers
1993,20,388,later
1999,20,389,attended
2008,20,390,Stanford
2017,20,391,University
2029,21,393,Now
2033,21,394,living
2043,21,396,New
2047,21,397,York
2053,21,399,Mezvinsky
2063,21,400,works
2075,21,403,Capital
2089,21,406,investment
2100,21,407,banker
2114,21,410,Clinton
2122,21,411,recently
2131,21,412,earned
2142,21,414,master
2151,21,416,degree
2161,21,418,public
2168,21,419,health
2178,21,421,Columbia
2187,21,422,University
2199,22,424,Mezvinsky
2216,22,427,son
2231,22,432,divorced
2240,22,433,Marjorie
2249,22,434,Margolies
2259,22,436,Mezvinsky
2273,22,438,Ed
2276,22,439,Mezvinsky
2287,22,441,friends
2302,22,444,Clinton
2310,22,445,family
2319,23,448,Although
2328,23,449,thought
2339,23,451,cost
2352,23,453,million
2360,23,454,dollars
2371,23,457,Clinton
2379,23,458,family
2386,23,459,friend
2393,23,460,claimed
2410,23,463,event
2422,23,465,carry
2430,23,467,price
2436,23,468,tag
2458,23,474,million
