char,sent_n,token_i,word
0,1,0,A
2,1,1,draft
13,1,3,Security
22,1,4,Council
30,1,5,statement
40,1,6,backed
54,1,9,United
61,1,10,States
69,1,12,Britain
82,1,15,France
89,1,16,calling
103,1,19,report
117,1,22,weeks
126,1,24,Iran
133,1,26,compliance
149,1,28,demands
165,1,31,suspend
173,1,32,uranium
181,1,33,enrichment
196,1,35,objected
211,1,38,China
221,1,40,Russia
231,1,42,Tuesday
240,2,44,Russia
251,2,46,China
257,2,47,prefer
270,2,51,week
275,2,52,deadline
288,2,54,want
297,2,56,report
317,2,61,International
331,2,62,Atomic
338,2,63,Energy
345,2,64,Agency
372,2,70,Security
381,2,71,Council
392,3,74,While
402,3,76,Security
411,3,77,Council
419,3,78,members
427,3,79,agree
438,3,81,Iran
457,3,85,making
464,3,86,nuclear
472,3,87,weapons
486,3,90,disagree
502,3,93,course
512,3,95,action
528,4,99,Iran
533,4,100,says
547,4,103,nuclear
555,4,104,program
570,4,107,producing
580,4,108,energy
596,4,112,IAEA
605,4,114,expressed
618,4,117,lack
626,4,119,confidence
643,4,122,Iran
650,4,124,intentions
662,5,126,Some
667,5,127,nations
682,5,130,west
688,5,132,including
708,5,136,claim
719,5,138,Iran
726,5,140,goal
734,5,142,nuclear
742,5,143,energy
749,5,144,production
765,5,147,cover
775,5,149,nuclear
783,5,150,bomb
788,5,151,development
806,6,155,draft
812,6,156,Security
821,6,157,Council
829,6,158,proposals
839,6,159,cite
849,6,162,conviction
865,6,164,continued
875,6,165,Iranian
883,6,166,enrichment
894,6,168,related
902,6,169,activity
917,6,171,intensify
927,6,172,international
941,6,173,concern
951,7,176,They
956,7,177,reiterate
971,7,179,proliferation
988,7,181,weapons
999,7,183,mass
1004,7,184,destruction
1017,7,186,constitutes
1031,7,188,threat
1041,7,190,international
1055,7,191,peace
1065,7,193,security
1076,8,196,Ayatollah
1086,8,197,Ali
1090,8,198,Khamenei
1100,8,200,Iran
1107,8,202,supreme
1115,8,203,leader
1123,8,205,said
1132,8,207,nuclear
1140,8,208,program
1152,8,211,irreversible
1175,8,216,retreat
1189,8,218,endanger
1202,8,220,Islamic
1210,8,221,republic
1221,8,223,independence
1235,9,225,Russia
1246,9,227,China
1266,9,232,hand
1283,9,237,skeptical
1296,9,239,Iran
1302,10,241,They
1307,10,242,state
1318,10,244,tough
1324,10,245,council
1332,10,246,action
1345,10,248,cause
1351,10,249,Iran
1359,10,251,withdraw
1377,10,254,Nuclear
1385,10,255,Non
1389,10,257,Proliferation
1403,10,258,Treaty
1417,10,261,ban
1421,10,262,inspectors
1432,10,263,sent
1446,10,266,International
1460,10,267,Atomic
1467,10,268,Energy
1474,10,269,Agency
1484,11,272,Following
1499,11,274,month
1507,11,276,IAEA
1512,11,277,board
1518,11,278,report
1532,11,281,Security
1541,11,282,Council
1550,11,284,expressing
1561,11,285,lack
1569,11,287,confidence
1581,11,289,Iran
1586,11,290,ended
1596,11,292,voluntary
1606,11,293,cooperation
1627,11,296,IAEA
1642,11,299,Additional
1653,11,300,Protocol
1666,11,302,said
1680,11,305,start
1686,11,306,uranium
1694,11,307,enrichment
1709,11,309,bar
1713,11,310,surprise
1722,11,311,inspections
1741,11,314,facilities
