char,sent_n,token_i,word
4,1,1,Chinese
12,1,2,Embassy
24,1,4,confirmed
36,1,6,report
50,1,9,Al
53,1,11,Arabiya
61,1,12,television
72,1,13,station
95,1,17,hostages
104,1,18,held
109,1,19,hostages
121,1,21,Iraq
131,1,23,days
136,1,24,ago
149,1,27,released
158,1,28,unharmed
169,2,31,Al
172,2,33,Numan
178,2,34,Battalion
193,2,37,militant
202,2,38,group
208,2,39,holding
220,2,41,men
228,2,43,threatened
242,2,45,kill
255,2,48,China
261,2,49,failed
271,2,51,clarify
283,2,53,position
295,2,55,Iraq
301,3,57,It
304,3,58,reportedly
315,3,59,said
325,3,62,videotape
344,3,65,hostages
364,3,68,freed
376,3,70,China
382,3,71,said
394,3,74,advised
406,3,76,citizens
422,3,79,travel
432,3,81,Iraq
444,4,86,Islamic
452,4,87,Resistance
463,4,88,Movement
473,4,90,al
476,4,92,Numan
482,4,93,Battalion
497,4,96,decided
508,4,98,release
526,4,101,citizens
540,4,104,goodwill
549,4,105,gesture
565,4,108,friendship
592,4,112,countries
605,4,114,Iraq
614,4,116,China
626,4,120,militant
635,4,121,said
647,4,124,tape
654,5,127,They
668,5,130,harmed
686,5,133,period
703,5,136,held
730,5,142,exchanged
758,5,147,money
770,5,151,rebel
776,5,152,added
