char,sent_n,token_i,word
0,1,0,A
2,1,1,cholera
10,1,2,epidemic
22,1,4,Angola
33,1,6,killed
51,1,9,people
65,1,12,past
76,1,14,months
88,2,17,UN
91,2,18,World
97,2,19,Health
104,2,20,Organization
118,2,22,WHO
123,2,24,says
141,2,27,people
153,2,29,fallen
160,2,30,ill
165,2,32,half
174,2,34,victims
189,2,37,capital
200,2,39,Luanda
224,2,44,cases
235,2,46,detected
247,2,48,February
263,3,52,UN
274,3,55,epidemic
295,3,59,s
297,3,60,worst
303,3,61,cholera
311,3,62,outbreak
334,3,66,decades
342,3,67,continues
355,3,69,rage
372,3,73,new
376,3,74,cases
389,3,77,deaths
396,3,78,reported
420,3,83,hours
427,4,85,A
442,4,89,victims
454,4,91,children
477,5,97,medical
485,5,98,charity
493,5,99,Mangola
502,5,101,Medecines
512,5,102,Sans
517,5,103,Frontieres
536,5,106,World
542,5,107,Health
549,5,108,Organisation
576,5,113,worst
582,5,114,outbreak
591,5,115,recorded
607,5,118,country
616,6,120,Spokesman
630,6,122,Medecines
640,6,123,Sans
645,6,124,Frontiere
655,6,125,Richard
663,6,126,Veerman
671,6,127,said
678,6,130,Angola
688,6,132,heading
704,6,135,worst
715,6,137,outbreak
732,6,140,situation
742,6,141,remains
755,6,143,bad
762,6,145,Angola
774,6,149,said
783,7,153,It
793,7,156,worrying
807,7,159,official
816,7,160,number
826,7,162,deaths
833,7,163,countrywide
878,7,172,likely
891,7,175,reported
901,8,177,Many
906,8,178,people
924,8,182,home
933,8,184,die
940,8,186,home
957,8,190,possibility
972,8,192,come
991,8,197,treatment
1001,8,198,centres
1012,10,202,Cholera
1024,10,205,acute
1030,10,206,intestinal
1041,10,207,disease
1049,10,208,caused
1059,10,210,ingestion
1072,10,212,food
1080,10,214,water
1086,10,215,contaminated
1108,10,218,bacterium
1118,10,219,Vibrio
1125,10,220,cholerae
1135,10,222,causes
1142,10,223,copious
1151,10,225,painless
1161,10,227,watery
1168,10,228,diarrhoea
1187,10,231,quickly
1195,10,232,lead
1203,10,234,severe
1210,10,235,dehydration
1226,10,237,death
1235,10,239,treatment
1246,10,241,including
1256,10,242,rehydration
1276,10,246,given
1282,10,247,promptly
