char,sent_n,token_i,word
4,1,1,Colorado
13,1,2,College
21,1,3,Tigers
28,1,4,beat
37,1,6,Spartans
49,1,8,Michigan
58,1,9,State
64,1,10,University
78,1,12,men
84,1,14,ice
88,1,15,hockey
98,1,17,Friday
114,1,21,title
123,1,23,champions
145,1,27,annual
152,1,28,Great
158,1,29,Lakes
164,1,30,Invitational
177,1,31,ice
181,1,32,hockey
188,1,33,tournament
202,1,35,Joe
206,1,36,Louis
212,1,37,Arena
221,1,39,Detroit
235,2,43,Tigers
247,2,46,team
252,2,47,chosen
265,2,50,invited
282,2,53,tournament
297,2,55,appearing
321,2,59,time
344,2,64,tournament
356,2,66,led
371,2,72,lead
387,2,75,second
394,2,76,period
414,2,80,Michigan
423,2,81,State
429,2,82,switched
438,2,83,goalies
451,3,86,Spartans
464,3,88,freshmen
473,3,89,Jeff
478,3,90,Lerg
488,3,92,net
493,3,94,replacing
503,3,95,Dominic
511,3,96,Vicari
527,3,100,earlier
535,3,101,given
543,3,103,penalty
559,3,106,contact
574,3,109,member
584,3,111,Colorado
595,3,113,team
616,3,118,net
621,4,120,Michigan
630,4,121,State
636,4,122,junior
643,4,123,Tyler
649,4,124,Howells
657,4,125,scored
668,4,127,goals
685,4,130,second
692,4,131,period
704,4,134,Colorado
713,4,135,student
721,4,136,Brett
727,4,137,Sterling
745,4,140,Tiger
753,4,142,final
759,4,143,goal
772,4,146,night
780,5,149,Colorado
789,5,150,College
797,5,151,took
808,5,153,place
821,5,156,invitational
839,5,159,Michigan
848,5,160,State
854,5,161,ended
863,5,163,second
870,5,164,place
889,5,168,previous
898,5,169,win
907,5,171,Michigan
916,5,172,Tech
926,5,175,score
944,6,182,Tigers
951,6,183,previously
962,6,184,beat
971,6,186,University
985,6,188,Michigan
997,6,190,Thursday
1012,6,194,score
1027,7,201,Meanwhile
1042,7,204,University
1056,7,206,Michigan
1065,7,207,beat
1070,7,208,GLI
1074,7,209,co
1077,7,211,sponsor
1085,7,212,Michigan
1094,7,213,Tech
1099,7,214,University
1117,7,217,score
1142,7,225,place
1148,7,226,finish
1162,7,229,invitational
1175,7,230,earlier
1190,7,233,day
1196,8,236,With
1203,8,238,minutes
1211,8,239,remaining
1234,8,243,period
1246,8,246,University
1260,8,248,Michigan
1269,8,249,went
1286,8,253,Michigan
1295,8,254,Tech
1301,8,256,breaking
1318,8,261,tie
1323,9,263,Michigan
1332,9,264,Tech
1337,9,265,pulled
1350,9,267,goalie
1366,9,270,minute
1373,9,271,remaining
1386,9,273,gain
1393,9,275,man
1397,9,276,advantage
1416,9,280,strategy
1425,9,281,failed
1436,9,283,allowed
1448,9,285,University
1462,9,287,Michigan
1486,9,291,goal
1491,9,292,resulting
1508,9,295,final
1518,9,299,score
1530,10,303,game
1535,10,304,secured
1553,10,307,place
1559,10,308,position
1575,10,311,invitational
1592,10,313,University
1606,10,315,Michigan
1620,10,318,fourth
1627,10,319,place
1637,10,321,Michigan
1646,10,322,Tech
1657,11,326,final
1663,11,327,standings
1680,11,330,tournament
1698,11,335,Colorado
1707,11,336,College
1717,12,339,Michigan
1726,12,340,State
1732,12,341,University
1745,13,344,University
1759,13,346,Michigan
1770,14,349,Michigan
1779,14,350,Tech
