char,sent_n,token_i,word
0,1,0,A
2,1,1,survey
10,1,3,conducted
27,1,6,Patients
37,1,8,Association
53,1,11,independent
65,1,12,charity
73,1,13,devoted
84,1,15,defending
98,1,17,interests
111,1,19,patients
125,1,22,revealed
135,1,24,unease
146,1,26,concern
160,1,28,health
167,1,29,professionals
187,1,32,infection
197,1,33,control
205,1,34,practices
222,1,37,United
229,1,38,Kingdom
239,1,40,National
248,1,41,Health
255,1,42,Service
268,1,45,endangering
280,1,46,patients
290,1,48,lives
302,2,52,survey
309,2,53,published
319,2,54,today
326,2,56,revealed
340,2,58,NHS
344,2,59,infection
354,2,60,control
362,2,61,staff
368,2,62,felt
378,2,64,infection
388,2,65,control
400,2,67,inadequately
413,2,68,financed
428,2,71,training
441,2,73,inadequate
466,2,77,time
481,2,81,spent
487,2,82,reassuring
498,2,83,patients
514,3,87,Association
529,3,89,concerned
548,3,92,financial
558,3,93,deficits
575,3,96,NHS
579,3,97,trusts
590,3,99,prejudice
600,3,100,good
605,3,101,infection
615,3,102,control
623,3,103,practice
644,3,106,resources
654,3,107,allocated
681,3,112,effectively
693,3,113,ring
698,3,115,fenced
706,4,117,There
716,4,119,evidence
728,4,121,inadequate
739,4,122,training
752,4,124,execution
765,4,126,good
770,4,127,practice
784,5,130,report
796,5,132,listed
803,5,133,shortcomings
819,5,135,way
823,5,136,supplies
837,5,138,acquired
850,5,140,delays
860,5,142,getting
868,5,143,supplies
884,5,146,preferred
894,5,147,disinfectant
911,5,151,Chlorhexidine
925,5,153,based
931,5,154,solution
942,6,157,BBC
946,6,158,reported
962,6,161,recent
969,6,162,paper
980,6,165,Society
992,6,167,General
1000,6,168,Microbiology
1013,6,169,conference
1029,6,172,University
1043,6,174,Leeds
1049,6,175,team
1058,6,177,shown
1073,6,180,chemical
1082,6,181,cleaners
1091,6,182,commonly
1108,6,185,hospitals
1119,6,187,far
1128,6,189,reducing
1141,6,191,prevalence
1155,6,193,Clostridium
1167,6,194,difficile
1181,6,197,difficile
1192,6,199,bacterium
1203,6,201,actually
1212,6,202,increased
1226,6,204,ability
1237,6,206,survive
1246,7,208,Only
1251,7,209,cleaners
1260,7,210,containing
1271,7,211,bleach
1287,7,214,proved
1294,7,215,effective
1307,7,217,disposing
1325,7,220,bacterium
1336,8,222,Authors
1351,8,225,paper
1357,8,226,refused
1368,8,228,disclose
1392,8,232,cleaners
1409,9,236,There
1418,9,238,particular
1429,9,239,concern
1444,9,242,Patients
1454,9,244,Association
1476,9,247,absence
1487,9,249,adequate
1496,9,250,data
1508,9,253,spread
1521,9,256,difficile
1536,10,259,Telegraph
1546,10,260,quotes
1553,10,261,Katharine
1563,10,262,Murphy
1578,10,266,Patients
1588,10,268,Association
1604,10,271,saying
1613,10,274,Collection
1627,10,276,data
1648,10,280,dangerous
1658,10,281,infection
1671,10,283,haphazard
1714,10,293,getting
1726,10,295,true
1731,10,296,picture
1740,11,298,How
1748,11,300,patients
1762,11,302,confidence
1782,11,305,hospitals
1799,11,308,real
1804,11,309,threat
1811,11,310,posed
1823,11,313,difficile
1842,11,316,played
1862,12,322,Report
1869,12,323,found
1887,12,327,fifth
1896,12,329,respondents
1908,12,330,confirmed
1922,12,332,collection
1936,12,334,surgical
1945,12,336,site
1950,12,337,infection
1960,12,338,data
1983,12,344,reported
1992,12,345,infection
2002,12,346,data
2016,12,349,difficile
2027,12,351,despite
2039,12,353,requirement
2056,12,355,Trusts
2063,12,356,collect
2075,12,358,report
2088,12,360,data
2096,13,363,Trusts
2112,13,366,required
2124,13,368,report
2135,13,370,incidence
2148,13,372,surgical
2157,13,374,site
2162,13,375,infection
2181,13,379,Patients
2191,13,381,Association
2203,13,382,survey
2210,13,383,found
2228,13,387,fifth
2237,13,389,respondents
2249,13,390,confirmed
2263,13,392,collection
2283,13,395,data
2294,14,399,Patients
2303,14,400,Association
2315,14,401,called
2330,14,405,worrying
2343,14,407,haphazard
2353,14,408,situation
2371,15,413,Telegraph
2381,15,414,reports
2394,15,416,experts
2402,15,417,consider
2419,15,420,difficile
2440,15,424,greater
2448,15,425,threat
2458,15,427,patient
2468,15,429,health
2480,15,431,MRSA
2487,16,434,Leicester
2497,16,435,NHS
2501,16,436,Trust
2511,16,438,reported
2523,16,440,deaths
2530,16,441,associated
2549,16,444,difficile
2576,17,450,hospitals
2587,18,452,Six
2591,18,453,deaths
2608,18,456,reported
2620,18,458,Maidstone
2630,18,459,Hospital
2647,18,462,Healthcare
2658,18,463,Commission
2678,18,466,asked
2687,18,468,investigate
2703,19,471,difficile
2717,19,473,associated
2737,19,476,deaths
2747,19,478,nearly
2759,19,480,patient
2777,20,485,A
2779,20,486,new
2783,20,487,Code
2791,20,489,Practice
2809,20,493,prevention
2824,20,495,control
2835,20,497,healthcare
2846,20,498,associated
2857,20,499,infections
2873,20,502,issued
2887,20,505,Department
2901,20,507,Health
2911,20,509,October
2934,20,513,Health
2941,20,514,Act
2951,21,517,This
2956,21,518,refers
2970,21,521,NHS
2977,21,523,England
2989,21,525,Wales
