char,sent_n,token_i,word
0,1,0,A
2,1,1,convicted
12,1,2,killer
26,1,5,western
34,1,6,US
37,1,7,state
46,1,9,Utah
55,1,11,chosen
65,1,13,die
72,1,15,firing
79,1,16,squad
88,1,18,Utah
101,1,21,execution
127,1,26,years
134,2,28,Ronnie
141,2,29,Lee
145,2,30,Gardner
153,2,31,indicated
167,2,33,preference
183,2,36,state
189,2,37,court
198,2,39,Salt
203,2,40,Lake
208,2,41,City
216,2,43,Friday
236,2,47,informed
253,2,50,appeal
272,2,53,death
278,2,54,sentence
296,2,57,rejected
307,3,60,Gardner
319,3,62,convicted
340,3,66,fatally
348,3,67,shooting
360,3,69,attorney
378,3,72,failed
385,3,73,escape
392,3,74,attempt
405,3,77,courthouse
428,3,81,city
434,4,83,Under
440,4,84,state
446,4,85,law
463,4,90,old
473,4,93,choice
488,4,95,death
497,4,97,lethal
504,4,98,injection
527,4,104,person
534,4,105,team
542,4,107,shooters
553,5,110,I
561,5,112,like
570,5,114,firing
577,5,115,squad
595,5,120,told
604,5,122,judge
612,6,125,Utah
631,6,130,states
643,6,132,permit
650,6,133,execution
663,6,135,firing
670,6,136,squad
681,7,139,state
687,7,140,outlawed
700,7,142,method
720,7,147,prisoners
730,7,148,convicted
772,7,156,option
784,8,159,central
797,8,161,state
806,8,163,Oklahoma
820,8,165,permits
828,8,166,death
837,8,168,firing
844,8,169,squad
869,8,175,methods
881,8,177,rejected
893,8,179,particular
904,8,180,cases
916,9,184,execution
926,9,185,method
942,9,188,criticised
967,10,194,firing
974,10,195,squad
983,10,197,archaic
997,10,201,violent
1013,10,205,simply
1020,10,206,expands
1035,10,209,violence
1060,10,213,experience
1076,10,215,guns
1086,10,218,society
1096,10,221,said
1101,10,222,John
1106,10,223,Charles
1114,10,224,Wester
1122,10,226,Roman
1128,10,227,Catholic
1137,10,228,Bishop
1147,10,230,Salt
1152,10,231,Lake
1157,10,232,City
1164,11,235,Lethal
1171,11,236,injection
1184,11,238,generally
1198,11,240,preferred
1208,11,241,means
1217,11,243,executing
1227,11,244,prisoners
1256,11,250,Supreme
1264,11,251,Court
1270,11,252,reinstated
1285,11,254,death
1291,11,255,penalty
1308,12,259,Since
1329,12,264,prisoners
1361,12,270,executed
1373,12,272,firing
1380,12,273,squad
1403,12,279,Utah
