char,sent_n,token_i,word
0,1,0,Police
12,1,2,bailed
23,1,4,driver
35,1,7,coach
47,1,9,crashed
58,1,11,Tuesday
69,1,13,Cornwall
79,1,15,England
88,1,17,killing
100,1,19,people
113,2,23,driver
124,2,25,arrested
136,2,27,suspicion
149,2,29,causing
157,2,30,death
166,2,32,dangerous
176,2,33,driving
184,2,34,following
194,2,35,fatal
200,2,36,injury
214,2,39,elderly
222,2,40,women
237,2,43,coach
243,2,44,reportedly
254,2,45,hit
260,2,47,wall
266,3,49,A
276,3,51,seven
282,3,52,passengers
294,3,54,seriously
304,3,55,injured
319,3,58,crash
331,3,61,hospitalised
346,4,64,Devon
356,4,66,Cornwall
365,4,67,Police
372,4,68,reported
387,4,70,alerted
402,4,73,incident
424,4,77,miles
436,4,80,kilometres
457,4,84,town
465,4,86,Looe
474,4,89,approximately
495,4,91,local
501,4,92,time
512,4,95,UTC
520,4,98,Tuesday
533,5,101,force
539,5,102,arrested
560,5,106,old
564,5,107,male
569,5,108,coach
575,5,109,driver
587,5,111,Exeter
597,5,113,suspicion
610,5,115,causing
618,5,116,death
627,5,118,dangerous
637,5,119,driving
646,6,121,He
658,6,124,released
670,6,126,bail
681,7,130,cause
694,7,133,crash
711,7,137,known
726,7,139,police
746,7,143,investigating
764,7,145,incident
786,7,150,vehicle
809,7,154,coach
819,7,156,involved
833,8,159,passengers
849,8,161,travelling
865,8,164,coach
871,8,165,trip
881,8,167,Exmouth
892,8,169,Looe
902,8,171,Age
906,8,172,UK
