char,sent_n,token_i,word
0,1,0,According
17,1,3,Wall
22,1,4,Street
29,1,5,Journal
47,1,9,Department
61,1,11,Transportation
80,1,13,analyzed
89,1,14,data
103,1,17,vehicles
112,1,18,involved
124,1,20,accidents
134,1,21,caused
144,1,23,sudden
151,1,24,acceleration
171,1,27,led
178,1,29,Toyota
190,1,32,world
202,1,35,automaker
213,1,37,recalling
225,1,39,large
231,1,40,number
241,1,42,automobiles
254,2,44,Early
260,2,45,analysis
269,2,46,showed
285,2,49,throttle
298,2,51,wide
303,2,52,open
316,2,55,brakes
331,2,58,engaged
348,2,61,cars
353,2,62,crashed
366,2,65,suggests
384,2,68,accidents
408,2,72,caused
418,2,74,drivers
426,2,75,unintentionally
442,2,76,flooring
455,2,78,accelerator
467,2,79,instead
482,2,82,brakes
499,3,86,Department
513,3,88,Transportation
536,3,91,confirm
549,3,93,report
558,4,96,However
567,4,98,Toyota
589,4,102,federal
597,4,103,investigation
617,4,106,number
627,4,108,known
633,4,109,issues
649,4,112,cars
655,4,114,acceleration
673,5,117,accelerator
688,5,119,known
701,5,122,return
711,5,124,idle
734,5,129,released
752,5,133,floor
758,5,134,mats
767,5,136,known
776,5,138,trap
785,5,140,accelerator
797,5,141,pedal
804,6,143,Toyota
819,6,146,suspected
832,6,148,having
839,6,149,electronic
857,6,152,computer
866,6,154,controlled
877,6,155,throttle
886,6,156,systems
899,6,159,released
910,6,161,statement
923,6,163,Wednesday
933,6,164,saying
949,6,167,investigations
964,6,168,found
973,6,170,problems
989,6,173,throttle
998,6,174,systems
1008,7,177,Over
1017,7,179,years
1023,7,180,Toyota
1034,7,182,received
1058,7,186,complaints
1075,7,188,sudden
1082,7,189,acceleration
1111,8,194,caused
1127,8,198,fatal
1133,8,199,crashes
1146,8,201,led
1156,8,204,deaths
1164,9,206,Due
1177,9,209,accidents
1188,9,211,Toyota
1195,9,212,provided
1208,9,214,National
1217,9,215,Highway
1225,9,216,Traffic
1233,9,217,Safety
1240,9,218,Administration
1256,9,220,NHTSA
1272,9,224,event
1278,9,225,data
1283,9,226,recorders
1298,9,228,cars
1303,9,229,involved
1315,9,231,accidents
1326,10,233,However
1339,10,236,NHTSA
1354,10,239,managed
1365,10,241,confirm
1391,10,246,accidents
1405,10,248,caused
1415,10,250,malfunctions
1435,10,253,car
1446,10,257,accident
1458,10,259,California
1474,10,261,August
1490,10,264,caused
1504,10,267,floor
1510,10,268,mat
1514,10,269,trapping
1527,10,271,gas
1531,10,272,pedal
1542,10,275,depressed
1552,10,276,position
1567,11,280,NHTSA
1577,11,283,conjunction
1594,11,285,NASA
1604,11,288,begun
1612,11,290,broader
1620,11,291,study
1636,11,294,caused
1649,11,296,accidents
1668,11,299,conclusions
1687,11,302,expected
1700,11,304,months
1712,12,307,ongoing
1720,12,308,lawsuits
1737,12,310,Toyota
1750,12,312,result
1774,12,318,billion
1785,12,320,damages
