char,sent_n,token_i,word
0,1,0,Indy
5,1,1,Racing
12,1,2,League
20,1,4,IRL
25,1,6,driver
32,1,7,Paul
37,1,8,Dana
42,1,9,died
47,1,10,Sunday
54,1,11,afternoon
65,1,13,following
75,1,14,injuries
84,1,15,sustained
103,1,18,crash
116,1,21,warmup
123,1,22,session
138,1,25,Toyota
149,1,27,race
157,1,29,Homestead
167,1,31,Miami
173,1,32,Speedway
184,2,35,During
195,2,37,warmup
203,2,39,Ed
206,2,40,Carpenter
218,2,42,car
222,2,43,spun
234,2,46,control
242,2,47,heading
257,2,50,turn
271,2,54,tire
276,2,55,failure
285,3,57,Carpenter
297,3,59,car
301,3,60,hit
309,3,62,raceway
317,3,63,wall
326,3,65,went
338,3,68,spin
352,3,71,race
357,3,72,track
368,3,74,Dana
373,3,75,hit
381,3,77,car
403,3,82,travelling
426,3,86,mph
435,3,89,km
438,3,91,h
446,4,95,team
451,4,96,reported
465,4,98,Paul
474,4,100,warned
488,4,103,danger
502,4,106,spotter
523,4,111,ease
549,4,117,drivers
564,4,120,section
579,4,123,track
590,5,126,slow
595,5,128,motion
602,5,129,footage
610,5,130,appeared
627,5,133,Paul
632,5,134,hitting
640,5,135,debris
652,5,137,Ed
657,5,139,car
667,5,142,seconds
686,5,145,main
691,5,146,impact
700,6,149,Both
710,6,151,taken
721,6,154,nearby
728,6,155,hospital
744,6,158,Dana
749,6,159,died
754,6,160,nearly
765,6,162,hours
771,6,163,later
778,6,165,shortly
792,6,167,noon
797,6,168,local
803,6,169,time
814,6,172,UTC
820,7,175,According
833,7,177,Henry
839,7,178,Block
846,7,180,senior
853,7,181,director
865,7,183,medical
873,7,184,services
890,7,187,IRL
895,7,189,Carpenter
909,7,191,listed
919,7,193,stable
926,7,194,condition
943,7,197,hospital
954,8,200,Dana
961,8,202,wife
975,8,206,attending
987,8,208,church
994,8,209,service
1005,8,211,Indianapolis
1025,8,214,time
1035,8,217,informed
1051,8,220,death
1057,8,221,shortly
1078,9,225,Despite
1086,9,226,Dana
1093,9,228,death
1104,9,231,Toyota
1115,9,233,continued
1128,9,235,scheduled
1139,10,237,However
1148,10,239,teammates
1158,10,240,Danica
1165,10,241,Patrick
1177,10,243,Buddy
1183,10,244,Rice
1196,10,247,compete
1205,11,249,Dan
1209,11,250,Wheldon
1217,11,251,beat
1222,11,252,Helio
1228,11,253,Castroneves
1247,11,256,car
1253,11,258,cone
1258,11,259,nose
1266,11,261,win
1274,11,263,race
1280,12,265,Wheldon
1292,12,267,placed
1299,12,268,Dana
1306,12,270,number
1328,12,277,car
1343,12,280,race
1350,13,283,Dana
1357,13,285,death
1383,13,291,league
1394,13,293,nearly
1407,13,295,years
1414,14,297,Tony
1419,14,298,Renna
1435,14,302,driver
1449,14,305,league
1459,14,307,die
1468,14,310,fatal
1474,14,311,accident
1488,14,314,killed
1504,14,317,test
1516,14,320,Indianapolis
1529,14,321,Motor
1535,14,322,Speedway
1545,15,324,Dana
1569,15,329,death
1578,15,331,Homestead
1605,15,336,NASCAR
1612,15,337,Craftsman
1622,15,338,Truck
1628,15,339,Series
1635,15,340,racer
1641,15,341,John
1646,15,342,Nemechek
1659,15,344,killed
1672,15,347,accident
