char,sent_n,token_i,word
4,1,1,rugby
10,1,2,union
26,1,6,Crusaders
44,1,10,meet
53,1,12,Hurricanes
67,1,14,Christchurch
83,1,16,Saturday
92,1,17,night
111,1,21,Super
120,1,23,final
132,1,25,defeating
146,1,27,Bulls
161,1,30,Jade
166,1,31,Stadium
180,2,35,match
186,2,36,started
204,2,39,sides
216,2,41,lead
228,2,44,regular
236,2,45,field
242,2,46,players
254,2,49,opposed
269,2,52,traditional
281,2,53,captains
290,2,54,leading
308,2,57,respective
319,2,58,sides
326,3,60,Greg
331,3,61,Sommerville
343,3,62,lead
356,3,65,Crusaders
370,3,68,honour
390,3,72,match
416,3,78,Bakkies
424,3,79,Botha
430,3,80,lead
443,3,83,Bulls
452,3,85,recognition
476,3,89,match
482,3,90,milestone
498,4,94,Bulls
521,4,99,foot
526,4,100,immediately
544,4,102,Fourie
551,4,103,du
554,4,104,Preez
560,4,105,knocked
573,4,108,Daniel
580,4,109,Carter
587,4,110,kick
597,5,113,Bulls
608,5,115,failed
618,5,117,capitalize
629,5,118,early
644,5,122,Morné
650,5,123,Steyn
656,5,124,missing
669,5,127,m
671,5,128,penalty
679,5,129,kick
684,5,130,straight
713,5,136,minute
726,6,140,scoring
734,6,141,opened
756,6,146,minute
769,6,149,All
773,6,150,Black
779,6,151,flyhalf
796,6,154,IRB
800,6,155,World
806,6,156,player
820,6,159,year
825,6,160,Daniel
832,6,161,Carter
839,6,162,kicking
849,6,164,penalty
865,6,167,Crusaders
887,6,172,taking
902,6,175,season
909,6,176,tally
922,6,179,points
931,7,182,After
939,7,184,Leon
944,7,185,MacDonald
954,7,186,chip
959,7,187,kick
974,7,191,managed
985,7,193,regather
999,7,196,Crusaders
1014,7,198,able
1022,7,200,produce
1030,7,201,quick
1036,7,202,ruck
1041,7,203,ball
1052,7,205,ended
1065,7,208,grubber
1076,7,210,centre
1083,7,211,Casey
1089,7,212,Laulala
1101,7,214,winger
1108,7,215,Rico
1113,7,216,Gear
