char,sent_n,token_i,word
0,1,0,Cyclone
8,1,1,Mick
24,1,5,storm
47,1,9,South
53,1,10,Pacific
61,1,11,cyclone
69,1,12,season
81,1,15,left
100,1,19,people
107,1,20,dead
118,1,22,battering
128,1,23,Fiji
136,1,25,Monday
149,2,29,storm
155,2,30,inflicted
165,2,31,widespread
176,2,32,damage
198,2,35,nation
219,2,39,island
229,2,41,Viti
234,2,42,Levu
239,2,43,bore
248,2,45,brunt
261,2,48,impact
269,3,50,At
276,3,52,height
290,3,55,storm
297,3,57,wind
302,3,58,gusts
315,3,61,km
318,3,63,h
324,3,66,mph
329,3,68,blew
345,3,71,island
355,4,74,Mick
360,4,75,forced
367,4,76,thousands
382,4,78,shelters
395,4,80,cut
399,4,81,power
410,4,84,large
416,4,85,portion
431,4,88,country
440,5,90,It
443,5,91,triggered
453,5,92,severe
460,5,93,flooding
473,5,95,uprooted
482,5,96,countless
492,5,97,trees
508,5,101,residents
536,5,105,power
545,6,109,There
555,6,112,lot
562,6,114,damage
571,6,117,said
576,6,118,Tim
580,6,119,Sutton
590,6,122,spokesman
604,6,124,UNICEF
613,8,127,Lots
621,8,129,trees
633,8,132,power
639,8,133,lines
670,8,139,roads
683,8,141,Viti
688,8,142,Levu
703,8,145,closed
715,8,147,flooding
728,8,149,landslides
741,9,152,He
744,9,153,described
758,9,155,cyclone
775,9,159,vicious
786,10,163,Although
799,10,165,storm
821,10,169,downgraded
840,10,172,started
851,10,174,dissipate
862,10,176,officials
885,10,180,death
891,10,181,toll
902,10,183,increase
914,10,185,contact
925,10,187,established
954,10,192,smaller
962,10,193,islands
971,11,195,However
980,11,197,advanced
989,11,198,warnings
998,11,199,likely
1005,11,200,reduced
1017,11,202,number
1027,11,204,fatalities
1041,12,207,On
1046,12,209,lighter
1054,12,210,note
1063,12,213,emergency
1073,12,214,group
1082,12,216,surgeons
1091,12,217,delivered
1101,12,218,seven
1107,12,219,babies
1125,12,222,cyclone
1135,12,224,onslaught
