char,sent_n,token_i,word
0,1,0,David
9,1,2,Touretzky
20,1,4,prominent
30,1,5,free
35,1,6,speech
42,1,7,activist
55,1,9,critic
65,1,11,Scientology
78,1,13,discussed
92,1,15,opinions
108,1,18,recent
115,1,19,Internet
124,1,20,backlash
145,1,23,Church
155,1,25,Scientology
173,1,28,interview
195,1,31,Scientologist
213,1,33,Wikinews
222,1,34,reporter
231,1,35,Nicholas
240,1,36,Turnbull
254,2,39,recent
261,2,40,conflict
277,2,43,Internet
294,2,45,critics
305,2,47,Scientology
325,2,50,Church
341,2,53,spurred
355,2,56,declarations
373,2,59,nebulous
382,2,60,Internet
391,2,61,entity
413,2,65,Anonymous
432,2,68,Church
442,2,70,Scientology
463,2,74,destroyed
475,3,77,Anonymous
489,3,79,directed
498,3,80,recent
505,3,81,protests
517,3,83,Scientology
529,3,84,centres
548,3,87,world
566,3,91,attracted
576,3,92,significant
588,3,93,numbers
599,3,95,individuals
611,3,96,supporting
626,3,98,cause
633,4,100,In
636,4,101,recent
643,4,102,e
645,4,104,mail
650,4,105,correspondence
670,4,107,Wikinews
682,4,110,representative
704,4,113,Church
714,4,115,Scientology
726,4,116,declared
744,4,119,Church
751,4,120,considers
765,4,122,activities
779,4,124,Anonymous
795,4,127,illegal
813,4,131,Anonymous
832,4,135,handled
844,4,137,stopped
855,5,141,Touretzky
868,5,144,research
877,5,145,professor
890,5,147,artificial
901,5,148,intelligence
918,5,150,computational
932,5,151,neuroscience
948,5,153,Carnegie
957,5,154,Mellon
964,5,155,University
987,5,160,prominent
997,5,161,critic
1011,5,164,Church
1021,5,166,Scientology
1062,5,173,protesting
1081,5,175,Scientology
1093,5,176,vociferously
1130,5,183,run
1134,5,184,websites
1148,5,186,publish
1156,5,187,material
1170,5,189,Scientology
1182,5,190,wishes
1197,5,193,suppressed
1217,5,196,public
1224,5,197,eye
1237,5,201,extracts
1251,5,203,Scientology
1274,5,207,confidential
1287,5,208,Operating
1297,5,209,Thetan
1305,5,211,OT
1309,5,213,materials
1320,6,215,Touretzky
1330,6,216,views
1340,6,218,actions
1355,6,221,Church
1365,6,223,Scientology
1389,6,228,threat
1399,6,230,free
1404,6,231,speech
1421,6,236,endured
1429,6,237,harassment
1447,6,240,Church
1457,6,242,Scientology
1477,6,245,activities
1495,7,249,Church
1505,7,251,Scientology
1517,7,252,continues
1530,7,254,suffer
1537,7,255,damage
1551,7,258,public
1558,7,259,reputation
1577,7,261,increased
1587,7,262,exposure
1603,7,265,Internet
1616,7,267,vocal
1622,7,268,protests
1634,7,270,Scientology
1646,7,271,critics
1662,7,274,Prof
1668,7,276,Touretzky
1679,8,278,A
1681,8,279,recent
1688,8,280,event
1699,8,282,focused
1707,8,283,intense
1715,8,284,attention
1728,8,286,Scientology
1742,8,288,totalitarian
1755,8,289,attitude
1772,8,292,leak
1783,8,295,internal
1792,8,296,Church
1802,8,298,Scientology
1814,8,299,propaganda
1825,8,300,video
1838,8,303,Internet
1847,8,304,video
1853,8,305,sharing
1861,8,306,site
1866,8,307,YouTube
1884,8,311,celebrity
1894,8,312,Scientologist
1908,8,313,Tom
1912,8,314,Cruise
1919,8,315,spoke
1925,8,316,heavily
1936,8,318,Scientology
1950,8,320,jargon
1961,8,322,stated
1983,8,328,Scientology
2004,8,332,authorities
2020,8,335,resolving
2034,8,337,difficulties
2050,8,339,humanity
2064,9,342,declaration
2079,9,344,war
2086,9,346,Anonymous
2096,9,347,followed
2105,9,348,shortly
2124,9,351,leak
2137,9,355,form
2147,9,358,video
2153,9,359,posted
2167,9,362,Internet
2183,10,366,ongoing
2191,10,367,dispute
2200,10,369,cast
2216,10,373,Scientology
2228,10,374,versus
2239,10,376,Internet
2249,10,378,brought
2257,10,379,Scientology
2269,10,380,terms
2284,10,384,SP
2289,10,387,Suppressive
2301,10,388,Person
2312,10,391,enemy
2321,10,393,Scientology
2339,10,397,KSW
2345,10,400,Keeping
2353,10,401,Scientology
2365,10,402,Working
2379,10,405,general
2387,10,406,usage
2396,10,408,non
2400,10,410,Scientologists
2424,10,413,late
2435,10,415,onwards
2444,10,417,increased
2454,10,418,attention
2473,10,421,drawn
2482,10,423,Scientology
2501,10,426,release
2516,10,429,Cruise
2523,10,430,video
2532,10,432,addition
2544,10,434,media
2550,10,435,coverage
2560,11,437,This
2565,11,438,focus
2575,11,440,caused
2590,11,443,greater
2598,11,444,propagation
2619,11,447,terms
2636,11,450,outside
2644,11,451,world
2654,11,454,Touretzky
2664,11,455,comments
2680,11,458,interview
2692,12,461,Wikinews
2701,12,462,asked
2707,12,463,Prof
2713,12,465,Touretzky
2733,12,468,impact
2749,12,471,activities
2763,12,473,Anonymous
2786,12,477,Scientology
2803,12,480,public
2810,12,481,relations
2820,12,482,effect
2834,12,485,Tom
2838,12,486,Cruise
2845,12,487,video
2856,12,490,recent
2863,12,491,departure
2876,12,493,individuals
2897,12,496,Church
2907,12,498,Scientology
2921,12,500,executive
2931,12,501,management
2947,12,504,strategies
2963,12,506,Anonymous
2978,12,508,employ
2989,12,510,Touretzky
3001,12,512,experiences
3016,12,514,picketing
3030,12,516,Church
