char,sent_n,token_i,word
0,1,0,A
2,1,1,new
6,1,2,report
20,1,5,International
34,1,6,Federation
48,1,8,Journalists
61,1,10,IFJ
66,1,12,documents
80,1,14,cases
92,1,16,media
98,1,17,workers
116,1,20,killed
140,1,24,work
158,2,28,They
163,2,29,expect
174,2,31,number
184,2,33,increase
201,2,36,information
213,2,37,reaches
227,3,40,This
252,3,45,deadliest
262,3,46,year
277,4,51,casualties
289,4,53,close
303,4,58,occurred
315,4,60,Iraq
321,4,62,making
334,4,65,far
342,4,67,deadliest
352,4,68,country
364,4,70,journalists
377,5,72,At
398,5,77,appeared
413,5,80,cases
425,5,82,journalists
442,5,84,directly
451,5,85,targeted
477,5,89,profession
490,6,92,Another
498,6,93,country
511,6,95,deserved
520,6,96,special
528,6,97,attention
546,6,100,Philippines
568,6,104,journalists
580,6,105,appear
600,6,109,assassinated
616,6,111,separate
625,6,112,incidents
652,6,116,reporting
663,7,118,None
675,7,121,murderers
695,7,124,apprehended
714,7,127,police
724,8,130,In
727,8,131,Nepal
738,8,134,journalists
755,8,136,killed
765,8,138,security
774,8,139,forces
796,8,144,rebels
804,9,146,Another
812,9,147,journalist
827,9,149,killed
839,9,152,land
