char,sent_n,token_i,word
4,1,1,United
11,1,2,States
25,1,5,major
31,1,6,blizzard
47,1,9,winter
54,1,10,season
65,1,12,left
82,1,16,New
86,1,17,England
94,1,18,region
101,1,19,covered
112,1,21,snow
118,2,23,Stretching
134,2,25,Virginia
146,2,27,Maine
157,2,30,storm
164,2,32,packing
172,2,33,winds
189,2,37,miles
199,2,39,hour
210,2,42,kilometres
225,2,44,hour
232,2,47,dropped
254,2,51,feet
262,2,53,snow
275,2,56,areas
284,3,59,Residents
294,3,60,prepared
332,3,68,worst
364,3,73,time
374,4,76,storm
380,4,77,contained
390,4,78,similar
398,4,79,conditions
414,4,82,category
425,4,84,hurricane
436,5,86,Wellfleet
447,5,88,Massachusetts
461,5,89,saw
471,5,92,miles
481,5,94,hour
486,5,95,wind
491,5,96,gust
501,5,99,strongest
511,5,100,recorded
535,5,103,storm
542,6,105,Connecticut
555,6,107,New
559,6,108,York
568,6,110,Maine
578,6,112,recorded
587,6,113,wind
592,6,114,gusts
609,6,118,miles
619,6,120,hour
628,6,122,gusts
645,6,126,miles
655,6,128,hour
660,6,129,blasted
668,6,130,Cape
673,6,131,Cod
679,7,134,A
681,7,135,total
693,7,138,inches
706,7,141,centimetres
719,7,143,fell
727,7,145,Rahway
747,7,150,hardest
755,7,152,hit
759,7,153,state
772,7,156,storm
780,7,158,path
786,8,160,Most
791,8,161,New
795,8,162,Jersey
802,8,163,cities
809,8,164,received
825,8,167,foot
833,8,169,snow
845,8,172,Connecticut
858,8,174,Delaware
868,8,176,Maine
879,8,179,Maryland
896,8,182,snow
901,8,183,totals
908,8,184,topping
932,8,189,foot
944,8,192,centimetres
962,8,195,Massachusetts
976,8,196,topping
993,8,200,foot
1004,8,203,half
1011,9,206,On
1014,9,207,Monday
1022,9,209,travel
1029,9,210,proved
1036,9,211,difficult
1052,9,214,flights
1065,9,216,Philadelphia
1079,9,218,Newark
1087,9,220,New
1091,9,221,York
1096,9,222,City
1102,9,224,Hartford
1112,9,226,Boston
1120,9,228,Portland
1134,9,231,Washington
1151,9,234,canceled
1161,10,236,Drivers
1174,10,238,ran
1183,10,240,problems
1195,10,242,major
1201,10,243,highways
1213,10,245,accidents
1228,10,247,unavoidable
1247,10,250,slick
1253,10,251,roads
