char,sent_n,token_i,word
4,1,1,Japanese
13,1,2,owned
19,1,3,Delta
25,1,4,Blues
31,1,5,ridden
41,1,7,Iwata
47,1,8,Yasunari
60,1,10,won
75,1,13,million
88,1,15,Melbourne
98,1,16,Cup
103,2,18,Trainer
111,2,19,Katsuhiko
121,2,20,Sumii
132,2,22,achieved
145,2,24,Quinella
154,2,25,winning
162,2,26,bet
171,2,28,stablemate
182,2,29,Pop
186,2,30,Rock
192,2,32,ridden
202,2,34,Damien
209,2,35,Oliver
217,2,37,placing
225,2,38,second
239,2,41,race
245,3,43,Maybe
251,3,44,Better
258,3,45,came
281,3,51,Zipping
289,3,52,posting
299,3,54,fourth
306,3,55,place
312,3,56,finish
320,3,58,Pre
324,3,60,race
329,3,61,favourite
339,3,62,Yeates
346,3,63,missed
357,3,65,start
364,3,67,finishing
374,3,68,seventh
385,4,71,After
395,4,73,race
401,4,75,jockey
408,4,76,Iwata
414,4,77,joyfully
423,4,78,shouted
432,4,80,Very
437,4,81,happy
449,4,84,happy
456,5,86,My
459,5,87,biggest
467,5,88,winner
482,6,93,Zabeat
502,6,97,finisher
525,6,101,field
540,6,104,reduced
551,6,106,number
568,6,109,early
574,6,110,morning
582,6,111,scratching
602,6,114,race
610,6,116,Efficient
625,6,118,leg
629,6,119,soreness
640,7,122,Australians
652,7,123,bet
665,7,127,million
673,7,128,dollars
688,7,131,race
699,7,134,Delta
705,7,135,Blues
711,7,136,paying
733,7,141,win
762,7,148,horse
773,7,150,Japan
787,7,153,won
795,7,155,race
811,7,159,year
816,7,160,history
831,7,163,Melbourne
841,7,164,Cup
