char,sent_n,token_i,word
4,1,1,Democratic
15,1,2,Party
28,1,5,United
35,1,6,States
46,1,8,reached
56,1,10,deal
64,1,12,seat
69,1,13,primary
77,1,14,delegates
92,1,16,Florida
104,1,18,Michigan
120,1,21,Democratic
131,1,22,National
140,1,23,Convention
154,1,25,Denver
162,1,27,Colorado
176,1,29,August
188,2,32,Democrats
203,2,34,seat
219,2,38,pledged
227,2,39,delegates
254,2,44,states
281,2,50,delegate
297,2,53,half
304,2,55,vote
310,3,57,Hillary
318,3,58,Clinton
331,3,61,won
339,3,63,majority
355,3,66,delegates
382,3,71,states
395,3,74,receive
406,3,76,additional
420,3,78,votes
433,3,81,convention
450,3,83,Barack
457,3,84,Obama
468,3,86,net
480,3,89,votes
487,4,91,Despite
495,4,92,Senator
503,4,93,Clinton
513,4,95,gains
520,4,97,Senator
528,4,98,Obama
553,4,103,pledged
561,4,104,delegates
571,4,105,supporting
587,5,109,Partisanship
600,5,110,surrounded
615,5,112,decision
625,6,114,Advocates
639,6,116,Senator
647,6,117,Clinton
655,6,118,pushed
670,6,121,inclusion
687,6,124,delegates
707,6,127,Florida
719,6,129,Michigan
736,6,131,condition
753,6,134,Obama
761,6,136,supporters
772,6,137,advocated
782,6,138,splitting
796,6,140,delegates
807,7,142,In
814,7,144,end
849,7,152,wishes
856,7,153,fulfilled
872,8,157,Democratic
883,8,158,leadership
894,8,159,attempted
907,8,161,use
915,8,163,compromise
929,8,165,bring
939,8,167,party
955,9,170,Party
961,9,171,Chairman
970,9,172,Howard
977,9,173,Dean
982,9,174,opened
993,9,176,meeting
1008,9,179,Rules
1014,9,180,Committee
1029,9,182,determined
1044,9,184,delegate
1053,9,185,allotment
1066,9,187,asking
1073,9,188,Democrats
1086,9,190,look
1102,9,193,primary
1126,9,197,November
1135,9,198,general
1143,9,199,election
1154,10,202,This
1172,10,206,Barack
1179,10,207,Obama
1188,10,209,Hillary
1196,10,210,Clinton
1206,10,213,said
1211,10,214,Dean
1218,10,217,This
1236,10,221,country
1245,11,223,This
1259,11,226,restoring
1269,11,227,America
1284,11,230,greatness
1298,11,233,restoring
1312,11,235,moral
1318,11,236,authority
1335,11,239,healing
1343,11,240,America
1354,11,242,home
