char,sent_n,token_i,word
0,1,0,On
3,1,1,Monday
11,1,3,June
23,1,7,Danish
30,1,8,embassy
41,1,10,Islamabad
52,1,12,Pakistan
66,1,15,attacked
82,1,18,car
86,1,19,bomb
96,2,22,bomb
101,2,23,went
117,2,27,parking
125,2,28,lot
136,2,31,embassy
160,2,35,pm
172,2,40,killing
197,2,45,wounding
226,3,51,One
230,3,52,Danish
237,3,53,citizen
249,3,55,killed
259,4,59,I
261,4,60,think
285,4,66,reasonable
296,4,67,degree
306,4,69,confidence
331,4,74,suicide
339,4,75,attack
348,4,78,said
353,4,79,Tariq
359,4,80,Pervez
371,4,83,director
380,4,85,general
395,4,88,Pakistani
405,4,89,Federal
413,4,90,Investigation
427,4,91,Agency
435,4,93,FIA
446,5,98,bomb
451,5,99,forced
462,5,101,closure
477,5,104,Danish
484,5,105,embassy
513,5,112,Norway
528,5,115,Netherlands
552,5,119,nearby
561,6,122,While
570,6,124,group
580,6,126,claimed
588,6,127,responsibility
608,6,130,Danish
615,6,131,national
624,6,132,security
633,6,133,intelligence
646,6,134,agency
653,6,135,PET
661,6,137,concluded
676,6,139,al
679,6,141,Qaeda
700,6,145,attack
709,7,148,Extremists
727,7,151,inspired
743,7,154,attack
753,7,156,Pakistan
764,7,159,said
769,7,160,PET
775,7,162,director
785,7,164,Jakob
791,7,165,Scharf
803,7,168,statement
816,8,172,We
828,8,175,trying
838,8,177,find
847,8,179,clue
857,8,182,evidence
868,8,185,Pakistani
878,8,186,investigator
891,8,187,Muhammad
900,8,188,Mustafa
908,8,189,said
920,8,192,Associated
931,8,193,Press
939,9,196,You
943,9,197,know
948,9,198,yesterday
965,9,201,panic
977,10,204,Usually
988,10,206,miss
993,10,207,important
1003,10,208,things
1013,10,210,panic
1023,11,215,Samples
1041,11,218,sent
1053,11,221,laboratory
1067,11,223,determine
1082,11,225,type
1090,11,227,explosive
1111,11,232,said
1116,11,233,Mohammad
1125,11,234,Ashraf
1132,11,235,Shah
1148,11,240,charge
1162,11,243,investigation
1177,12,245,Investigators
1196,12,247,found
1211,12,250,car
1224,12,253,bomb
1235,12,256,Toyota
1242,12,257,Corolla
1257,12,260,bore
1262,12,261,diplomatic
1273,12,262,license
1281,12,263,plates
1291,13,267,One
1302,13,270,course
1314,13,272,condemn
1331,13,277,terrible
1345,13,279,terrorists
1356,13,280,commit
1368,13,282,acts
1375,13,285,said
1380,13,286,Per
1384,13,287,Stig
1402,13,291,Foreign
1410,13,292,Minister
1422,13,294,Denmark
1434,13,297,TV
1439,13,299,television
1453,14,303,It
1466,14,307,expected
1506,14,315,said
1511,14,316,Ikram
1517,14,317,Sehgal
1527,14,319,Reuters
1536,14,321,referring
1549,14,323,Ayman
1555,14,324,al
1558,14,326,Zawahiri
1569,14,328,recent
1576,14,329,video
1582,14,330,encouraging
1594,14,331,attacks
1610,14,333,Denmark
1627,14,336,Jyllands
1636,14,338,Posten
1643,14,339,Muhammad
1652,14,340,cartoons
1661,14,341,controversy
1676,15,345,I
1678,15,346,urge
1687,15,348,incite
1700,15,350,Muslim
1715,15,353,harm
1720,15,354,Denmark
1740,15,359,support
1755,15,362,prophet
1764,15,364,God
1770,15,366,peace
1780,15,368,prayers
1808,15,375,defense
1823,15,378,honorable
1833,15,379,stature
1843,15,382,Ayman
1849,15,383,al
1852,15,385,Zawahri
1860,15,386,said
1870,15,389,video
1889,15,392,public
1899,15,394,April
1911,16,399,This
1916,16,400,attack
1931,16,403,linked
1945,16,406,event
1958,16,409,country
1973,16,412,region
2003,16,419,widespread
2014,16,420,outrage
2037,16,423,Islamic
2045,16,424,world
2059,16,426,publishing
2070,16,427,blasphemous
2082,16,428,caricatures
2098,16,432,local
2104,16,433,official
2113,16,434,told
2118,16,435,Daily
2124,16,436,Times
2131,16,438,adding
2156,16,443,affect
2163,16,444,Pakistani
2173,16,445,negotiations
2192,16,448,local
2199,16,450,Taliban
2217,16,454,considered
2228,16,455,separate
2246,16,458,Taliban
2257,16,460,Afghanistan
