char,sent_n,token_i,word
0,1,0,In
3,1,1,Centerton
14,1,3,Indiana
24,1,5,man
31,1,7,alive
37,1,8,thanks
53,1,12,dogs
60,2,15,Bill
65,2,16,Burns
75,2,18,taking
86,2,20,nightly
94,2,21,stroll
110,2,24,dogs
116,2,26,Butch
126,2,28,Dusty
147,2,34,severe
154,2,35,diabetic
163,2,36,attack
175,2,39,cornfield
187,3,42,His
191,3,43,dogs
196,3,44,immediately
208,3,45,reacted
218,4,48,Morgan
225,4,49,County
232,4,50,sheriff
242,4,52,Deputy
250,4,54,Steve
256,4,55,Hoffman
274,4,60,rural
280,4,61,road
290,4,63,finishing
307,4,66,traffic
315,4,67,stop
329,4,71,noticed
339,4,73,light
345,4,74,shining
360,4,77,cornfield
372,5,80,I
374,5,81,noticed
387,5,83,appeared
405,5,87,illumination
423,5,90,light
438,5,93,flickering
453,5,95,facing
463,5,97,direction
475,5,100,Hoffman
483,5,101,said
489,6,103,When
497,6,105,got
512,6,109,car
520,6,111,walked
539,6,115,saw
547,6,117,light
557,6,120,found
563,6,121,Butch
573,6,123,holding
583,6,125,flashlight
594,6,126,like
610,6,130,bone
623,6,134,mouth
630,7,136,Meanwhile
641,7,138,Dusty
651,7,140,stretched
680,7,144,Burns
689,7,146,try
706,7,150,warm
713,8,153,Hoffman
721,8,154,said
734,8,157,noticed
751,8,160,Burns
761,8,162,wearing
771,8,164,diabetic
780,8,165,medical
788,8,166,bracelet
801,8,168,immediately
813,8,169,took
829,8,173,hospital
840,9,176,Burns
846,9,177,says
868,9,182,remember
881,9,184,ordeal
893,9,187,thinks
905,9,189,Hoffman
918,9,191,seeing
929,9,193,light
938,9,195,remarkable
967,10,202,It
972,10,204,got
987,10,208,fate
995,10,210,faith
1021,10,218,Burns
1027,10,219,said
1038,11,223,dogs
1044,11,225,definitely
1063,11,228,heroes
1077,11,231,story
1085,11,234,said
1090,11,235,Hoffman
1100,12,238,Burns
1117,12,242,hospital
1126,12,243,nearly
1135,12,245,days
1159,12,250,released
1171,13,254,Had
1190,13,259,dogs
1209,13,263,evening
1218,14,265,I
1220,14,266,think
1230,14,268,outcome
1256,14,273,lot
1260,14,274,worse
1268,14,277,Hoffman
1276,14,278,said
