char,sent_n,token_i,word
0,1,0,Dave
5,1,1,Arneson
14,1,3,co
17,1,5,creator
38,1,9,roleplaying
50,1,10,game
56,1,12,Dungeons
69,1,14,Dragons
78,1,16,died
86,1,18,Tuesday
97,1,20,cancer
112,1,24,age
124,2,29,A
126,2,30,close
132,2,31,friend
142,2,33,Arneson
151,2,35,Bob
155,2,36,Meyer
162,2,38,reported
174,2,40,April
194,2,45,taken
202,2,47,turn
215,2,50,worse
229,2,53,admitted
243,2,56,hospital
253,3,58,Family
260,3,59,later
266,3,60,confirmed
293,3,66,facility
316,3,71,focus
325,3,73,keeping
337,3,75,comfortable
351,4,78,Reported
368,4,81,time
378,4,84,doctor
385,4,85,indicated
407,4,89,days
415,4,91,live
426,5,95,Academy
437,5,97,Adventure
447,5,98,Gaming
454,5,99,Arts
463,5,101,Design
478,5,104,inducted
487,5,105,Arneson
506,5,108,Hall
514,5,110,Fame
520,6,112,Pyramid
528,6,113,Magazine
545,6,116,named
569,6,122,Millennium
582,6,124,Most
587,6,125,Influential
599,6,126,Persons
625,6,133,realm
634,6,135,adventure
644,6,136,gaming
654,7,140,Arneson
662,7,141,started
679,7,145,wargamer
688,7,146,including
698,7,147,naval
704,7,148,games
711,8,150,He
714,8,151,soon
719,8,152,developed
742,8,156,personal
751,8,157,use
766,8,161,major
772,8,162,publishers
784,8,164,slow
789,8,165,release
800,8,167,games
807,9,169,With
812,9,170,David
818,9,171,Wesley
839,9,175,members
854,9,178,Midwest
862,9,179,Military
871,9,180,Simulation
882,9,181,Association
895,9,183,Arneson
903,9,184,developed
917,9,186,basis
926,9,188,modern
933,9,189,role
938,9,191,playing
946,9,192,games
957,9,194,individual
968,9,195,miniatures
979,9,196,representing
996,9,198,person
1007,9,200,having
1014,9,201,non
1018,9,203,military
1027,9,204,objectives
1041,10,207,Arneson
1049,10,208,attended
1062,10,210,University
1076,10,212,Minnesota
1091,10,215,history
1099,10,216,student
1108,11,218,He
1117,11,221,founder
1137,11,225,Gary
1142,11,226,Gygax
1156,11,230,Castle
1164,11,232,amp
1169,11,234,Crusade
1177,11,235,Society
1190,11,238,medieval
1199,11,239,miniature
1209,11,240,chapter
1224,11,243,International
1238,11,244,Federation
1252,11,246,Wargamers
1263,12,248,With
1268,12,249,Gygax
1286,12,254,authored
1295,12,255,Do
1301,12,257,Give
1306,12,258,Up
1313,12,260,Ship
1322,12,264,naval
1328,12,265,wargame
1338,13,268,Arneson
1348,13,270,Blackmoor
1372,13,274,role
1377,13,276,playing
1385,13,277,game
1393,13,280,genre
1408,13,283,players
1416,13,284,describe
1431,13,286,characters
1445,13,288,thorough
1454,13,289,detail
1469,13,292,attempt
1488,13,295,action
1499,13,297,character
1509,13,298,plausibly
1526,14,301,Ernest
1533,14,302,Gary
1538,14,303,Gygax
1552,14,307,close
1558,14,308,friend
1568,14,310,Arneson
1577,14,312,worked
1613,14,318,develop
1625,14,320,extensive
1635,14,321,set
1642,14,323,rules
1657,14,327,case
1668,14,329,volumes
1689,14,334,game
1694,14,335,requires
1704,15,337,This
1726,15,341,edition
1737,15,343,Dungeons
1747,15,345,amp
1752,15,347,Dragons
1761,16,349,With
1770,16,351,experience
1786,16,353,David
1792,16,354,Wesley
1800,16,356,Arneson
1808,16,357,tried
1822,16,360,fantasy
1830,16,361,miniatures
1841,16,362,free
1846,16,363,style
1852,16,364,calling
1864,16,366,game
1870,16,368,Blackmoor
1881,17,370,He
1889,17,372,latched
1900,17,374,Gygax
1908,17,376,Chainmail
1918,17,377,miniature
1928,17,378,game
1937,17,380,Fantasy
1945,17,381,supplement
1960,17,383,resolution
1974,17,385,battles
1983,18,387,He
1986,18,388,showed
1993,18,389,Gygax
2018,19,395,Gygax
2024,19,396,got
2028,19,397,involved
2041,19,399,started
2049,19,400,preparing
2061,19,402,set
2068,19,404,rules
2077,19,406,supplement
2088,19,407,Chainmail
2099,20,409,They
2104,20,410,shopped
2116,20,412,game
2122,20,414,Dungeons
2132,20,416,amp
2137,20,418,Dragons
2164,20,423,gaming
2171,20,424,companies
2185,20,426,got
2189,20,427,turned
2202,21,430,Gygax
2208,21,431,started
2218,21,433,business
2227,21,434,partnership
2240,21,436,Tactical
2249,21,437,Studies
2257,21,438,Rules
2267,21,441,publish
2279,21,443,game
2297,22,448,game
2302,22,449,launched
2319,22,452,new
2323,22,453,category
2335,22,455,gaming
2345,23,458,Although
2358,23,460,involved
2372,23,462,rulebooks
2386,23,464,later
2392,23,465,editions
2413,23,469,Arneson
2425,23,471,create
2432,23,472,adventure
2442,23,473,modules
2454,23,475,later
2460,23,476,editions
