char,sent_n,token_i,word
0,1,0,Romania
10,1,2,Ministry
22,1,4,European
31,1,5,Integration
52,1,8,public
63,1,10,text
75,1,13,European
84,1,14,Union
92,1,16,Accession
102,1,17,Treaty
114,1,19,Romania
126,1,21,Bulgaria
136,1,23,making
146,1,25,available
163,1,28,website
176,2,31,text
188,2,34,treaty
198,2,36,available
208,2,37,freely
219,2,40,Romanian
239,3,46,Accession
249,3,47,Treaty
276,3,54,voted
289,3,57,European
298,3,58,Parliament
312,3,60,April
325,3,63,signed
335,3,65,April
352,3,70,legal
358,3,71,document
367,3,72,facilitating
380,3,73,Romania
392,3,75,Bulgaria
403,3,77,accession
420,3,80,EU
431,3,84,according
448,3,87,treaty
466,3,91,place
475,3,93,January
497,4,100,treaty
506,4,102,content
523,4,105,posted
530,4,106,online
540,4,108,order
549,4,110,inform
556,4,111,Romanians
573,4,114,costs
580,4,116,standards
594,4,118,responsibilities
614,4,120,European
623,4,121,Union
629,4,122,accession
644,5,125,text
653,5,127,published
673,5,130,European
682,5,131,Commission
693,5,132,asked
703,5,134,Romania
715,5,136,Bulgaria
727,5,138,better
734,5,139,inform
747,5,141,citizens
764,5,144,EU
767,5,145,accession
777,5,146,actually
786,5,147,means
793,6,149,Bulgaria
802,6,150,similarly
817,6,152,available
831,6,154,content
846,6,157,treaty
861,6,161,Bulgarian
871,6,162,language
884,6,165,early
890,6,166,April
898,7,169,Once
907,7,171,Accession
917,7,172,Treaty
927,7,174,signed
935,7,176,Romania
947,7,178,Bulgaria
969,7,182,withdraw
987,7,185,Central
995,7,186,European
1004,7,187,Free
1009,7,188,Trade
1015,7,189,Agreement
1042,7,195,integrated
1062,7,198,EU
1065,7,200,wide
1070,7,201,free
1075,7,202,trade
1081,7,203,area
1087,8,205,Additionally
1106,8,208,April
1124,8,213,countries
1139,8,215,send
1144,8,216,observers
1161,8,219,European
1170,8,220,Parliament
1193,8,224,able
1201,8,226,participate
1222,8,229,European
1231,8,230,Union
1237,8,231,institutions
1254,8,233,events
1264,8,235,observers
1276,9,238,When
1289,9,241,countries
1299,9,242,join
1317,9,247,European
1326,9,248,Union
1345,9,252,members
1356,9,254,total
1380,9,259,million
1388,9,260,citizens
1402,10,263,timetable
1416,10,265,accession
1435,10,269,implementation
1457,10,272,treaty
1485,10,279,jeopardy
1501,10,282,European
1510,10,283,Parliament
1521,10,284,fails
1530,10,286,approve
1542,10,288,accession
1563,10,292,countries
1576,10,294,April
1600,10,301,countries
1614,10,303,deemed
1621,10,304,unprepared
1636,10,306,accession
1653,10,309,European
1662,10,310,Commission
1683,10,314,case
1695,10,318,called
1702,10,319,safeguard
1712,10,320,clause
1724,10,322,come
1734,10,324,effect
1742,10,326,postponing
1753,10,327,accession
1770,10,330,year
