char,sent_n,token_i,word
0,1,0,A
2,1,1,magnitude
16,1,3,earthquake
27,1,4,struck
34,1,5,western
42,1,6,Mexico
49,1,7,today
76,1,13,UTC
81,1,15,local
87,1,16,time
94,1,18,according
111,1,21,United
118,1,22,States
125,1,23,Geological
136,1,24,Survey
144,1,26,USGS
151,2,29,There
165,2,32,reports
176,2,34,damages
187,2,36,injuries
201,3,39,epicenter
215,3,41,located
230,3,44,Gulf
238,3,46,California
254,3,49,km
261,3,52,miles
268,3,54,south
277,3,56,Los
281,3,57,Mochis
289,3,59,Sinaloa
305,3,63,depth
335,3,70,half
340,3,71,miles
352,4,75,earthquake
363,4,76,caused
370,4,77,residents
383,4,79,Sinaloa
394,4,81,panic
404,4,83,run
417,4,86,street
429,5,89,USGS
434,5,90,initially
444,5,91,reported
457,5,93,quake
477,5,99,later
483,5,100,revised
507,6,107,earthquake
518,6,108,occurred
532,6,111,depth
550,6,115,km
558,6,118,mi
562,6,120,according
579,6,123,USGS
588,6,125,lasted
605,6,128,minute
612,6,129,according
625,6,131,local
631,6,132,resident
640,6,133,Alberto
648,6,134,Montoya
656,6,135,Rodriguez
667,7,137,There
680,7,140,damage
690,7,142,injuries
699,7,143,reported
713,7,146,result
727,7,149,quake
742,7,152,schools
755,7,154,let
771,7,158,day
