char,sent_n,token_i,word
0,1,0,El
3,1,1,Salvador
12,1,2,officially
23,1,3,presented
33,1,4,ex
36,1,6,president
46,1,7,Francisco
56,1,8,Flores
70,1,11,official
79,1,12,candidate
97,1,15,post
105,1,17,Secretary
115,1,18,General
130,1,21,Organization
146,1,23,American
155,1,24,States
163,1,26,OAS
173,2,30,previous
182,2,31,Secretary
192,2,32,General
201,2,34,Miguel
208,2,35,Ángel
214,2,36,Rodríguez
225,2,38,vacated
237,2,40,post
248,2,42,serving
264,2,45,days
276,2,48,term
284,2,50,office
298,2,52,returning
308,2,53,home
316,2,55,Costa
322,2,56,Rica
330,2,58,face
335,2,59,corruption
346,2,60,charges
360,3,64,Salvadoran
371,3,65,government
382,3,66,claims
409,3,71,support
432,3,75,Central
440,3,77,American
449,3,78,countries
467,3,81,Dominican
477,3,82,Republic
496,3,85,candidate
507,4,87,This
523,4,91,true
546,4,96,Guatemala
565,4,99,deciding
585,4,102,officially
596,4,103,nominate
605,4,104,Nobel
611,4,105,Laureate
620,4,106,Rigoberta
630,4,107,Menchú
643,4,110,alternative
655,4,111,candidate
666,5,113,It
672,5,115,certain
685,5,117,Honduras
697,5,119,refusing
709,5,121,support
717,5,122,Flores
739,5,126,refusal
750,5,128,accept
761,5,130,decision
777,5,133,International
791,5,134,Court
800,5,136,Justice
811,5,138,favour
821,5,140,Honduras
837,5,143,territorial
849,5,144,dispute
873,5,148,nations
893,5,152,president
905,6,155,Flores
916,6,157,criticised
927,6,158,Mexico
938,6,160,proposing
948,6,161,Luis
953,6,162,Ernesto
961,6,163,Derbez
973,6,166,candidate
984,6,168,claiming
1005,6,172,previous
1014,6,173,election
1023,6,174,Mexico
1034,6,176,agreed
1057,6,182,OAS
1061,6,183,nations
1079,6,187,chosen
1086,6,188,candidate
1111,6,192,Central
1119,6,193,America
1147,6,199,gone
1166,6,203,word
1178,6,206,proposing
1198,6,209,candidate
1211,7,212,Honduras
1224,7,214,similarly
1234,7,215,criticised
1245,7,216,Flores
1253,7,218,saying
1265,7,220,Central
1273,7,221,America
1285,7,223,previously
1296,7,224,decided
1314,7,228,consensus
1324,7,229,candidate
1350,7,233,Flores
