char,sent_n,token_i,word
0,1,0,Eleven
7,1,1,days
20,1,5,hours
35,1,8,earthquake
49,1,10,Sichuan
57,1,11,Province
69,1,13,China
81,1,15,killed
100,1,18,people
110,1,21,survivor
128,1,24,rescued
145,1,27,rubble
163,1,31,house
176,1,34,city
184,1,36,Mianzhu
196,2,39,Xiao
201,2,40,Zhihu
219,2,46,said
233,2,50,stable
240,2,51,condition
255,2,54,local
261,2,55,hospital
275,2,58,paralyzed
285,2,59,prior
298,2,62,earthquake
317,2,65,found
323,2,66,underneath
336,2,68,pillar
353,2,71,held
365,2,74,house
372,3,76,Officials
382,3,77,said
401,3,81,reason
411,3,83,survived
423,3,85,long
453,3,91,fed
464,3,94,wife
471,4,97,At
487,4,100,people
498,4,102,missing
511,4,105,result
525,4,108,magnitude
539,4,110,quake
548,4,112,May
556,5,115,Officials
566,5,116,fear
575,5,118,death
581,5,119,toll
613,6,126,quake
621,6,128,epicenter
635,6,130,located
650,6,133,Aba
654,6,134,prefecture
669,6,137,kilometers
684,6,140,miles
691,6,142,west
697,6,144,northwest
710,6,146,Chengdu
719,6,148,Sichuan
728,6,150,China
742,6,153,recorded
756,6,156,depth
778,7,163,miles
787,8,167,This
800,8,170,largest
808,8,171,earthquake
822,8,173,strike
833,8,175,region
853,8,179,years
864,9,182,deadliest
874,9,183,quake
883,9,185,China
891,9,187,history
906,9,190,magnitude
921,9,193,striking
930,9,194,Tangshan
948,10,198,Approximately
970,10,200,people
982,10,202,killed
990,11,204,On
993,11,205,May
1003,11,209,man
1011,11,211,survived
1025,11,213,quake
1043,11,216,buried
1057,11,219,days
1067,11,222,found
1073,11,223,alive
1086,11,226,rubble
1099,11,229,office
1106,11,230,building
1118,11,232,Beichuan
1128,12,234,He
1144,12,238,survivor
