char,sent_n,token_i,word
0,1,0,Finland
12,1,2,defeated
21,1,3,Kazakhstan
41,1,9,home
46,1,10,qualifying
57,1,11,game
66,1,13,Euro
76,1,15,championship
97,2,18,people
104,2,19,attended
117,2,21,match
134,2,25,refereed
146,2,27,Hungarian
156,2,28,Viktor
163,2,29,Kassai
172,3,32,Finland
184,3,34,taken
194,3,36,lead
202,3,38,early
220,3,42,minute
234,3,45,goal
244,3,47,Alexei
251,3,48,Eremenko
261,4,50,This
270,4,52,equalised
283,4,54,Kazakhstan
306,4,58,minute
318,4,61,header
330,4,63,Dimitriy
339,4,64,Byakov
347,4,66,taking
354,4,67,Finland
362,4,68,goalkeeper
373,4,69,Jussi
379,4,70,Jääskeläinen
395,4,72,surprise
406,5,75,Finland
414,5,76,continued
436,5,80,main
441,5,81,possession
459,5,84,ball
474,5,88,continually
486,5,89,thwarted
498,5,91,Kazakhstan
509,5,92,goalkeeper
520,5,93,David
526,5,94,Loriya
539,5,97,scoring
565,5,102,minute
577,6,105,goal
582,6,106,came
592,6,108,Tottenham
602,6,109,midfielder
613,6,110,Teemu
619,6,111,Tainio
632,7,115,win
636,7,116,gives
642,7,117,Finland
659,7,121,playing
670,7,123,group
676,7,124,A
681,7,127,total
693,7,130,points
701,7,132,bringing
726,7,136,group
732,7,137,leaders
740,7,138,Poland
