char,sent_n,token_i,word
0,1,0,Quaero
16,1,3,termed
23,1,4,eurozone
34,1,6,response
50,1,9,US
53,1,11,based
59,1,12,internet
68,1,13,search
75,1,14,giants
90,1,17,Google
98,1,19,Yahoo
108,1,21,MSN
117,2,24,project
125,2,25,includes
138,2,27,French
149,2,29,German
156,2,30,governments
181,2,34,host
189,2,36,European
198,2,37,technology
209,2,38,companies
227,2,41,Thomson
236,2,43,France
243,2,44,Telecom
255,2,46,Deutsche
264,2,47,Telekom
273,3,49,It
279,3,51,scheduled
295,3,54,submitted
308,3,56,France
317,3,58,Agency
327,3,60,Industrial
338,3,61,Innovation
349,3,62,later
360,3,64,month
371,4,67,agency
390,4,71,budget
405,4,74,billion
420,4,78,billion
436,4,82,specified
463,4,87,money
477,4,90,spent
486,4,92,Quaero
496,5,95,President
506,5,96,Jacques
514,5,97,Chirac
521,5,98,announced
535,5,100,launch
545,5,102,Quaero
563,5,105,French
570,5,107,German
577,5,108,ministerial
589,5,109,conference
603,5,111,April
617,5,114,year
623,6,116,It
633,6,119,latest
645,6,122,series
655,6,124,initiatives
674,6,127,Europeans
687,6,129,compete
700,6,131,US
703,6,132,dominance
716,6,134,technology
728,7,136,Europe
735,7,137,launched
748,7,139,Galileo
756,7,140,satellite
766,7,141,navigation
777,7,142,system
789,7,144,month
795,7,145,aimed
804,7,147,rivaling
815,7,149,similar
823,7,150,system
838,7,152,available
855,7,155,US
859,8,157,French
866,8,158,broadcasters
888,8,161,planning
900,8,163,international
914,8,164,television
925,8,165,network
934,8,167,CFII
939,8,168,aimed
948,8,170,presenting
963,8,172,French
970,8,173,view
978,8,175,world
984,8,176,events
996,9,179,network
1007,9,181,slated
1017,9,183,begin
1023,9,184,broadcasting
1039,9,186,French
1050,9,188,English
1061,9,190,Europe
1073,9,193,Middle
1080,9,194,East
1089,9,196,Africa
1110,9,199,year
1117,10,202,Designers
1127,10,203,hope
1137,10,205,Quaero
1156,10,209,world
1169,10,212,advanced
1178,10,213,multimedia
1189,10,214,search
1196,10,215,engine
1206,10,217,locate
1217,10,219,translate
1227,10,220,video
1237,10,222,audio
1252,10,225,internet
1262,11,227,A
1264,11,228,pretty
1271,11,229,ambitious
1281,11,230,goal
1298,11,234,admission
1311,11,236,people
1318,11,237,involved
1328,11,239,Yes
1338,11,243,highly
1345,11,244,ambitious
1357,11,247,said
1362,11,248,Jean
1367,11,250,Luc
1371,11,251,Moullet
1384,11,254,oversees
1397,11,256,Quaero
1404,11,257,project
1415,11,259,Thomson
1425,12,262,There
1444,12,266,compare
1461,13,272,However
1469,13,273,details
1477,13,274,remain
1484,13,275,scant
1501,13,278,shrouded
1513,13,280,secrecy
1522,14,282,None
1534,14,285,key
1538,14,286,players
1550,14,288,commented
1563,14,290,cost
1577,14,293,week
1583,14,295,Thomson
1592,14,297,removed
1600,14,298,access
1614,14,301,page
1626,14,304,corporate
1636,14,305,web
1640,14,306,site
1645,14,307,devoted
1656,14,309,Quaero
1667,14,311,instructed
1682,14,313,executives
1709,14,318,interviews
1728,14,321,project
1738,15,324,Most
1743,15,325,industry
1752,15,326,experts
1760,15,327,remain
1767,15,328,skeptical
1781,15,330,fear
1795,15,333,program
1812,15,336,costly
1823,15,338,unwieldy
1835,15,340,administer
1856,15,343,produce
1867,15,345,tangible
1876,15,346,commercial
1887,15,347,advances
1898,16,350,I
1910,16,354,confident
1925,16,356,Quaero
1940,16,359,able
1948,16,361,produce
1974,16,365,private
1982,16,366,sector
2003,16,370,offering
2020,16,373,develop
2046,16,379,future
2055,16,382,said
2060,16,383,John
2065,16,384,Lervik
2073,16,386,chief
2079,16,387,executive
2092,16,389,Fast
2097,16,390,Search
2105,16,392,amp
2110,16,394,Transfer
2122,16,397,Norwegian
2132,16,398,software
2141,16,399,company
2154,16,401,provides
2163,16,402,search
2170,16,403,solutions
2183,16,405,businesses
2198,16,407,data
2203,16,408,stored
2219,16,411,corporate
2229,16,412,networks
