char,sent_n,token_i,word
0,1,0,Wikinews
9,1,1,spoke
22,1,4,Global
29,1,5,Communications
44,1,6,Director
56,1,8,Bebo
71,1,12,look
83,1,15,popular
91,1,16,social
98,1,17,networking
109,1,18,site
115,2,20,Sarah
121,2,21,Gavin
127,2,22,spoke
137,2,24,email
146,2,26,Wikinews
155,2,27,Gabriel
163,2,28,Pollard
171,2,29,exclusively
185,3,32,Bebo
212,3,38,Blog
217,3,39,Early
223,3,40,Blog
228,3,41,Often
236,3,43,started
248,3,45,life
273,3,50,adopted
288,3,53,suggestion
301,3,55,journalist
333,3,62,memorable
343,3,63,nature
363,4,68,Ms
366,4,69,Gavin
372,4,70,said
383,4,74,reality
412,4,80,chosen
428,4,83,practical
438,4,84,reasons
454,5,88,memorable
465,5,90,translated
490,5,94,importantly
509,5,97,available
522,6,101,Founded
541,6,105,husband
553,6,107,wife
558,6,108,team
564,6,110,Michael
572,6,111,Birch
582,6,113,Xochi
588,6,114,Birch
595,6,116,Bebo
607,6,119,online
614,6,120,community
628,6,122,Internet
637,6,123,users
646,6,125,talk
666,6,129,online
674,6,131,write
680,6,132,blog
685,6,133,posts
695,6,135,generally
705,6,136,post
710,6,137,pictures
720,7,139,Now
734,7,144,Bebo
739,7,145,allows
746,7,146,users
755,7,148,find
764,7,150,communicate
781,7,152,friends
800,7,156,discovering
813,7,158,experiencing
830,7,160,sharing
838,7,161,professional
855,7,163,user
860,7,165,generated
870,7,166,content
878,7,167,including
888,7,168,video
895,7,170,music
902,7,172,books
918,7,175,forms
927,7,177,entertainment
943,7,180,Ms
946,7,181,Gavin
952,7,182,said
971,8,187,year
1002,8,193,social
1009,8,194,networking
1020,8,195,sites
1026,8,196,entered
1038,8,198,market
1050,8,200,Friendster
1086,8,206,set
1105,8,211,people
1116,8,213,created
1124,8,214,Bebo
1130,9,216,Ringo
1140,9,218,later
1146,9,219,sold
1171,10,225,Not
1185,10,228,Bebo
1190,10,229,facilitate
1205,10,231,aforementioned
1220,10,232,activities
1239,10,236,site
1258,10,241,access
1268,10,243,professional
1281,10,244,content
1289,10,245,produced
1301,10,247,broadcasters
1323,10,251,TVNZ
1331,10,253,New
1335,10,254,Zealand
1348,10,257,producers
1359,11,259,This
1384,11,264,Open
1389,11,265,Media
1395,11,266,platform
1410,11,268,claims
1434,11,273,media
1440,11,274,partners
1449,11,275,signed
1461,12,279,Ms
1464,12,280,Gavin
1470,12,281,said
1477,12,284,Bebo
1482,12,285,offers
1506,12,290,features
1515,12,291,found
1530,12,294,sites
1541,12,297,unlike
1553,12,299,social
1560,12,300,networks
1574,12,302,limit
1586,12,304,scope
1595,12,306,communications
1614,12,308,utility
1622,12,309,platforms
1633,12,311,Bebo
1642,12,313,opened
1653,12,315,doors
1666,12,318,media
1672,12,319,companies
1683,12,321,bringing
1696,12,323,richness
1712,12,326,media
1718,12,327,world
1731,12,330,fast
1736,12,332,growing
1744,12,333,community
1757,12,335,users
1768,13,339,Bebo
1790,13,344,television
1801,13,345,series
1811,13,347,hosts
1824,13,350,website
1833,14,352,KateModern
1845,14,354,produced
1876,14,360,popular
1897,14,362,web
1901,14,364,series
1914,14,368,series
1921,14,369,exclusive
1938,14,372,Internet
1955,14,375,commissioned
1971,14,377,Bebo
1979,14,379,April
1992,15,383,Bebo
1997,15,384,boasts
2009,15,386,KateModern
2032,15,390,popular
2040,15,391,television
2063,15,395,Internet
2076,15,397,saw
2083,15,399,attain
2098,15,402,million
2106,15,403,views
2125,15,407,season
2140,16,411,In
2143,16,412,early
2149,16,413,December
2164,16,416,Bebo
2169,16,417,announced
2183,16,419,Open
2188,16,420,Application
2200,16,421,Platform
2210,16,423,compatible
2226,16,425,Facebook
2244,16,429,Google
2253,16,431,OpenSocial
2264,16,432,platforms
2275,17,434,This
2280,17,435,new
2284,17,436,platform
2293,17,437,opens
2306,17,440,API
2313,17,442,developers
2332,17,445,NBC
2336,17,446,Universal
2362,17,450,build
2368,17,451,applications
2385,17,453,use
2392,17,455,Bebo
2404,18,458,applications
2444,18,464,Bebo
2451,19,467,With
2464,19,470,million
2472,19,471,members
2480,19,472,internationally
2497,19,474,Bebo
2523,19,480,global
2530,19,481,Social
2537,19,482,Media
2543,19,483,Network
2555,19,486,existence
2565,19,487,today
2572,20,489,Each
2577,20,490,month
2587,20,492,demographic
2599,20,493,users
2605,20,494,aged
2637,20,500,age
2641,20,501,inclusive
2651,20,502,spend
2659,20,504,combined
2668,20,505,total
2682,20,508,billion
2690,20,509,minutes
2700,20,511,month
2706,20,512,surfing
2718,20,514,highly
2725,20,515,popular
2733,20,516,site
2745,20,520,minutes
2755,20,522,day
2763,20,524,user
2773,21,527,majority
2789,21,530,membership
2809,21,533,English
2817,21,535,speaking
2826,21,536,nations
2842,21,539,United
2849,21,540,States
2857,21,542,Australia
2871,21,544,New
2875,21,545,Zealand
2892,21,548,experiences
2904,21,549,high
2909,21,550,popularity
2922,22,553,In
2929,22,555,United
2936,22,556,Kingdom
2951,22,559,Bebo
2975,22,564,million
2983,22,565,users
2999,22,569,million
3007,22,570,located
3023,22,573,Ireland
3039,22,578,Irish
3045,22,579,members
3071,22,584,old
3076,23,586,Ms
3079,23,587,Gavin
3085,23,588,spoke
3106,23,592,popularity
3117,23,593,experienced
3136,23,596,world
3144,23,599,It
3154,23,602,number
3165,23,604,social
3172,23,605,networking
3183,23,606,site
3191,23,608,New
3195,23,609,Zealand
3208,23,612,number
