char,sent_n,token_i,word
4,1,1,Federal
12,1,2,Aviation
21,1,3,Administration
37,1,5,FAA
42,1,7,announced
55,1,9,Sunday
69,1,12,NextGen
77,1,13,airspace
86,1,14,upgrade
102,1,17,Washington
119,1,20,metro
125,1,21,area
142,1,25,place
151,1,27,time
164,1,30,holiday
172,1,31,travel
179,1,32,week
189,2,35,FAA
193,2,36,said
208,2,39,improve
220,2,41,efficiency
234,2,43,air
238,2,44,travel
253,2,47,area
265,3,51,Department
279,3,53,Transportation
294,3,54,Secretary
304,3,55,Anthony
312,3,56,Foxx
317,3,57,said
327,3,59,upgrade
335,3,60,highlights
350,3,62,difference
365,3,64,federal
373,3,65,government
387,3,67,making
397,3,69,air
401,3,70,travel
409,4,72,He
417,4,74,said
427,4,76,upgrade
440,4,78,improve
451,4,81,time
456,4,82,performance
472,4,84,reduce
479,4,85,fuel
484,4,86,consumption
500,4,88,emissions
512,5,91,FAA
516,5,92,administrator
530,5,93,Michael
538,5,94,Huerta
545,5,95,said
559,5,98,busy
564,5,99,holiday
572,5,100,travel
579,5,101,season
586,5,102,approaching
605,5,106,important
622,5,109,travelers
641,5,112,destination
653,5,113,safely
667,5,116,time
683,6,121,metroplex
697,6,123,includes
712,6,125,Optimized
722,6,126,Profile
730,6,127,Descents
740,6,129,OPDs
751,6,132,allow
757,6,133,aircraft
769,6,135,descend
777,6,136,smoothly
793,6,139,airport
805,6,142,opposed
818,6,145,staircase
828,6,147,style
834,6,148,decent
842,7,150,This
847,7,151,reduces
855,7,152,fuel
860,7,153,burn
872,7,155,decent
893,7,158,time
901,7,160,aircraft
910,7,161,levels
925,7,165,needs
934,7,167,burn
944,7,169,fuel
958,7,172,step
970,7,175,descent
983,8,178,FAA
987,8,179,said
1000,8,182,benefit
1014,8,184,major
1020,8,185,airports
1036,8,188,area
1042,8,190,Ronald
1049,8,191,Reagan
1056,8,192,Washington
1067,8,193,National
1076,8,194,Airport
1085,8,196,DCA
1091,8,199,Dulles
1098,8,200,International
1112,8,201,Airport
1121,8,203,IAD
1154,8,208,International
1168,8,209,Airport
1177,8,211,BWI
1185,9,215,In
1190,9,217,video
1196,9,218,describing
1211,9,220,OPDs
1225,9,224,Brian
1231,9,225,Townsend
1243,9,228,tech
1248,9,229,pilot
1258,9,231,captain
1270,9,233,American
1279,9,234,Airlines
1289,9,236,said
1299,9,238,gliding
1312,9,240,approach
1334,9,244,environmentally
1350,9,245,friendly
1368,9,248,traditional
1380,9,249,approach
1391,10,252,This
1396,10,253,initiative
1419,10,257,metroplex
1429,10,258,involves
1438,10,259,collaboration
1455,10,261,United
1463,10,263,Southwest
1478,10,266,American
1487,10,267,Airlines
1505,10,270,labor
1511,10,271,unions
1534,10,277,effort
1544,10,279,improve
1552,10,280,efficiency
1567,10,282,aircraft
1576,10,283,arriving
1589,10,285,taking
1605,10,288,surrounding
1617,10,289,airports
1634,10,292,Joint
1640,10,293,Base
1645,10,294,Andrews
1654,10,296,Richmond
1663,10,297,International
1677,10,298,Airport
1696,10,302,small
1702,10,303,airports
1719,10,306,region
1733,11,310,agency
1740,11,311,announced
1750,11,312,yesterday
1767,11,315,finished
1780,11,317,work
1793,11,320,NextGen
1801,11,321,system
1816,12,324,NextGen
1829,12,327,replacement
1849,12,330,ground
1856,12,332,radar
1862,12,334,based
1868,12,335,system
1892,12,340,operation
1908,12,342,World
1914,12,343,War
1918,12,344,Two
1923,13,346,They
1933,13,348,completed
1945,13,350,NextGen
1953,13,351,metroplex
1963,13,352,project
1974,13,354,North
1980,13,355,Texas
1991,13,357,week
2001,14,360,NextGen
2009,14,361,system
2019,14,363,expected
2031,14,365,cost
2036,14,366,billions
2048,14,368,dollars
2059,14,370,implement
2077,14,373,FAA
2081,14,374,funding
2092,14,376,expected
2104,14,378,expire
2114,14,380,late
2125,15,383,Lawmakers
2149,15,388,holding
2157,15,389,hearings
2169,15,391,possibly
2178,15,392,extend
2189,15,394,funding
2197,15,395,window
2209,15,397,year
2216,16,400,NASA
2229,16,403,conducting
2240,16,404,studies
2255,16,407,NextGen
2263,16,408,System
2271,17,410,Researchers
2295,17,414,brand
2301,17,415,new
2305,17,416,laboratory
2319,17,418,test
2324,17,419,NextGen
2334,17,421,operations
2350,17,423,simulated
2360,17,424,flights
2369,18,426,They
2374,18,427,plan
2391,18,431,unmanned
2400,18,432,aerial
2407,18,433,vehicles
2425,18,436,National
2434,18,437,Airspace
2443,18,438,System
2452,19,441,According
2469,19,444,National
2478,19,445,Weather
2486,19,446,Service
2497,19,449,storm
2503,19,450,system
2510,19,451,originating
2531,19,454,Gulf
2539,19,456,Mexico
2546,19,457,flowing
2561,19,460,Northeast
2571,19,461,region
2594,19,466,affect
2601,19,467,travel
2613,19,469,week
2619,19,471,bringing
2628,19,472,heavy
2634,19,473,snow
2640,19,475,rain
2650,19,478,winds
