char,sent_n,token_i,word
9,1,1,Howard
16,1,2,Webb
23,1,4,West
28,1,5,Bromwich
37,1,6,Albion
44,1,7,took
61,1,11,Premier
69,1,12,League
76,1,13,team
81,1,14,remaining
98,1,17,FA
101,1,18,Cup
108,1,20,Saturday
123,1,23,Portsmouth
134,1,24,coming
153,2,29,Pompey
164,2,31,defeated
173,2,32,Manchester
184,2,33,United
202,2,39,quarter
210,2,41,finals
220,2,43,advance
236,2,46,stage
249,2,49,West
254,2,50,Brom
259,2,51,crushed
267,2,52,Bristol
275,2,53,Rovers
289,2,58,advance
305,2,61,stage
314,3,64,West
319,3,65,Brom
324,3,66,started
336,3,68,game
341,3,69,strongly
368,3,74,chance
375,3,75,coming
387,3,77,Zolton
394,3,78,Gera
399,3,79,shot
408,3,81,ball
413,3,82,right
423,3,84,David
429,3,85,James
448,3,89,hold
465,3,94,ball
480,3,98,hacked
487,3,99,clear
496,3,101,Sol
500,3,102,Campbell
514,4,105,Baggies
522,4,106,dominated
536,4,108,midfield
567,4,114,half
576,4,116,Portsmouth
594,4,119,play
607,4,122,counter
615,4,124,attack
636,4,129,produce
648,4,131,good
653,4,132,chances
662,5,134,Portsmouth
673,5,135,began
682,5,137,gain
687,5,138,steam
693,5,139,nearing
701,5,140,halftime
723,5,144,team
734,5,146,score
753,5,150,period
762,6,153,After
772,6,155,break
785,6,158,Portsmouth
800,6,160,took
809,6,162,lead
822,6,164,Kanu
828,7,166,A
830,7,167,mis
834,7,169,communication
856,7,171,defender
869,7,173,goalkeeper
880,7,174,occurred
895,7,176,Kiely
908,7,179,fine
913,7,180,save
922,7,182,Milan
928,7,183,Baros
939,8,186,ball
944,8,187,ended
956,8,190,Kanu
963,8,192,feet
980,8,195,yards
986,8,196,away
1000,8,199,goal
1014,8,203,Nigerian
1028,8,205,footed
1039,8,207,ball
1044,8,208,calmly
1060,8,211,corner
1068,9,213,After
1080,9,215,goal
1085,9,216,Portsmouth
1096,9,217,began
1105,9,219,control
1117,9,221,match
1128,9,224,West
1133,9,225,Brom
1154,9,229,chances
1165,9,231,Robert
1172,9,232,Koren
1178,9,233,smashes
1188,9,235,shot
1201,9,238,crossbar
1211,10,240,West
1216,10,241,Brom
1221,10,242,pushed
1236,10,245,equalizer
1246,10,246,near
1255,10,248,end
1266,10,251,match
1281,10,255,Portsmouth
1292,10,256,defense
1300,10,257,stood
1306,10,258,firm
1324,10,262,await
1334,10,264,winner
1344,10,266,Barnsley
1353,10,267,v
1355,10,268,Cardiff
1395,10,277,Wembley
1410,10,280,final
