char,sent_n,token_i,word
0,1,0,Since
10,1,2,terror
17,1,3,threat
24,1,4,tipping
32,1,5,mayhem
42,1,7,Massachusetts
61,1,10,governer
80,1,13,officials
113,1,19,half
118,1,20,seriously
133,1,23,half
143,2,26,Now
151,2,28,case
171,2,32,explored
181,3,34,A
187,3,36,days
202,3,39,threats
211,3,41,terror
218,3,42,suspects
232,3,44,identified
246,3,46,photos
258,3,48,night
269,4,51,United
276,4,52,States
283,4,53,Attorney
292,4,54,Michael
300,4,55,Sullivan
309,4,56,spoke
324,4,59,news
329,4,60,conference
347,4,63,Massachusetts
361,4,64,Statehouse
375,4,66,Boston
394,4,70,concerning
411,4,72,terror
418,4,73,suspects
