char,sent_n,token_i,word
0,1,0,On
3,1,1,Wednesday
14,1,3,Catalonia
24,1,5,based
30,1,6,football
39,1,7,club
44,1,8,FC
47,1,9,Barcelona
57,1,10,defeated
66,1,11,Rome
71,1,13,based
77,1,14,Italian
85,1,15,Serie
91,1,16,A
93,1,17,football
102,1,18,club
112,1,20,Roma
133,1,25,Joan
138,1,26,Gamper
145,1,27,Trophy
152,1,28,played
162,1,30,Camp
167,1,31,Nou
171,1,32,stadium
180,1,34,Barcelona
192,2,37,Barcelona
206,2,39,stronger
215,2,40,possession
233,2,43,ball
250,2,47,Roma
260,3,50,match
266,3,51,saw
280,3,54,yellow
287,3,55,cards
302,3,59,Barcelona
312,3,60,players
334,3,64,AS
337,3,65,Roma
342,3,66,players
351,4,68,A
353,4,69,total
369,4,72,fouls
380,4,74,committed
397,4,77,match
404,5,79,Brazilian
414,5,80,Neymar
421,5,81,scored
438,5,84,goal
450,5,87,match
468,5,91,minute
476,5,93,assisted
488,5,95,Jérémy
495,5,96,Mathieu
504,6,98,Messi
510,6,99,doubled
522,6,101,lead
530,6,103,scoring
552,6,107,right
558,6,108,corner
577,6,112,minute
585,6,114,assisted
597,6,116,Neymar
615,7,120,half
620,7,121,ended
643,7,126,bookings
655,8,129,Ivan
660,8,130,Rakitić
668,8,131,scored
684,8,134,goal
696,8,137,match
714,8,141,minute
726,9,144,Croat
732,9,145,scored
741,9,147,right
747,9,149,footed
773,9,154,corner
781,9,156,assisted
793,9,158,Sergio
800,9,159,Busquets
810,10,162,After
820,10,164,match
827,10,166,Rakitic
835,10,167,said
846,10,171,aim
873,10,178,lines
897,10,184,end
909,10,187,season
922,10,191,I
924,10,192,feel
929,10,193,strong
944,10,196,team
952,10,198,working
966,11,201,This
982,11,205,friendly
1004,11,209,played
1014,11,211,win
1028,11,215,match
1037,12,219,Barcelona
1049,12,221,new
1053,12,222,signings
1062,12,223,Aleix
1068,12,224,Vidal
1078,12,226,Adra
1083,12,227,Turan
1099,12,230,play
1108,12,232,match
1123,12,236,transfer
1132,12,237,ban
1138,13,240,Barça
1150,13,243,face
1155,13,244,Athletic
1164,13,245,Bilbao
1174,13,247,August
1195,13,251,La
1198,13,252,Liga
